game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-20,PHI,CIN,9.5,10.27,0.77,over,1.862,0.5333,0.5179,0.0
2026-05-20,MIN,HOU,8.0,8.67,0.67,over,1.952,0.5003,0.4869,0.0
2026-05-20,COL,TEX,10.0,12.88,2.88,over,1.926,0.5524,0.4948,1.38
2026-05-20,ARI,SF,8.5,9.43,0.93,over,1.873,0.531,0.5125,0.0
2026-05-20,SEA,CHW,7.5,8.96,1.46,over,1.905,0.5331,0.504,0.34
2026-05-20,MIA,ATL,7.0,9.21,2.21,over,1.873,0.5589,0.5147,1.08
2026-05-20,WSH,NYM,9.75,8.92,0.83,under,1.915,0.5181,0.5016,0.0
2026-05-20,NYY,TOR,7.5,9.66,2.16,over,1.873,0.5564,0.5132,0.97
2026-05-20,CHC,MIL,6.5,8.99,2.49,over,1.976,0.5302,0.4803,0.97
2026-05-20,STL,PIT,7.5,8.37,0.87,over,1.877,0.5299,0.5126,0.0
