matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
TOR @ BAL,BAL,0.4573,0.5681,0.1107,0.5681,0.5681,0.5113,2742.0,0.5426,2.55,0.0415,0.0498,0.0124,0.0062,0.0,0.0,1.038,1.349,-0.0106,0.1013,23.1,22.95,Kyle Bradish,Spencer Miles,GOLD,F3_swing_take_gap=4627.4,"edge +2.55pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,,,D,-1,F-signal fires (+1) | SP edge 1.18 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-13.9) (-1) | Stage 1/2 agree (Δ=0.01) (+1),-1,D,-13.947339071043046,0,[],[],[],[]
SD @ WSH,SD,0.3308,0.4567,0.1259,0.5433,0.5433,0.521,3139.0,0.5553,-1.2,-0.0039,0.0,0.0,0.0,0.0,0.0,1.344,0.993,-0.0241,0.107,12.77,23.35,Zack Littell,Griffin Canning,PLATINUM,"F3_swing_take_gap=3907.0, F5_bullpen_gap=+1.21","edge -1.20pp outside [4,15]pp",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 2.00 xERA agrees with pick (+1) [small-sample SP, min_pa=99] | PQI confirms pick (Δ=-27.2) (+1) | team_quality modifier (-1; DISABLED, score+=0) | [HARD CAP 1] negative-edge GOLD (-1.2pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.522 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-27.228933656403612,-1,[],[],[],[]
MIN @ PIT,PIT,0.4603,0.517,0.0567,0.517,0.517,0.5137,3217.0,0.6083,-9.13,-0.1313,0.0,0.0,0.0,0.0,0.0,1.319,1.115,0.002,0.106,25.45,22.77,Braxton Ashcraft,Zebby Matthews,PLATINUM,"F2_xwoba_gap=0.020, F3_swing_take_gap=4913.8","edge -9.13pp outside [4,15]pp",fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=+20.9) (+1) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 1] negative-edge GOLD (-9.1pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.522 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,20.91984205062961,0,[],[],[],[]
BOS @ CLE,CLE,0.4081,0.5023,0.0942,0.5023,0.5023,0.5137,2796.0,0.4882,1.41,0.0147,0.0144,0.0036,0.0018,0.0,0.0,1.163,1.05,0.0087,0.1079,20.0,21.61,Tanner Bibee,Ranger Suarez,SKIP,,"edge +1.41pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,,,D,-2,"SP edge 0.87 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-12.8) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",-2,D,-12.795084601853148,1,[],[],[],[]
LAA @ TB,TB,0.7841,0.6503,0.1337,0.6503,0.6503,0.6523,2363.0,0.6681,-1.77,0.0077,0.014,0.0035,0.0017,0.0,0.0,1.492,1.142,-0.0042,0.1007,24.11,17.44,Shane McClanahan,Jack Kochanowicz,GOLD,F1_xera_gap=1.96*,"edge -1.77pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True,,,B-,1,"F-signal fires (+1) | SP edge 1.38 xERA agrees with pick (+2) | PQI confirms pick (Δ=+24.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | [HARD CAP 1] negative-edge GOLD (-1.8pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,24.575915589383634,1,[],[],[],[]
ATL @ CIN,ATL,0.451,0.4387,0.0123,0.5613,0.5613,0.5313,2710.0,0.5794,-1.81,-0.0069,0.0,0.0,0.0,0.0,0.0,1.148,1.046,-0.0277,0.1065,20.86,27.31,Nick Lodolo,Spencer Strider,SKIP,,"edge -1.81pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"SP edge 3.57 xERA agrees with pick (+1) [small-sample SP, min_pa=92] | PQI confirms pick (Δ=-47.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 1] negative-edge GOLD (-1.8pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.530 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-47.94295752763428,1,[],[],[],[]
MIA @ NYM,MIA,0.7336,0.4747,0.2589,0.5253,0.5253,0.5313,2886.0,0.3798,14.55,0.2975,0.2024,0.0506,0.0253,0.0,0.0,1.202,1.37,-0.0006,0.0966,29.64,16.18,Nolan McLean,Janson Junk,SKIP,,fair_prob 0.380 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,,,D,-3,SP edge 0.65 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+9.3) (-1),-3,D,9.308431894330177,0,[],[],[],[]
DET @ CHW,CHW,0.5189,0.5579,0.0389,0.5579,0.5579,0.5165,2534.0,0.5553,0.25,0.0228,0.0273,0.0068,0.0034,0.0,0.0,0.964,1.294,0.0025,0.1033,22.3,17.57,Sean Burke,Keider Montero,GOLD,F3_swing_take_gap=1260.4,"edge +0.25pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-4.5) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,-4.539073553826391,1,[],[],[],[]
MIL @ HOU,HOU,0.2075,0.5217,0.3142,0.5217,0.5217,0.532,2190.0,0.3319,18.98,0.4295,0.1234,0.03085,0.01545,0.0,0.0,1.346,1.157,0.0005,0.1055,21.85,38.43,Tatsuya Imai,Jacob Misiorowski,GOLD,F3_swing_take_gap=4326.2,"fair_prob 0.332 < 0.42 | edge +18.98pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,calibration_caution_18_25pp,False,,,D,-3,"F-signal fires (+1) | SP edge 3.52 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-52.9) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.19) (-1)",-3,D,-52.92194753053648,-1,[],[],[],[]
KC @ TEX,TEX,0.5969,0.5044,0.0925,0.5044,0.5044,0.4996,2408.0,0.5177,-1.33,-0.0198,0.0,0.0,0.0,0.0,0.0,1.237,1.115,0.0027,0.109,25.18,21.81,Jack Leiter,Michael Wacha,SKIP,,"edge -1.33pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-2,"SP edge 0.71 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-9.3) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",-2,D,-9.335711155704495,1,[],[],[],[]
