matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod
WSH @ MIA,WSH,0.5766,0.4805,0.0961,0.5195,0.5195,0.5313,2422.0,,,,0.0,0.0,0.0,0.0,0.0,1.198,1.251,0.0064,0.1041,SKIP,,tier SKIP -> stake_mult=0,no_match,,False,D,-2,"SP edge 0.69 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+8.5) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",-2,D,8.539908751942107,1
OAK @ BAL,OAK,0.4797,0.4677,0.012,0.5323,0.5323,0.5096,2707.0,,,,0.0,0.0,0.0,0.0,0.0,1.191,0.986,0.0047,0.0995,SKIP,,tier SKIP -> stake_mult=0,no_match,,False,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=+14.0) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1)",0,C,14.011236092011572,1
TB @ BOS,TB,0.451,0.4567,0.0057,0.5433,0.5433,0.5288,1834.0,,,,0.0,0.0,0.0,0.0,0.0,1.235,1.342,-0.0016,0.0952,GOLD,F3_swing_take_gap=908.2,tier GOLD -> stake_mult=0,no_match,,False,C,0,"F-signal fires (+1) | SP edge 1.87 xERA AGAINST pick (-1) [small-sample SP, min_pa=87] | PQI AGAINST (late-game-degradation) pick (Δ=+27.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1)",0,C,27.134576575860642,1
COL @ PHI,PHI,0.5028,0.5151,0.0123,0.5151,0.5151,0.5253,2056.0,,,,0.0,0.0,0.0,0.0,0.0,1.159,1.057,0.01,0.1017,PLATINUM,"F1_xera_gap=4.06, F3_swing_take_gap=733.7",,no_match,,False,C,0,"clears every gate (+3) | PLATINUM tier (+2; SP edge confirms) | F-signal fires (+1) | SP edge 4.03 xERA agrees with pick (+2) | PQI confirms pick (Δ=+53.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | fair_prob missing — Odds API did not fire (cap at C; market validation required)",0,C,53.07295660198314,1
LAA @ TOR,TOR,0.6009,0.6157,0.0148,0.6157,0.6157,0.5202,2153.0,,,,0.0,0.0,0.0,0.0,0.0,1.134,1.181,0.01,0.1026,SKIP,,tier SKIP -> stake_mult=0,no_match,,False,C,0,"SP edge 0.46 xERA agrees with pick (+1) [small-sample SP, min_pa=86] | PQI confirms pick (Δ=+18.3) (+1) | Stage 1/2 agree (Δ=0.02) (+1) | fair_prob missing — Odds API did not fire (cap at C; market validation required)",0,C,18.303912071266467,0
HOU @ CIN,HOU,0.3439,0.4836,0.1396,0.5164,0.5164,0.508,2147.0,,,,0.0,0.0,0.0,0.0,0.0,1.059,1.395,-0.0077,0.1134,SKIP,,tier SKIP -> stake_mult=0,no_match,,False,C,0,"SP edge 1.06 xERA agrees with pick (+2) | PQI confirms pick (Δ=-9.2) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | fair_prob missing — Odds API did not fire (cap at C; market validation required)",0,C,-9.239107631920085,-1
MIN @ CLE,CLE,0.5468,0.5695,0.0228,0.5695,0.5695,0.5112,2641.0,,,,0.0,0.0,0.0,0.0,0.0,1.198,1.069,0.0114,0.103,GOLD,F3_swing_take_gap=15.9,tier GOLD -> stake_mult=0,no_match,,False,C,0,"F-signal fires (+1) | SP edge 0.96 xERA AGAINST pick (-1) [small-sample SP, min_pa=76] | PQI AGAINST (late-game-degradation) pick (Δ=-6.4) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",0,C,-6.390742602810107,1
SEA @ CHW,CHW,0.626,0.6119,0.0141,0.6119,0.6119,0.5677,1936.0,,,,0.0,0.0,0.0,0.0,0.0,1.298,0.988,0.0031,0.1096,GOLD,F3_swing_take_gap=318.8,tier GOLD -> stake_mult=0,no_match,,False,C,0,F-signal fires (+1) | SP edge 0.46 xERA agrees with pick (+2) | Stage 1/2 agree (Δ=0.01) (+1) | fair_prob missing — Odds API did not fire (cap at C; market validation required),0,C,-1.3068753212970137,0
NYY @ MIL,TBD,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Carlos Rodón has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,C,0,F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=+23.7) (-1),0,C,23.692159619165523,0
CHC @ TEX,TEX,0.6977,0.5758,0.1219,0.5758,0.5758,0.579,1950.0,,,,0.0,0.0,0.0,0.0,0.0,1.261,1.108,0.0052,0.1113,SKIP,,tier SKIP -> stake_mult=0,no_match,,False,C,0,"SP edge 1.21 xERA agrees with pick (+2) | PQI confirms pick (Δ=+16.3) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.09) (+1) | fair_prob missing — Odds API did not fire (cap at C; market validation required)",0,C,16.324764519564717,-1
