away,home,pick,pick_prob,home_implied,home_edge_pp,tier,signals,notes
BOS,BAL,BAL,57.7,—,—,GOLD,F3_swing_take_gap=3301.2,"F1 suppressed (n_pitches home=535.0, away=447.0 < 600) | F5 suppressed (bp_n_pitches our=1773.0, opp=1968.0 < 3000)"
PHI,ATL,ATL,76.4,—,—,PLATINUM,"F2_xwoba_gap=0.023, F3_swing_take_gap=4381.1","F1 suppressed (n_pitches home=528.0, away=524.0 < 600)"
CLE,TOR,TOR,62.7,—,—,SKIP,,
DET,CIN,CIN,58.0,—,—,SKIP,,"F1 negative-veto suppressed (small sample: home=497.0, away=314.0)"
COL,NYM,COL,63.1,—,—,GOLD,F3_swing_take_gap=171.0,"F1 negative-veto suppressed (small sample: home=244.0, away=471.0)"
COL,NYM,COL,68.6,—,—,GOLD,F3_swing_take_gap=171.0,"F1 suppressed (n_pitches home=467.0, away=318.0 < 600)"
MIN,TB,TB,60.2,—,—,SKIP,,"F1 negative-veto suppressed (small sample: home=193.0, away=513.0) | F5 suppressed (bp_n_pitches our=1551.0, opp=1741.0 < 3000)"
WSH,CHW,CHW,73.8,—,—,SKIP,,
NYY,HOU,HOU,72.4,—,—,SKIP,,
PIT,MIL,MIL,66.0,—,—,SKIP,,
SEA,STL,STL,64.0,—,—,SKIP,,"F1 negative-veto suppressed (small sample: home=491.0, away=450.0)"
OAK,TEX,TEX,65.5,—,—,SKIP,,
SD,ARI,ARI,85.4,—,—,SKIP,,
MIA,SF,MIA,60.9,—,—,SKIP,,"F1 negative-veto suppressed (small sample: home=430.0, away=469.0)"
LAA,KC,KC,53.5,—,—,SKIP,,"F1 negative-veto suppressed (small sample: home=539.0, away=547.0)"
CHC,LAD,CHC,58.5,—,—,GOLD,F3_swing_take_gap=3353.6,"F1 suppressed (n_pitches home=540.0, away=375.0 < 600)"
