game_id,game_date,side,team,price,decimal,prob,fair,edge_pp,ev,tier,signals,stake,won,pnl,bankroll
778150,2025-04-27,home,STL,-114.0,1.8771929824561404,0.5844084620475769,0.51257761103378,7.183085101379694,0.097047463843697,PLATINUM,"F3_swing_take_gap=976.2, F4_opp_sp_lucky=-1.05",0.8297558158636094,False,-0.8297558158636094,99.1702441841364
778144,2025-04-27,home,MIN,-147.5,1.6779661016949152,0.6621918082237244,0.5926750767951611,6.951673142856329,0.11113540701946967,DIAMOND,"F1_xera_gap=1.29, F3_swing_take_gap=572.0, F4_our_sp_unlucky=2.51",4.064113760286421,True,2.7553313629060483,101.92557554704244
778141,2025-04-28,home,CIN,-120.0,1.8333333333333335,0.651248574256897,0.5323040167875672,11.894455746932975,0.1939557194709779,PLATINUM,"F3_swing_take_gap=73.3, F4_our_sp_unlucky=3.43",1.5288836332056366,True,1.2740696943380307,103.19964524138047
778131,2025-04-29,home,PHI,-191.0,1.5235602094240837,0.7053926587104797,0.6606899849223155,4.470267378816429,0.07470818683114966,DIAMOND,"F1_xera_gap=1.63, F3_swing_take_gap=860.5, F4_our_sp_unlucky=4.61",3.6814573753046775,True,1.9274645944003543,105.12710983578081
778135,2025-04-29,home,PIT,132.0,2.3200000000000003,0.59922856092453,0.4008260486262436,19.84025122982864,0.3902102613449099,PLATINUM,"F1_xera_gap=2.39, F4_our_sp_unlucky=2.05",1.5769066475367122,False,-1.5769066475367122,103.5502031882441
778124,2025-04-29,home,HOU,-113.5,1.881057268722467,0.5801926851272583,0.5185686970249208,6.162398810233749,0.09137566761823479,PLATINUM,"F1_xera_gap=1.17, F4_our_sp_unlucky=1.97",0.805450106726563,True,0.7096476711247252,104.25985085936883
778120,2025-04-29,home,COL,145.0,2.45,0.5915976166725159,0.36993698448437484,22.166063218814102,0.44941416084766395,PLATINUM,"F1_xera_gap=1.35, F4_our_sp_unlucky=3.90",0.9361858704320483,False,-0.9361858704320483,103.32366498893677
778134,2025-04-30,home,CIN,-118.0,1.847457627118644,0.6940573453903198,0.5239840891851306,17.00732562051892,0.28224153639906546,DIAMOND,"F1_xera_gap=2.86, F3_swing_take_gap=446.7, F4_our_sp_unlucky=3.93",5.1661832494468385,False,-5.1661832494468385,98.15748173948992
778105,2025-04-30,home,SD,105.0,2.05,0.7268984913825989,0.467347328108675,25.955116327392386,0.4901419073343276,DIAMOND,"F1_xera_gap=0.94, F3_swing_take_gap=2104.7, F4_our_sp_unlucky=2.78",1.8338167505531624,True,1.9255075880808201,100.08298932757074
778095,2025-05-01,home,TOR,-102.0,1.9803921568627452,0.6240113973617554,0.48442584542481787,13.95855519369375,0.23578727712818226,PLATINUM,"F1_xera_gap=0.87, F4_our_sp_unlucky=1.47",1.5012448399135612,True,1.4718086665819228,101.55479799415266
778107,2025-05-01,home,CIN,-125.0,1.8,0.6764103770256042,0.5407428086139267,13.56675684116776,0.21753867864608767,PLATINUM,"F1_xera_gap=0.77, F4_our_sp_unlucky=3.66",1.52332196991229,True,1.2186575759298321,102.77345557008249
778089,2025-05-02,home,BOS,-116.0,1.8620689655172413,0.5541119575500488,0.5216196848488626,3.2492272701186264,0.031794679575952944,PLATINUM,"F2_xwoba_gap=0.029, F3_swing_take_gap=4171.1",0.28428547072248617,True,0.24507368165731563,103.0185292517398
778073,2025-05-03,home,BOS,340.0,4.4,0.6028334498405457,0.16130794331670414,44.15255065238415,1.6524671792984011,DIAMOND,"F1_xera_gap=2.47, F2_xwoba_gap=0.028, F3_swing_take_gap=4126.2, F4_our_sp_unlucky=4.38",5.150926462586991,False,-5.150926462586991,97.86760278915281
778065,2025-05-03,home,PIT,-128.5,1.7782101167315174,0.6146946549415588,0.5436204965205905,7.107415842096831,0.09305625411786916,PLATINUM,"F1_xera_gap=2.28, F4_our_sp_unlucky=4.18, F4_opp_sp_lucky=-1.17",0.8777056786383376,False,-0.8777056786383376,96.98989711051448
778064,2025-05-03,home,TOR,-134.0,1.7462686567164178,0.6308310031890869,0.5640991538806756,6.673184930841137,0.10160040855407709,DIAMOND,"F1_xera_gap=2.64, F3_swing_take_gap=2396.4, F4_our_sp_unlucky=2.91",0.9713678587746726,False,-0.9713678587746726,96.0185292517398
778036,2025-05-05,home,STL,-135.0,1.7407407407407407,0.6004343032836914,0.5643244441848855,3.610985909880593,0.045200453864203516,DIAMOND,"F1_xera_gap=1.18, F3_swing_take_gap=548.9, F4_our_sp_unlucky=1.78",1.4647773717737802,True,1.0850202753879852,97.1035495271278
778041,2025-05-06,home,NYY,-120.0,1.8333333333333335,0.6015393137931824,0.5337924581175311,6.774685567565131,0.10282207528750109,DIAMOND,"F2_xwoba_gap=0.030, F3_swing_take_gap=4645.5, F4_our_sp_unlucky=4.61",2.995316544048577,True,2.4960971200404813,99.59964664716827
778046,2025-05-06,home,WSH,-102.0,1.9803921568627452,0.5557661652565002,0.48258145646483824,7.3184708791662,0.10063495472365735,PLATINUM,"F2_xwoba_gap=0.020, F3_swing_take_gap=2934.6",0.7667752537084987,False,-0.7667752537084987,98.83287139345977
778037,2025-05-06,home,BOS,100.0,2.0,0.6541121602058411,0.4783803151511375,17.57318450547036,0.30822432041168213,PLATINUM,"F2_xwoba_gap=0.034, F3_swing_take_gap=5193.6",1.4824930709018964,False,-1.4824930709018964,97.35037832255787
778030,2025-05-06,home,STL,100.5,2.005,0.5677313208580017,0.474099593075282,9.363172778271972,0.13830129832029336,PLATINUM,"F3_swing_take_gap=651.7, F4_our_sp_unlucky=3.38",1.0047525159687685,True,1.0097762785486122,98.36015460110649
778026,2025-05-06,home,WSH,-102.0,1.9803921568627452,0.553287148475647,0.48258145646483824,7.070569201080873,0.09572552933412448,PLATINUM,"F2_xwoba_gap=0.020, F3_swing_take_gap=2934.6",0.7202917066401587,True,0.706168339843293,99.06632294094977
778017,2025-05-07,home,MIA,127.5,2.275,0.5495361089706421,0.3962126687386864,15.33234402319557,0.25019464790821067,PLATINUM,"F1_xera_gap=3.89, F4_our_sp_unlucky=2.77",1.4579919875160012,False,-1.4579919875160012,97.60833095343378
778023,2025-05-07,home,ATL,-118.5,1.8438818565400843,0.6732290983200073,0.5260806726787476,14.714842564125973,0.2413549196871021,PLATINUM,"F3_swing_take_gap=2711.8, F4_our_sp_unlucky=1.10",1.4641249643015066,False,-1.4641249643015066,96.14420598913227
778018,2025-05-07,home,BOS,-136.0,1.7352941176470589,0.6312558054924011,0.5673456596425738,6.3910145849827344,0.09541448600151964,DIAMOND,"F2_xwoba_gap=0.032, F3_swing_take_gap=4917.4, F4_our_sp_unlucky=4.35",3.1190069988022753,True,2.29338749911932,98.4375934882516
778006,2025-05-08,home,BOS,-132.5,1.7547169811320755,0.6050059199333191,0.5633864957847667,4.161942414855235,0.06161416139242787,PLATINUM,"F2_xwoba_gap=0.032, F3_swing_take_gap=5017.1",0.6027242586190669,True,0.4548862329200505,98.89247972117164
778007,2025-05-08,home,MIN,-154.5,1.6472491909385112,0.6562619209289551,0.6031414557141801,5.312046521477498,0.08102691829397446,PLATINUM,"F1_xera_gap=2.40, F4_our_sp_unlucky=2.58",0.9285009143044025,True,0.6009714655691925,99.49345118674083
