game_id,team,side,decimal,model_prob,fair_prob,edge_pp,ev_per_$1,tier,signals,stake_u
822991,TB,home,1.723,0.6794,0.5729,10.64,0.1704,GOLD,F5_bullpen_gap=+0.43,1.0
822824,CLE,away,2.155,0.539,0.4348,10.42,0.1615,PLATINUM,"F4_our_sp_unlucky=1.22, F5_bullpen_gap=+0.94",1.05
823959,CHC,away,2.11,0.5733,0.4464,12.69,0.2096,PLATINUM,"F3_swing_take_gap=3353.6, F4_our_sp_unlucky=2.26",1.42
