matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status
TOR @ MIN,MIN,0.5011,0.5031,0.5031,0.5031,0.5164,1622.0,0.502,0.11,-0.0352,GOLD,F3_swing_take_gap=459.3,"edge +0.11pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
HOU @ BOS,HOU,0.5996,0.4919,0.5081,0.5081,0.499,1958.0,0.3553,15.27,0.2829,GOLD,F2_xwoba_gap=0.023,"fair_prob 0.355 < 0.42 | edge +15.27pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
CIN @ PIT,PIT,0.6256,0.5846,0.5846,0.5846,0.4984,1809.0,0.5308,5.38,0.0718,GOLD,F3_swing_take_gap=1121.6,tier GOLD -> stake_mult=0,fetched
BAL @ NYY,NYY,0.5011,0.7059,0.7059,0.7059,0.6563,1733.0,0.7596,-5.37,-0.0549,GOLD,F3_swing_take_gap=4369.3,"edge -5.37pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
MIL @ WSH,WSH,0.7409,0.5144,0.5144,0.5144,0.5467,1637.0,0.4018,11.26,0.1806,GOLD,F3_swing_take_gap=1212.5,fair_prob 0.402 < 0.42 | tier GOLD -> stake_mult=0,fetched
SF @ TB,TB,0.73,0.6593,0.6593,0.6593,0.6328,1419.0,0.5382,12.11,0.1999,GOLD,F3_swing_take_gap=195.1,tier GOLD -> stake_mult=0,fetched
PHI @ MIA,MIA,0.4786,0.6287,0.6287,0.6287,0.5466,1698.0,0.423,20.57,0.3864,SKIP,,"edge +20.57pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
LAD @ STL,LAD,0.5643,0.4931,0.5069,0.5069,0.4577,1532.0,0.5655,-5.85,-0.1189,GOLD,F2_xwoba_gap=0.024,"edge -5.85pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
ARI @ CHC,CHC,0.6858,0.6599,0.6599,0.6599,0.6943,0.0,0.6095,5.04,0.0749,SKIP,,tier SKIP -> stake_mult=0,fetched
ATL @ COL,COL,0.5011,0.5987,0.5987,0.5987,0.6192,1507.0,0.4006,19.81,0.3799,SKIP,,"fair_prob 0.401 < 0.42 | edge +19.81pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
CLE @ OAK,OAK,0.6252,0.7479,0.7479,0.7479,0.6708,0.0,0.4707,27.72,0.5108,SKIP,,"model_prob 0.748 outside [0.48,0.72] | edge +27.72pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
NYM @ LAA,LAA,0.5992,0.6105,0.6105,0.6105,0.5906,1849.0,0.4464,16.42,0.2882,GOLD,F3_swing_take_gap=434.4,"edge +16.42pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
KC @ SEA,SEA,0.5432,0.6383,0.6383,0.6383,0.6563,1765.0,0.5353,10.31,0.1616,GOLD,F3_swing_take_gap=2232.7,tier GOLD -> stake_mult=0,fetched
CHW @ SD,SD,0.5011,0.6752,0.6752,0.6752,0.6864,0.0,0.6447,3.05,0.0452,SKIP,,"edge +3.05pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
TEX @ DET,DET,0.5966,0.6443,0.6443,0.6443,0.5934,1643.0,0.5335,11.08,0.1705,GOLD,F3_swing_take_gap=2838.3,tier GOLD -> stake_mult=0,fetched
