matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
NYY @ DET,NYY,0.3573,0.4417,0.0844,0.5583,0.5583,0.5313,14640.0,0.5553,0.3,0.0236,0.0283,0.0071,0.0035,0.0,0.0,1.457,1.1,-0.0149,0.0929,18.16,22.71,Framber Valdez,Gerrit Cole,GOLD,F5_bullpen_gap=+0.82,"edge +0.30pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 1.78 xERA agrees with pick (+2) | PQI confirms pick (Δ=-27.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.539 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,-27.07015478585315,1,[],[],[],[]
KC @ TB,TB,0.6968,0.6713,0.0255,0.6713,0.6713,0.6245,16665.0,0.6638,0.75,0.0572,0.0995,0.0249,0.0124,0.0,0.0,1.362,1.067,0.0037,0.1024,27.27,19.06,Drew Rasmussen,Michael Wacha,GOLD,F1_xera_gap=1.90,"edge +0.75pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,,,B-,1,"F-signal fires (+1) | SP edge 1.20 xERA agrees with pick (+2) | PQI confirms pick (Δ=+21.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0037 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,21.60623107320916,1,[],[],[],[]
TEX @ MIA,TEX,0.6564,0.4867,0.1698,0.5133,0.5133,0.5313,16919.0,0.4447,6.87,0.1293,0.1077,0.0269,0.0135,0.0,0.0,1.0,1.214,-0.0053,0.1043,20.09,18.28,Tyler Phillips,Tyler Alexander,SKIP,,tier SKIP -> stake_mult=0,fetched,acute_roster,True,,,C,0,"SP edge 0.81 xERA agrees with pick (+2) | PQI confirms pick (Δ=-12.8) (+1) | Stage 1/2 agree (Δ=0.07) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.526 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 4 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-12.83794408154423,0,[],[],[],[]
HOU @ TOR,HOU,0.6036,0.4507,0.1529,0.5493,0.5493,0.5295,18846.0,0.4575,9.18,0.181,0.1574,0.0394,0.0197,0.0,0.0,1.135,1.254,-0.0095,0.1019,35.49,28.36,Dylan Cease,Hunter Brown,GOLD,F5_bullpen_gap=+1.05,tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=+7.8) (-1) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.535 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,7.752928332411592,0,[],[],[],[]
CHC @ NYM,CHC,0.722,0.4627,0.2593,0.5373,0.5373,0.5313,13093.0,0.5367,0.06,0.0045,0.0052,0.0013,0.0007,0.0,0.0,1.278,1.14,0.0106,0.0998,23.17,23.92,Kodai Senga,Shota Imanaga,SKIP,,"edge +0.06pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"SP edge 1.47 xERA agrees with pick (+2) | PQI confirms pick (Δ=-13.8) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.14) (-1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-13.804707600930243,1,[],[],[],[]
LAD @ MIN,MIN,0.6216,0.5044,0.1171,0.5044,0.5044,0.5001,18855.0,0.3965,10.79,0.2156,0.1529,0.0382,0.0191,0.0,0.0,1.024,1.206,-0.0099,0.1039,19.76,15.94,Zebby Matthews,Eric Lauer,GOLD,F1_xera_gap=1.47*,fair_prob 0.397 < 0.42 | tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 1.55 xERA agrees with pick (+2) | PQI confirms pick (Δ=+12.5) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.523 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,12.537216908190672,-1,[],[],[],[]
CLE @ CHW,CHW,0.4206,0.5346,0.114,0.5346,0.5346,0.5771,16447.0,0.494,4.07,0.08,0.0784,0.0196,0.0098,0.0,0.0,1.256,1.019,-0.0401,0.0923,17.05,26.99,Anthony Kay,Gavin Williams,SKIP,,tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True,,,D,-2,SP edge 1.01 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-23.1) (-1) | Stage 1/2 agree (Δ=0.04) (+1),-2,D,-23.061943898949366,0,[],[],[],[]
ARI @ STL,STL,0.762,0.5993,0.1626,0.5993,0.5993,0.5955,15069.0,0.5794,2.0,0.0604,0.0785,0.0196,0.0098,0.0,0.0,1.187,1.365,-0.0042,0.1086,19.25,13.35,Andre Pallante,Merrill Kelly,PLATINUM,"F1_xera_gap=4.24, F3_swing_take_gap=5623.8","edge +2.00pp outside [4,15]pp",fetched,,True,,,B-,1,F-signal fires (+1) | SP edge 3.83 xERA agrees with pick (+2) | PQI confirms pick (Δ=+32.0) (+1) | Stage 1/2 disagree (Δ=0.13) (-1) | [HARD CAP 4] Stage 1/2 delta 0.13 + confidence_downgrade=True (score 3 -> 1) | [PRE_CAP_SCORE=3],3,B+,32.04122260749631,0,[],[],[],[]
BOS @ COL,BOS,0.3544,0.0914,0.263,0.9086,0.9086,0.8591,18840.0,0.5553,35.33,0.6658,0.25,0.1997,0.0999,0.0,0.0,0.926,1.035,-0.0371,0.1024,19.14,19.55,Ryan Feltner,Jake Bennett,PLATINUM,"F3_swing_take_gap=2031.6, F5_bullpen_gap=+1.79","model_prob 0.909 outside [0.48,0.72] | edge +35.33pp outside [4,15]pp",fetched,,False,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=-30.4) (+1) | Stage 1/2 disagree (Δ=0.30) (-1) | [HARD CAP 6] edge_pp=+35.3pp>25.0 is calibrator hallucination range, not real value (score 1 -> 0) | [HARD CAP 9] top-bucket calibrator hallucination (pick_prob=0.809 > 0.80; archive {0.80,1.00} hits 33.3% actual vs 87.3% predicted) (score 0 -> 0) | [PRE_CAP_SCORE=1]",1,B-,-30.42211580921372,0,[],[],[],[]
BAL @ LAA,LAA,0.4882,0.528,0.0399,0.528,0.528,0.549,18771.0,0.3798,14.82,0.3042,0.2069,0.0517,0.0259,0.0,0.0,0.968,1.13,-0.0117,0.0982,18.84,23.53,Sam Aldegheri,Kyle Bradish,SKIP,,fair_prob 0.380 < 0.42 | tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=-6.5) (-1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.529 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-6.4609585714767235,0,[],[],[],[]
