game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_il_placements_home,news_il_placements_away,news_il_player_names_home,news_il_player_names_away,news_lineup_scratches_home,news_lineup_scratches_away,news_regular_scratches_home,news_regular_scratches_away,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
822727,MIA @ WSH,False,False,674841,676974,674841,676974,484198.0,Alan Porter,0.0,True,False,1.9433962264150944,1.9433962264150944,0,1,4,Jake Irvin,"Janson Junk, Eury Pérez, Andrew Nardi, Josh Ekness",0,0,0,0,0.002999999999999999,0,"home bullpen short -> 1.5pp toward away | home 1 IL placement(s) (Jake Irvin) -> -1.20pp | away 4 IL placement(s) (Janson Junk, Eury Pérez, Andrew Nardi, Josh Ekness) -> +3.00pp",bullpen_short_home;il_placement_home;il_placement_away
822973,DET @ TB,False,False,607259,675512,607259,675512,658292.0,Derek Thomas,0.0,False,False,10.53,10.53,0,5,3,"Jonny DeLuca, Jesse Scholtens, Gavin Lux, Craig Kimbrel, Jonathan Heasley","Brant Hurter, Kenley Jansen, Casey Mize",0,0,0,0,-0.005999999999999998,0,"home 5 IL placement(s) (Jonny DeLuca, Jesse Scholtens, Gavin Lux, Craig Kimbrel, Jonathan Heasley) -> -3.00pp | away 3 IL placement(s) (Brant Hurter, Kenley Jansen, Casey Mize) -> +2.40pp",il_placement_home;il_placement_away
823701,CHW @ MIN,False,False,671737,607200,671737,607200,639723.0,Brennan Miller,0.0,False,False,11.76,11.76,0,2,0,"Kendry Rojas, Bailey Ober",,0,0,0,0,-0.018000000000000002,0,"home 2 IL placement(s) (Kendry Rojas, Bailey Ober) -> -1.80pp",il_placement_home
823130,NYM @ SEA,False,False,669923,642547,669923,642547,644760.0,Adam Beck,0.0,False,False,1.7692307692307692,1.7692307692307692,0,0,1,,Tyrone Taylor,0,0,0,0,0.012,0,away 1 IL placement(s) (Tyrone Taylor) -> +1.20pp,il_placement_away
823456,SD @ PHI,False,False,650911,621111,650911,621111,,,0.0,False,False,1.5025125628140703,1.5025125628140703,0,0,1,,Ramón Laureano,0,0,0,0,0.012,0,away 1 IL placement(s) (Ramón Laureano) -> +1.20pp,il_placement_away
824755,BAL @ BOS,False,False,801139,605135,801139,605135,503502.0,Ryan Blakney,0.0,False,False,1.7092198581560285,1.7092198581560285,0,2,0,"Garrett Whitlock, Nick Sogard",,0,0,0,0,-0.018000000000000002,0,"home 2 IL placement(s) (Garrett Whitlock, Nick Sogard) -> -1.80pp",il_placement_home
823540,CLE @ NYY,False,False,543037,668909,543037,668909,,,0.0,False,False,1.6802721088435373,1.6802721088435373,0,0,1,,Erik Sabrowski,0,0,0,0,0.012,0,away 1 IL placement(s) (Erik Sabrowski) -> +1.20pp,il_placement_away
824509,KC @ CIN,False,False,695505,663568,695505,663568,484183.0,Cory Blaser,0.0,True,False,1.6802721088435373,1.6802721088435373,0,3,1,"Graham Ashcraft, Pierce Johnson, Pierce Johnson",Nick Mears,0,0,0,0,-0.027,0,"home bullpen short -> 1.5pp toward away | home 3 IL placement(s) (Graham Ashcraft, Pierce Johnson, Pierce Johnson) -> -2.40pp | away 1 IL placement(s) (Nick Mears) -> +1.20pp",bullpen_short_home;il_placement_home;il_placement_away
824917,TOR @ ATL,False,False,656550,571578,656550,571578,,,0.0,False,False,1.7407407407407407,1.7407407407407407,0,0,3,,"Dylan Cease, José Berríos, Lenyn Sosa",0,0,0,0,0.024,0,"away 3 IL placement(s) (Dylan Cease, José Berríos, Lenyn Sosa) -> +2.40pp",il_placement_away
823051,TEX @ STL,False,False,669467,669022,669467,669022,,,0.0,True,False,1.9433962264150944,1.9433962264150944,0,0,2,,"Cole Winn, Chris Martin",0,0,0,0,0.0030000000000000027,0,"home bullpen short -> 1.5pp toward away | away 2 IL placement(s) (Cole Winn, Chris Martin) -> +1.80pp",bullpen_short_home;il_placement_away
