game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-13,BAL,NYY,8.5,9.65,1.15,over,1.833,0.5509,0.5278,0.24
2026-05-13,CLE,LAA,7.0,9.02,2.02,over,1.966,0.5251,0.4847,0.67
2026-05-13,CIN,WSH,9.25,10.69,1.44,over,1.907,0.5321,0.5032,0.32
2026-05-13,PIT,COL,8.25,9.27,1.02,over,1.937,0.5142,0.4939,0.0
2026-05-13,BOS,PHI,9.0,9.93,0.93,over,1.957,0.5067,0.4881,0.0
2026-05-13,TOR,TB,7.5,9.09,1.59,over,1.918,0.5305,0.4987,0.38
2026-05-13,NYM,DET,8.0,8.65,0.65,over,1.913,0.5151,0.502,0.0
2026-05-13,ATL,CHC,8.5,9.91,1.41,over,1.851,0.55,0.5218,0.43
2026-05-13,CHW,KC,8.0,9.04,1.04,over,1.918,0.5195,0.4987,0.0
2026-05-13,MIN,MIA,8.5,9.08,0.58,over,1.847,0.5326,0.521,0.0
2026-05-13,MIL,SD,7.0,9.44,2.44,over,1.98,0.5295,0.4808,0.99
