matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
TOR @ DET,TOR,0.7766,0.4777,0.2989,0.5223,0.5223,0.5313,2082.0,0.4627,5.96,0.0733,0.0695,0.0174,0.0087,0.0,0.0,1.102,1.097,-0.0061,0.0978,GOLD,F3_swing_take_gap=4892.0,tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,B,2,"F-signal fires (+1) | SP edge 1.59 xERA agrees with pick (+1) [small-sample SP, min_pa=65] | PQI confirms pick (Δ=-27.0) (+1) | Stage 1/2 disagree (Δ=0.22) (-1)",2,B,-27.04330896502001,0,"[{""order"":1,""name"":""George Springer"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.84,""vs_LHP_PA_career"":1704,""vs_RHP_OPS_career"":0.822,""vs_RHP_PA_career"":4782,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Yohendrick Pi\u00f1ango"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.833,""vs_LHP_PA_career"":6,""vs_RHP_OPS_career"":0.787,""vs_RHP_PA_career"":37,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":3,""name"":""Vladimir Guerrero Jr."",""bat_side"":""R"",""vs_LHP_OPS_career"":0.845,""vs_LHP_PA_career"":971,""vs_RHP_OPS_career"":0.86,""vs_RHP_PA_career"":3434,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Kazuma Okamoto"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.79,""vs_LHP_PA_career"":41,""vs_RHP_OPS_career"":0.783,""vs_RHP_PA_career"":140,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":5,""name"":""Daulton Varsho"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.683,""vs_LHP_PA_career"":575,""vs_RHP_OPS_career"":0.737,""vs_RHP_PA_career"":1974,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]","[{""order"":1,""name"":""Kevin McGonigle"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.692,""vs_LHP_PA_career"":48,""vs_RHP_OPS_career"":0.866,""vs_RHP_PA_career"":141,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":2,""name"":""Dillon Dingler"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.783,""vs_LHP_PA_career"":196,""vs_RHP_OPS_career"":0.713,""vs_RHP_PA_career"":516,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Hao-Yu  Lee"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.72,""vs_LHP_PA_career"":29,""vs_RHP_OPS_career"":0.457,""vs_RHP_PA_career"":25,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":4,""name"":""Matt Vierling"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.739,""vs_LHP_PA_career"":565,""vs_RHP_OPS_career"":0.685,""vs_RHP_PA_career"":1183,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Riley Greene"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.711,""vs_LHP_PA_career"":616,""vs_RHP_OPS_career"":0.827,""vs_RHP_PA_career"":1644,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]"
KC @ STL,STL,0.507,0.5075,0.0005,0.5075,0.5075,0.5123,2781.0,0.5246,-1.7,-0.0642,0.0,0.0,0.0,0.0,0.0,1.353,1.129,-0.0013,0.1065,GOLD,F3_swing_take_gap=1477.1,"edge -1.70pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,B-,1,"F-signal fires (+1) | SP edge 0.40 xERA agrees with pick (+2) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 1] negative-edge GOLD (-1.7pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,-0.9159223066927531,1,[],[]
ARI @ COL,COL,0.5333,0.5912,0.0579,0.5912,0.5912,0.5811,2351.0,0.4228,16.84,0.3007,0.25,0.0626,0.0313,0.0,0.0,1.103,1.095,-0.0025,0.1001,SKIP,,"edge +16.84pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,D,-2,"SP edge 2.18 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-28.6) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",-2,D,-28.607992398901334,-1,[],[]
BAL @ WSH,WSH,0.7681,0.5559,0.2122,0.5559,0.5559,0.5518,2787.0,0.5007,5.52,0.0659,0.0718,0.018,0.009,0.0,0.0,1.422,1.247,-0.0093,0.1062,GOLD,"F1_xera_gap=1.20*, F3_swing_take_gap=2601.2",tier GOLD -> stake_mult=0,fetched,,False,B+,3,"F-signal fires (+1) | SP edge 0.86 xERA agrees with pick (+2) | PQI confirms pick (Δ=+4.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.18) (-1)",3,B+,4.187823193283712,1,[],[]
PHI @ PIT,PHI,0.2,0.4688,0.2688,0.5312,0.5312,0.4576,2515.0,0.6252,-9.41,-0.1564,0.0,0.0,0.0,0.0,0.0,1.26,1.239,-0.0175,0.1061,PLATINUM,"F1_xera_gap=3.12, F3_swing_take_gap=2107.6","edge -9.41pp outside [4,15]pp",fetched,bullpen_fatigue,True,B-,1,"F-signal fires (+1) | SP edge 1.92 xERA agrees with pick (+2) | PQI confirms pick (Δ=-34.9) (+1) | team_quality modifier (-1; DISABLED, score+=0) | large negative edge (-9.4pp) caps grade at C (score 4 -> 2) | Stage 1/2 disagree (Δ=0.16) (-1)",1,B-,-34.9133656021661,-1,[],[]
MIA @ TB,TB,0.555,0.5206,0.0344,0.5206,0.5206,0.5124,1748.0,0.5745,-5.38,-0.11,0.0,0.0,0.0,0.0,0.0,1.351,1.155,-0.0049,0.0961,SKIP,,"edge -5.38pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,D,-2,"SP edge 0.36 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-8.5) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-2,D,-8.466636234664584,1,[],[]
CIN @ CLE,CLE,0.5116,0.561,0.0494,0.561,0.561,0.4907,3098.0,0.6125,-5.15,-0.0938,0.0,0.0,0.0,0.0,0.0,1.13,1.219,0.0176,0.105,GOLD,"F1_xera_gap=0.99*, F5_bullpen_gap=+0.82","edge -5.15pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,B-,1,F-signal fires (+1) | SP edge 0.48 xERA agrees with pick (+2) | PQI confirms pick (Δ=+18.9) (+1) | Stage 1/2 agree (Δ=0.02) (+1) | negative edge (-5.2pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-5.2pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4],4,A-,18.89948003156897,0,[],[]
TEX @ HOU,HOU,0.381,0.5016,0.1205,0.5016,0.5016,0.5513,2306.0,0.4105,9.1,0.131,0.1044,0.0261,0.013,0.0,0.0,1.195,1.131,-0.0025,0.1046,PLATINUM,"F2_xwoba_gap=0.021, F3_swing_take_gap=3927.3",fair_prob 0.411 < 0.42,fetched,bullpen_fatigue,True,D,-1,F-signal fires (+1) | SP edge 0.65 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-12.0) (-1) | Stage 1/2 agree (Δ=0.01) (+1),-1,D,-11.957326360672866,0,[],[]
CHC @ CHW,CHW,0.5552,0.5117,0.0435,0.5117,0.5117,0.521,2168.0,0.5034,0.84,-0.023,0.0,0.0,0.0,0.0,0.0,1.309,1.042,0.0012,0.11,SKIP,,"edge +0.84pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,A-,4,"SP edge 0.31 xERA agrees with pick (+2) | PQI confirms pick (Δ=+4.8) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",4,A-,4.784675804898086,-1,[],[]
MIL @ MIN,MIN,0.4681,0.5525,0.0844,0.5525,0.5525,0.5516,1811.0,0.4605,9.2,0.1354,0.1284,0.0321,0.016,0.0,0.0,1.166,1.184,-0.0003,0.095,GOLD,F3_swing_take_gap=754.4,tier GOLD -> stake_mult=0,fetched,,False,B,2,"F-signal fires (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",2,B,1.818259165319894,-1,[],[]
SD @ SEA,SEA,0.5477,0.5103,0.0373,0.5103,0.5103,0.4749,2567.0,0.621,-11.06,-0.1841,0.0,0.0,0.0,0.0,0.0,1.046,1.102,-0.0203,0.1067,GOLD,"F1_xera_gap=0.76*, F3_swing_take_gap=2916.0","edge -11.06pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 0.49 xERA agrees with pick (+2) | PQI confirms pick (Δ=+5.5) (+1) | team_quality modifier (-1; DISABLED, score+=0) | large negative edge (-11.1pp) caps grade at C (score 4 -> 2) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 1] negative-edge GOLD (-11.1pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,5.509762440111878,-1,[],[]
BOS @ ATL,ATL,0.6813,0.5802,0.1011,0.5802,0.5802,0.5304,2163.0,0.5575,2.27,0.0164,0.0218,0.0055,0.0027,0.0,0.0,1.046,1.041,0.0115,0.1006,PLATINUM,"F2_xwoba_gap=0.029, F3_swing_take_gap=5602.2","edge +2.27pp outside [4,15]pp",fetched,bullpen_fatigue,True,C,0,"F-signal fires (+1) | SP edge 0.91 xERA AGAINST pick (-1) [small-sample SP, min_pa=87] | PQI AGAINST (late-game-degradation) pick (Δ=-7.8) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",0,C,-7.83492398932556,1,[],[]
NYY @ NYM,TBD,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Carlos Rodón has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[]
LAD @ LAA,LAD,0.6295,0.4747,0.1549,0.5253,0.5253,0.5313,2251.0,0.5739,-4.85,-0.0979,0.0,0.0,0.0,0.0,0.0,1.062,1.118,-0.0041,0.114,SKIP,,"edge -4.85pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster;bullpen_fatigue,True,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=+6.3) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.09) (+1)",0,C,6.261197606266514,1,[],[]
SF @ OAK,OAK,0.3457,0.5855,0.2398,0.5855,0.5855,0.5959,2780.0,0.565,2.04,0.0192,0.0259,0.0065,0.0032,0.0,0.0,1.397,1.075,-0.0078,0.1085,PLATINUM,"F2_xwoba_gap=0.031, F3_swing_take_gap=5881.7","edge +2.04pp outside [4,15]pp",fetched,bullpen_fatigue,True,B,2,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1)",2,B,-1.6374466007146253,1,[],[]
