matchup,pick,f5_prob,full_prob,p_model,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped
ARI @ CHC,CHC,0.8613,0.7849,0.7849,,,,SKIP,,"model_prob 0.785 outside [0.48,0.72] | tier SKIP -> stake_mult=0"
TEX @ DET,DET,0.287,0.5992,0.5992,,,,GOLD,F3_swing_take_gap=3115.6,tier GOLD -> stake_mult=0
CIN @ PIT,PIT,0.568,0.5403,0.5403,,,,SKIP,,tier SKIP -> stake_mult=0
MIL @ WSH,MIL,0.3397,0.4867,0.5133,,,,GOLD,F3_swing_take_gap=1896.4,tier GOLD -> stake_mult=0
HOU @ BOS,HOU,0.5011,0.4627,0.5373,,,,SKIP,,tier SKIP -> stake_mult=0
SF @ TB,TB,0.316,0.6713,0.6713,,,,GOLD,F3_swing_take_gap=166.9,tier GOLD -> stake_mult=0
PHI @ MIA,MIA,0.5011,0.5166,0.5166,,,,SKIP,,tier SKIP -> stake_mult=0
TOR @ MIN,MIN,0.6789,0.5162,0.5162,,,,GOLD,F3_swing_take_gap=1043.7,tier GOLD -> stake_mult=0
LAD @ STL,LAD,0.3917,0.3651,0.6349,,,,GOLD,F2_xwoba_gap=0.028,tier GOLD -> stake_mult=0
ATL @ COL,COL,0.5514,0.6382,0.6382,,,,SKIP,,tier SKIP -> stake_mult=0
NYM @ LAA,LAA,0.5011,0.6683,0.6683,,,,GOLD,F3_swing_take_gap=761.3,tier GOLD -> stake_mult=0
CLE @ OAK,OAK,0.3315,0.6503,0.6503,,,,SKIP,,tier SKIP -> stake_mult=0
CHW @ SD,SD,0.5048,0.7003,0.7003,,,,SKIP,,tier SKIP -> stake_mult=0
KC @ SEA,SEA,0.4066,0.6271,0.6271,,,,GOLD,F3_swing_take_gap=2578.0,tier GOLD -> stake_mult=0
