matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
TEX @ NYY,NYY,0.3653,0.6563,0.6563,0.6563,0.6563,2094.0,0.5859,7.05,0.1045,PLATINUM,"F2_xwoba_gap=0.038, F3_swing_take_gap=7145.0",,fetched,bullpen_fatigue,True
MIN @ WSH,WSH,0.6581,0.5816,0.5816,0.5816,0.5515,2422.0,0.516,6.56,0.0925,GOLD,F3_swing_take_gap=1231.3,tier GOLD -> stake_mult=0,fetched,,False
CLE @ KC,CLE,0.7519,0.4924,0.5076,0.5076,0.4887,2337.0,0.4213,8.63,0.1193,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
CIN @ CHC,CHC,0.7467,0.6368,0.6368,0.6368,0.5938,2221.0,0.6684,-3.16,-0.0364,GOLD,"F1_xera_gap=2.65*, F3_swing_take_gap=1562.5","edge -3.16pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
NYM @ COL,COL,0.5449,0.6803,0.6803,0.6803,0.6355,1941.0,0.4094,27.09,0.5478,SKIP,,"fair_prob 0.409 < 0.42 | edge +27.09pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
PIT @ ARI,ARI,0.45,0.7486,0.7486,0.7486,0.7215,0.0,0.5013,24.73,0.4355,SKIP,,"model_prob 0.749 outside [0.48,0.72] | edge +24.73pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
OAK @ PHI,PHI,0.314,0.5685,0.5685,0.5685,0.6435,0.0,0.5542,1.43,0.0046,SKIP,,"edge +1.43pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
BAL @ MIA,BAL,0.5057,0.4747,0.5253,0.5253,0.5299,2268.0,0.4642,6.11,0.0743,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
TB @ BOS,TB,0.4518,0.4567,0.5433,0.5433,0.5313,1782.0,0.4847,5.86,0.0684,GOLD,F3_swing_take_gap=1264.1,tier GOLD -> stake_mult=0,fetched,,False
STL @ SD,STL,0.7668,0.4712,0.5288,0.5288,0.5274,2103.0,0.3691,15.97,0.2982,SKIP,,"fair_prob 0.369 < 0.42 | edge +15.97pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
