away,home,pick,pick_prob,home_implied,home_edge_pp,tier,signals,notes
LAA,CHW,CHW,91.7,47.4,44.32,SKIP,,"F1 negative-veto suppressed (small sample: home=512.0, away=507.0)"
SEA,MIN,MIN,64.3,42.9,21.33,SKIP,,
BOS,TOR,TOR,63.4,57.1,6.35,GOLD,F3_swing_take_gap=536.9,"F1 suppressed (n_pitches home=578.0, away=470.0 < 600)"
STL,PIT,PIT,60.4,54.5,5.97,GOLD,F3_swing_take_gap=267.1,
NYY,TEX,NYY,73.3,35.0,-8.24,GOLD,F2_xwoba_gap=0.024,"F1 suppressed (n_pitches home=566.0, away=515.0 < 600)"
TB,CLE,TB,51.1,58.1,-9.19,GOLD,F3_swing_take_gap=1061.4,"F1 negative-veto suppressed (small sample: home=488.0, away=524.0) | F5 suppressed (bp_n_pitches our=1611.0, opp=2043.0 < 3000)"
CHC,SD,CHC,63.8,47.6,-11.39,SKIP,,"F5 suppressed (bp_n_pitches our=1696.0, opp=1831.0 < 3000)"
MIA,LAD,LAD,59.6,76.5,-16.87,PLATINUM,"F2_xwoba_gap=0.032, F3_swing_take_gap=6044.8",
