matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
HOU @ CIN,HOU,0.5958,0.1963,0.8037,0.8037,0.7481,2092.0,0.4371,36.66,0.7239,SKIP,,"model_prob 0.804 outside [0.48,0.72] | edge +36.66pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
COL @ PHI,PHI,0.5174,0.5191,0.5191,0.5191,0.524,1964.0,0.692,-17.29,-0.2443,GOLD,F3_swing_take_gap=261.0,"edge -17.29pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
OAK @ BAL,BAL,0.5952,0.6353,0.6353,0.6353,0.6563,0.0,0.5675,6.78,0.0991,SKIP,,tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True
LAA @ TOR,TOR,0.5167,0.6683,0.6683,0.6683,0.6409,2085.0,0.6125,5.59,0.0796,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
TB @ BOS,TB,0.5597,0.4507,0.5493,0.5493,0.5313,1834.0,0.4325,11.69,0.1893,GOLD,F3_swing_take_gap=762.4,tier GOLD -> stake_mult=0,fetched,,False
WSH @ MIA,MIA,0.5011,0.572,0.572,0.572,0.5937,2327.0,0.5721,-0.01,-0.0164,SKIP,,"edge -0.01pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True
MIN @ CLE,CLE,0.5031,0.5966,0.5966,0.5966,0.5133,2499.0,0.5822,1.43,0.0094,SKIP,,"edge +1.43pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True
DET @ KC,DET,0.5643,0.4987,0.5013,0.5013,0.5218,2246.0,0.415,8.63,0.1229,GOLD,F2_xwoba_gap=0.021,fair_prob 0.415 < 0.42 | tier GOLD -> stake_mult=0,fetched,acute_roster,True
SEA @ CHW,CHW,0.4374,0.759,0.759,0.759,0.6977,0.0,0.4316,32.74,0.6431,SKIP,,"model_prob 0.759 outside [0.48,0.72] | edge +32.74pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
NYY @ MIL,NYY,0.5818,0.4687,0.5313,0.5313,0.5313,1651.0,0.5536,-2.23,-0.0616,GOLD,"F1_xera_gap=1.25*, F2_xwoba_gap=0.034","edge -2.23pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
CHC @ TEX,CHC,0.4284,0.3735,0.6265,0.6265,0.6231,2168.0,0.5652,6.13,0.0872,GOLD,F2_xwoba_gap=0.023,tier GOLD -> stake_mult=0,fetched,,False
NYM @ ARI,ARI,0.185,0.6803,0.6803,0.6803,0.6563,0.0,0.4418,23.85,0.4457,SKIP,,"edge +23.85pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
STL @ SD,SD,0.4612,0.5036,0.5036,0.5036,0.4886,2140.0,0.5873,-8.37,-0.1549,SKIP,,"edge -8.37pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster,True
ATL @ LAD,LAD,0.6258,0.6413,0.6413,0.6413,0.597,1928.0,0.5319,10.94,0.1714,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
