matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
CLE @ DET,CLE,0.7189,0.4813,0.2375,0.5187,0.5187,0.4592,2512.0,0.4084,11.02,0.1748,0.1382,0.0345,0.0173,0.0,0.0,1.412,1.078,-0.0033,0.1058,SKIP,,fair_prob 0.408 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,D,-4,"SP edge 0.94 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+3.2) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.15) (-1)",-4,D,3.215000601721947,1,[],[]
BAL @ TB,TB,0.7775,0.519,0.2585,0.519,0.519,0.5518,1865.0,0.5822,-6.32,-0.1218,0.0,0.0,0.0,0.0,0.0,1.322,1.191,-0.0039,0.0905,GOLD,F1_xera_gap=1.42*,"edge -6.32pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,B-,1,"F-signal fires (+1) | SP edge 0.83 xERA agrees with pick (+2) | PQI confirms pick (Δ=+6.3) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.20) (-1) | [HARD CAP 1] negative-edge GOLD (-6.3pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,6.3261860707850985,1,[],[]
CIN @ PHI,PHI,0.593,0.5918,0.0012,0.5918,0.5918,0.5169,2540.0,0.5442,4.76,0.0633,0.0794,0.0199,0.0099,0.0,0.0,1.2,1.304,0.0286,0.106,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,B,2,PQI confirms pick (Δ=+4.6) (+1) | Stage 1/2 agree (Δ=0.00) (+1),2,B,4.605549736204878,0,[],[]
ATL @ MIA,MIA,0.6293,0.5385,0.0907,0.5385,0.5385,0.6131,2178.0,0.5162,2.24,0.0088,0.0101,0.0025,0.0013,0.0,0.0,1.047,1.232,-0.0081,0.1006,SKIP,,"edge +2.24pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,B-,1,"team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.06) (+1)",1,B-,-1.1197490396507845,-1,[],[]
NYM @ WSH,NYM,0.6206,0.4995,0.1211,0.5005,0.5005,0.5313,2513.0,0.5691,-6.86,-0.1368,0.0,0.0,0.0,0.0,0.0,1.261,1.134,-0.0058,0.104,GOLD,F3_swing_take_gap=2908.6,"edge -6.86pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 1.82 xERA agrees with pick (+1) [small-sample SP, min_pa=70] | PQI confirms pick (Δ=-28.3) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1) | [HARD CAP 1] negative-edge GOLD (-6.9pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,-28.299012832256874,-1,[],[]
TOR @ NYY,NYY,0.6603,0.6036,0.0566,0.6036,0.6036,0.5835,2194.0,0.6315,-2.79,-0.0463,0.0,0.0,0.0,0.0,0.0,1.27,1.176,-0.0004,0.1008,PLATINUM,"F2_xwoba_gap=0.037, F3_swing_take_gap=7165.3","edge -2.79pp outside [4,15]pp",fetched,acute_roster,True,B-,1,"F-signal fires (+1) | SP edge 1.88 xERA agrees with pick (+2) | PQI confirms pick (Δ=+11.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | negative edge (-2.8pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-2.8pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,11.89088630037718,1,[],[]
BOS @ KC,KC,0.5401,0.5201,0.02,0.5201,0.5201,0.5396,2566.0,0.4913,2.88,0.0154,0.0162,0.004,0.002,0.0,0.0,1.245,0.974,-0.005,0.0995,GOLD,F3_swing_take_gap=2368.3,"edge +2.88pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,B-,1,F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-4.7) (-1) | Stage 1/2 agree (Δ=0.01) (+1),1,B-,-4.662530915087853,0,[],[]
HOU @ MIN,HOU,0.5204,0.4552,0.0652,0.5448,0.5448,0.5313,2441.0,0.484,6.07,0.0737,0.0759,0.019,0.0095,0.0,0.0,1.207,1.214,0.0022,0.1072,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,C,0,PQI AGAINST (late-game-degradation) pick (Δ=+21.9) (-1) | Stage 1/2 agree (Δ=0.04) (+1),0,C,21.94207936841556,0,[],[]
MIL @ CHC,CHC,0.548,0.6105,0.0625,0.6105,0.6105,0.5988,1859.0,0.6156,-0.51,-0.016,0.0,0.0,0.0,0.0,0.0,1.049,1.081,-0.0017,0.1096,DIAMOND,"F1_xera_gap=3.02, F2_xwoba_gap=0.022, F3_swing_take_gap=4658.4","edge -0.51pp outside [4,15]pp",fetched,,True,B-,1,"F-signal fires (+1) | SP edge 1.92 xERA agrees with pick (+2) | PQI confirms pick (Δ=+20.9) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 1] negative-edge GOLD (-0.5pp < 0) prevents GOLD confirmation (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,20.92222215275538,-1,[],[]
TEX @ COL,COL,0.4952,0.6377,0.1426,0.6377,0.6377,0.599,2348.0,0.4072,23.05,0.4541,0.125,0.04435,0.02215,0.0,0.0,1.024,1.102,0.0043,0.0992,SKIP,,"fair_prob 0.407 < 0.42 | edge +23.05pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue;calibration_caution_18_25pp,True,D,-2,"SP edge 0.65 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-5.7) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.09) (+1)",-2,D,-5.677617618973336,-1,[],[]
