matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status
TOR @ TB,TB,0.5767,0.5697,0.5697,0.5697,0.6087,1735.0,0.5648,0.49,-0.0098,SKIP,,"edge +0.49pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
MIL @ STL,MIL,0.3683,0.4747,0.5253,0.5253,0.5213,1614.0,0.4939,3.14,0.0232,GOLD,F3_swing_take_gap=2153.8,"edge +3.14pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
LAD @ HOU,LAD,0.1593,0.4417,0.5583,0.5583,0.5313,1948.0,0.6896,-13.13,-0.1793,SKIP,,"edge -13.13pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
SD @ SF,SD,0.5341,0.2933,0.7067,0.7067,0.5545,2180.0,0.5122,19.45,0.3378,GOLD,F2_xwoba_gap=0.021,"edge +19.45pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
CHW @ LAA,LAA,0.5127,0.6305,0.6305,0.6305,0.6563,0.0,0.4987,13.18,0.2143,SKIP,,tier SKIP -> stake_mult=0,fetched
ATL @ SEA,ATL,0.5216,0.4211,0.5789,0.5789,0.5313,1919.0,0.4359,14.3,0.2446,SKIP,,tier SKIP -> stake_mult=0,fetched
BOS @ DET,DET,0.4535,0.6653,0.6653,0.6653,0.6311,2124.0,0.5206,14.48,0.234,PLATINUM,"F2_xwoba_gap=0.023, F3_swing_take_gap=4299.7",,fetched
OAK @ PHI,PHI,0.4216,0.6563,0.6563,0.6563,0.6563,0.0,0.6283,2.81,0.0402,SKIP,,"edge +2.81pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
BAL @ MIA,MIA,0.4471,0.5009,0.5009,0.5009,0.5006,2204.0,0.5499,-4.9,-0.1107,SKIP,,"edge -4.90pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
MIN @ WSH,WSH,0.5295,0.503,0.503,0.503,0.4859,2345.0,0.4366,6.64,0.0789,GOLD,F3_swing_take_gap=420.6,tier GOLD -> stake_mult=0,fetched
TEX @ NYY,NYY,0.6692,0.5422,0.5422,0.5422,0.5354,2094.0,0.6707,-12.85,-0.1867,PLATINUM,"F1_xera_gap=1.28*, F2_xwoba_gap=0.037, F3_swing_take_gap=7005.5","edge -12.85pp outside [4,15]pp",fetched
CIN @ CHC,CHC,0.6037,0.6563,0.6563,0.6563,0.624,2153.0,0.6367,1.96,0.033,GOLD,"F1_xera_gap=1.62*, F3_swing_take_gap=1623.4","edge +1.96pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
CLE @ KC,KC,0.6676,0.5018,0.5018,0.5018,0.5044,2265.0,0.5606,-5.88,-0.1195,SKIP,,"edge -5.88pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
NYM @ COL,COL,0.5868,0.6342,0.6342,0.6342,0.6095,1882.0,0.3803,25.39,0.5253,SKIP,,"fair_prob 0.380 < 0.42 | edge +25.39pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
PIT @ ARI,ARI,0.4662,0.6563,0.6563,0.6563,0.6563,0.0,0.4149,24.14,0.4702,SKIP,,"fair_prob 0.415 < 0.42 | edge +24.14pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
