game_id,game_date,home_team,away_team,total_line,pred_runs,actual_runs,edge_runs,side,decimal,our_prob,book_fair,stake,outcome,pnl,bankroll
745832,2024-04-29,NYM,CHC,7.5,5.46,4.0,2.04,under,1.81,0.574,0.5332,0.958,win,0.776,100.776
745999,2024-04-29,MIL,TB,8.0,10.38,1.0,2.38,over,1.893,0.5529,0.5052,1.052,loss,-1.052,99.724
744945,2024-04-29,TOR,KC,8.5,14.34,11.0,5.84,over,1.909,0.6007,0.5007,2.99,win,2.718,102.442
745260,2024-04-30,SEA,ATL,7.0,13.68,5.0,6.68,over,1.87,0.6131,0.5131,3.445,loss,-3.445,98.996
746481,2024-04-30,DET,STL,8.5,11.66,17.0,3.16,over,1.84,0.5869,0.5237,1.555,win,1.307,100.303
745829,2024-05-01,NYM,CHC,7.5,9.68,1.0,2.18,over,1.962,0.5278,0.4843,0.738,loss,-0.738,99.565
745996,2024-05-01,MIL,TB,8.5,12.76,8.0,4.26,over,2.0,0.56,0.4749,2.391,loss,-2.391,97.174
745423,2024-05-01,SD,CIN,7.5,3.35,8.0,4.15,under,1.909,0.5829,0.5,1.871,loss,-1.871,95.303
745830,2024-05-02,NYM,CHC,8.5,6.96,13.0,1.54,under,1.833,0.5571,0.5263,0.487,loss,-0.487,94.816
746070,2024-05-02,MIA,COL,8.0,10.09,9.0,2.09,over,1.84,0.5633,0.5215,0.83,win,0.697,95.513
746403,2024-05-02,HOU,CLE,8.5,11.23,10.0,2.73,over,1.893,0.5597,0.5052,1.273,win,1.137,96.65
746645,2024-05-03,CLE,LAA,7.5,9.25,6.0,1.75,over,2.02,0.5035,0.4685,0.322,loss,-0.322,96.328
745510,2024-05-03,PIT,COL,8.0,11.44,5.0,3.44,over,1.87,0.5819,0.5131,1.948,loss,-1.948,94.38
745101,2024-05-03,TB,NYM,8.0,11.38,18.0,3.38,over,1.909,0.569,0.5013,1.792,win,1.629,96.009
746394,2024-05-04,HOU,SEA,8.0,11.07,5.0,3.07,over,1.87,0.5744,0.5131,1.632,loss,-1.632,94.377
745750,2024-05-04,NYY,DET,8.0,12.16,8.0,4.16,over,1.877,0.5951,0.5119,2.522,push,0.0,94.377
746155,2024-05-04,LAD,ATL,9.5,4.29,13.0,5.21,under,1.847,0.621,0.521,0.846,loss,-0.846,93.531
746719,2024-05-05,CIN,BAL,8.5,10.69,12.0,2.19,over,1.909,0.5317,0.4878,0.309,win,0.281,93.812
746883,2024-05-05,CHC,MIL,6.5,8.91,5.0,2.41,over,1.87,0.5612,0.5131,1.063,loss,-1.063,92.749
745504,2024-05-05,PIT,COL,8.0,9.47,8.0,1.47,over,1.909,0.5294,0.5,0.22,push,0.0,92.749
745751,2024-05-05,NYY,DET,7.25,8.51,7.0,1.26,over,1.98,0.5065,0.4813,0.051,loss,-0.051,92.698
744861,2024-05-05,WSH,TOR,19.5,9.18,19.0,10.32,under,1.4,0.8091,0.7091,3.357,win,1.343,94.04
745912,2024-05-06,MIN,SEA,8.0,11.8,4.0,3.8,over,1.952,0.5629,0.4869,1.955,loss,-1.955,92.085
745509,2024-05-06,PIT,LAA,8.0,6.5,5.0,1.5,under,1.84,0.5551,0.5251,0.473,win,0.398,92.483
747126,2024-05-07,ATL,BOS,8.5,10.94,6.0,2.44,over,1.87,0.5619,0.5131,1.073,loss,-1.073,91.41
745586,2024-05-07,PHI,TOR,8.0,12.18,11.0,4.18,over,1.889,0.5915,0.5079,2.413,win,2.145,93.555
