game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-17,TB,MIA,7.5,8.46,0.96,over,2.02,0.4856,0.4663,0.0
2026-05-17,WSH,BAL,10.0,8.57,1.43,under,1.985,0.5087,0.4801,0.2
2026-05-17,PIT,PHI,7.0,8.11,1.11,over,1.87,0.5359,0.5138,0.05
2026-05-17,CLE,CIN,8.5,9.43,0.93,over,1.948,0.5087,0.4901,0.0
2026-05-17,DET,TOR,8.0,8.47,0.47,over,1.976,0.4926,0.4832,0.0
2026-05-17,NYM,NYY,8.5,9.37,0.87,over,2.0,0.4933,0.476,0.0
2026-05-17,CHW,CHC,8.5,10.12,1.62,over,1.87,0.5483,0.516,0.58
2026-05-17,MIN,MIL,7.5,8.41,0.91,over,1.833,0.5444,0.5263,0.0
2026-05-17,STL,KC,9.0,9.37,0.37,over,1.87,0.5212,0.5138,0.0
2026-05-17,COL,ARI,10.5,12.24,1.74,over,1.873,0.5494,0.5147,0.67
2026-05-17,OAK,SF,9.5,8.65,0.85,under,1.952,0.5045,0.4875,0.0
2026-05-17,SEA,SD,7.5,8.83,1.33,over,1.913,0.5259,0.4993,0.13
