matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
MIL @ STL,MIL,0.2141,0.4706,0.2565,0.5294,0.5294,0.5066,21177.0,,,,0.0,0.0,0.0,0.0,0.0,1.135,1.103,-0.0155,0.1074,21.63,38.13,Matt Svanson,Jacob Misiorowski,DIAMOND,"F1_xera_gap=5.58, F3_swing_take_gap=2230.3, F5_bullpen_gap=+0.65",,no_match,,False,,,C,0,"clears every gate (+3) | F-signal fires (+1) | SP edge 3.69 xERA agrees with pick (+2) | PQI confirms pick (Δ=-51.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.13) (-1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 6 -> 0) | [PRE_CAP_SCORE=6]",6,A,-51.616340906007935,1,[],[],[],[]
CHC @ BAL,CHC,0.4074,0.4747,0.0673,0.5253,0.5253,0.53,13850.0,0.5177,0.76,0.0209,0.0221,0.0055,0.0028,0.0,0.0,1.146,1.022,0.014,0.0985,20.35,24.34,Shane Baz,Matthew Boyd,SKIP,,"edge +0.76pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster,True,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=+13.2) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,13.171452914376786,1,[],[],[],[]
OAK @ DET,DET,0.7574,0.5333,0.2241,0.5333,0.5333,0.5186,15045.0,0.6638,-13.05,-0.1602,0.0,0.0,0.0,0.0,0.0,1.62,0.92,0.0039,0.0999,29.2,21.04,Tarik Skubal,J.T. Ginn,GOLD,"F1_xera_gap=1.22*, F3_swing_take_gap=1678.5","edge -13.05pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 0.82 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.8) (+1) | team_quality modifier (+1; DISABLED, score+=0) | large negative edge (-13.1pp) caps grade at C (score 4 -> 2) | Stage 1/2 disagree (Δ=0.17) (-1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,8.832527298825035,1,[],[],[],[]
ATL @ PIT,PIT,0.4797,0.512,0.0323,0.512,0.512,0.4812,18484.0,0.5983,-8.63,-0.1088,0.0,0.0,0.0,0.0,0.0,1.068,1.194,-0.0154,0.1,30.1,22.19,Paul Skenes,Hurston Waldrep,SKIP,F3_swing_take_gap=945.7,"edge -8.63pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=+18.4) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 1] negative-edge GOLD (-8.6pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.527 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,18.394821359633383,-1,[],[],[],[]
NYY @ TB,TB,0.6215,0.5584,0.0631,0.5584,0.5584,0.5079,17674.0,0.5318,2.67,0.0615,0.0682,0.0171,0.0085,0.0,0.0,1.269,1.268,-0.017,0.0945,26.16,23.95,Ian Seymour,Will Warren,SKIP,F1_xera_gap=1.03*,"edge +2.67pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | SP edge 0.71 xERA agrees with pick (+2) | PQI confirms pick (Δ=+12.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.533 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,12.208408421471887,1,[],[],[],[]
HOU @ WSH,WSH,0.6205,0.5173,0.1032,0.5173,0.5173,0.5076,19226.0,0.5318,-1.44,-0.0167,0.0,0.0,0.0,0.0,0.0,1.447,1.351,-0.0434,0.0999,26.92,27.44,Andrew Alvarez,Tatsuya Imai,SKIP,,"edge -1.44pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"SP edge 0.82 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 1] negative-edge GOLD (-1.4pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.527 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,8.567335475020712,1,[],[],[],[]
CLE @ MIN,MIN,0.6755,0.5116,0.1638,0.5116,0.5116,0.5062,17246.0,0.5177,-0.61,-0.0057,0.0,0.0,0.0,0.0,0.0,1.139,1.053,-0.0255,0.0988,26.9,23.68,Taj Bradley,Joey Cantillo,SKIP,,"edge -0.61pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=-3.7) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.527 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-3.6598503995794687,1,[],[],[],[]
BOS @ CHW,BOS,0.33,0.4807,0.1507,0.5193,0.5193,0.5313,16512.0,0.5425,-2.32,-0.0291,0.0,0.0,0.0,0.0,0.0,1.217,1.069,-0.031,0.1092,21.58,24.26,Noah Schultz,Payton Tolle,DIAMOND,"F1_xera_gap=3.12, F3_swing_take_gap=7838.9, F5_bullpen_gap=+0.65","edge -2.32pp outside [4,15]pp",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 2.30 xERA agrees with pick (+2) | PQI confirms pick (Δ=-33.6) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1) | negative edge (-2.3pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-2.3pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-33.634459564077666,-1,[],[],[],[]
LAA @ TEX,TEX,0.6358,0.6854,0.0496,0.6854,0.6854,0.6944,16993.0,0.6237,6.17,0.1334,0.2041,0.051,0.0255,0.0,0.0,1.217,1.115,-0.004,0.1012,30.03,25.98,Jacob deGrom,José Soriano,PLATINUM,"F1_xera_gap=1.31, F3_swing_take_gap=1554.7",,fetched,acute_roster,True,,,A,10,"clears every gate (+3) | PLATINUM tier (+2; SP edge confirms) | F-signal fires (+1) | SP edge 0.90 xERA agrees with pick (+2) | PQI confirms pick (Δ=+10.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1)",10,A,10.606559883024111,1,[],[],[],[]
ARI @ SD,ARI,0.6603,0.4387,0.2216,0.5613,0.5613,0.5313,15722.0,0.4633,9.8,0.1844,0.1661,0.0415,0.0208,0.0,0.0,1.11,1.24,0.0338,0.0904,18.34,12.87,Germán Márquez,Zac Gallen,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.06) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.534 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,-0.7740463419726922,1,[],[],[],[]
