game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-19,MIA,ATL,8.5,9.39,0.89,over,1.98,0.4999,0.482,0.0
2026-05-19,DET,CLE,8.0,8.75,0.75,over,1.943,0.5097,0.4946,0.0
2026-05-19,TB,BAL,7.5,8.34,0.84,over,1.909,0.5175,0.5007,0.0
2026-05-19,PHI,CIN,8.5,10.3,1.8,over,1.873,0.5485,0.5125,0.63
2026-05-19,WSH,NYM,9.0,8.57,0.43,under,1.952,0.4973,0.4888,0.0
2026-05-19,NYY,TOR,8.75,10.53,1.78,over,1.934,0.535,0.4995,0.74
2026-05-19,KC,BOS,7.5,9.37,1.87,over,1.905,0.5407,0.5034,0.66
2026-05-19,MIN,HOU,8.5,9.6,1.1,over,1.922,0.52,0.498,0.0
2026-05-19,CHC,MIL,7.75,9.27,1.52,over,1.957,0.5213,0.491,0.43
2026-05-19,STL,PIT,8.0,8.72,0.72,over,1.881,0.5235,0.5092,0.0
