matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
PIT @ TOR,PIT,0.7362,0.4993,0.2368,0.5007,0.5007,0.5052,2435.0,0.3727,12.8,0.2667,0.1743,0.0436,0.0218,0.0,0.0,1.38,1.178,0.0144,0.0955,34.23,18.22,Dylan Cease,Mitch Keller,SKIP,,fair_prob 0.373 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,,,D,-4,SP edge 1.28 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+18.2) (-1) | Stage 1/2 disagree (Δ=0.12) (-1),-4,D,18.177576528134495,0,[],[],[],[]
DET @ BAL,BAL,0.5278,0.6743,0.1465,0.6743,0.6743,0.6338,2309.0,0.5483,12.6,0.2363,0.25,0.0709,0.0354,0.0,0.0,1.204,1.394,-0.0003,0.1035,18.22,18.15,Brandon Young,Framber Valdez,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,B-,1,"team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",1,B-,-0.7315548641579426,1,[],[],[],[]
MIN @ BOS,MIN,0.5474,0.4687,0.0787,0.5313,0.5313,0.5313,2787.0,0.3965,13.48,0.2805,0.1989,0.0497,0.0249,0.0,0.0,1.044,1.162,0.0023,0.0953,21.17,16.73,Sonny Gray,Bailey Ober,GOLD,F1_xera_gap=1.10*,fair_prob 0.397 < 0.42 | tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 0.65 xERA agrees with pick (+2) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 5] F1* small-sample SP without other lineup/PQI support cannot sustain GOLD (score 4 -> 2) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.510 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-1.6372724869134672,1,[],[],[],[]
CLE @ PHI,PHI,0.6052,0.6563,0.0512,0.6563,0.6563,0.6563,2763.0,0.4447,21.17,0.4439,0.125,0.04625,0.0231,0.0,0.0,1.189,1.236,0.0065,0.0993,19.28,28.34,Andrew Painter,Parker Messick,SKIP,,"edge +21.17pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,calibration_caution_18_25pp,False,,,D,-2,"SP edge 1.42 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-20.0) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",-2,D,-20.03953878372556,-1,[],[],[],[]
TB @ NYY,NYY,0.5383,0.6683,0.13,0.6683,0.6683,0.617,1993.0,0.5553,11.3,0.2253,0.25,0.0676,0.0338,0.0,0.0,1.309,1.332,0.0145,0.1141,29.02,23.17,Ryan Weathers,Drew Rasmussen,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,"SP edge 0.73 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-12.4) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1)",-2,D,-12.358326684339318,-1,[],[],[],[]
STL @ CIN,CIN,0.4809,0.5836,0.1027,0.5836,0.5836,0.5611,3496.0,0.5177,6.59,0.1342,0.1423,0.0356,0.0178,0.0,0.0,1.208,1.241,-0.0052,0.1183,15.68,19.75,Brady Singer,Matthew Liberatore,GOLD,F3_swing_take_gap=1510.3,tier GOLD -> stake_mult=0,fetched,,False,,,D,-1,F-signal fires (+1) | SP edge 0.42 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-7.4) (-1) | Stage 1/2 agree (Δ=0.03) (+1),-1,D,-7.363464551991768,0,[],[],[],[]
NYM @ MIA,MIA,0.4025,0.6308,0.2283,0.6308,0.6308,0.6427,2809.0,0.4682,16.26,0.331,0.25,0.0746,0.0373,0.0,0.0,1.375,1.365,0.0016,0.0931,21.94,24.93,Tyler Phillips,Christian Scott,SKIP,,"edge +16.26pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,B-,1,"SP edge 0.75 xERA agrees with pick (+1) [small-sample SP, min_pa=90] | PQI confirms pick (Δ=+7.9) (+1) | Stage 1/2 agree (Δ=0.09) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0016 >= 0) on tier-elevated pick (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,7.910094744382349,0,[],[],[],[]
SEA @ KC,KC,0.5197,0.5721,0.0524,0.5721,0.5721,0.6121,2979.0,0.4324,13.97,0.2872,0.2297,0.0574,0.0287,0.0,0.0,1.163,1.041,-0.0007,0.103,20.6,23.23,Seth Lugo,Bryan Woo,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,SP edge 1.77 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-36.6) (-1) | Stage 1/2 agree (Δ=0.02) (+1),-2,D,-36.559138818331014,0,[],[],[],[]
LAD @ MIL,MIL,0.2719,0.5556,0.2837,0.5556,0.5556,0.612,1963.0,0.3598,19.57,0.4445,0.125,0.03475,0.01735,0.0,0.0,1.345,1.286,-0.0091,0.1041,24.12,26.47,Brandon Sproat,Yoshinobu Yamamoto,SKIP,,"fair_prob 0.360 < 0.42 | edge +19.57pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,calibration_caution_18_25pp,False,,,D,-2,SP edge 1.02 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-15.5) (-1) | Stage 1/2 agree (Δ=0.08) (+1),-2,D,-15.536023310996832,0,[],[],[],[]
HOU @ CHC,CHC,0.6085,0.5559,0.0526,0.5559,0.5559,0.5207,2524.0,0.6273,-7.14,-0.0808,0.0,0.0,0.0,0.0,0.0,1.054,1.293,-0.001,0.1051,25.58,23.29,Shota Imanaga,Peter Lambert,GOLD,F3_swing_take_gap=516.3,"edge -7.14pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=+9.6) (+1) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 1] negative-edge GOLD (-7.1pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.516 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,9.639057390652802,0,[],[],[],[]
