game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength
2026-05-22,PHI,CLE,6.5,10.73,4.23,over,1.901,0.5985,0.5139,3.06,10.73,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0
2026-05-22,NYY,TB,7.5,11.08,3.58,over,1.87,0.5951,0.5234,1.94,11.08,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0
2026-05-22,BAL,DET,8.5,8.99,0.49,over,1.935,0.5126,0.5028,0.0,8.99,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0
