game_id,game_date,side,team,decimal,prob,fair,edge_pp,ev,tier,signals,stake,won,pnl,bankroll
718372,2023-04-29,away,PHI,2.156,0.561810165643692,0.4246756679589472,13.713449768474483,0.2112627171278001,DIAMOND,"F1_xera=2.12, F3_stake=2451.3, F4_our_unlucky=4.50",3.6550643101695512,True,4.225254342556002,104.225254342556
718363,2023-04-30,away,SEA,2.336,0.5700813829898834,0.3841245553704694,18.5956827619414,0.3317101106643676,DIAMOND,"F1_xera=2.40, F3_stake=2770.4, F4_our_unlucky=1.27",5.0,False,-5.0,99.225254342556
718347,2023-05-02,away,PIT,2.297,0.5730462372303009,0.3924582582058679,18.058797902443303,0.3162872069180013,DIAMOND,"F1_xera=4.67, F3_stake=764.7, F4_our_unlucky=2.59",4.839426145217473,False,-4.839426145217473,94.38582819733853
718331,2023-05-02,away,PHI,2.315,0.5588273704051971,0.3885590761396095,17.026829426558766,0.29368536248803134,DIAMOND,"F1_xera=1.48, F3_stake=6003.7, F4_our_unlucky=2.06",0.16057385478252684,False,-0.16057385478252684,94.225254342556
718279,2023-05-06,away,LAD,1.846,0.5643822252750397,0.5134187367098858,5.096348856515387,0.0418495878577233,DIAMOND,"F1_xera=3.32, F2_xwoba=0.028, F4_our_unlucky=2.63",0.9322193995331256,True,0.7886576120050244,95.01391195456102
718275,2023-05-06,away,TEX,2.129,0.5494049191474915,0.4314061515840074,11.799876756348404,0.16968307286500928,DIAMOND,"F1_xera=2.32, F3_stake=548.1, F4_our_unlucky=4.62",2.856023480137353,True,3.2244505090750715,98.2383624636361
718276,2023-05-07,away,COL,2.598,0.5530959963798523,0.33543165646435935,21.766433991549295,0.4369433985948562,DIAMOND,"F1_xera=2.03, F3_stake=2154.4, F4_our_unlucky=1.56, F4_opp_lucky=-1.69",4.911918123181805,True,7.849245160844524,106.08760762448061
718270,2023-05-07,away,BOS,2.005,0.5530959963798523,0.4644852134986248,8.861078288122748,0.10895747274160383,DIAMOND,"F1_xera=2.00, F2_xwoba=0.035, F4_our_unlucky=6.62",0.0880818768181948,False,-0.0880818768181948,105.99952574766242
718234,2023-05-10,away,DET,2.045,0.5730462372303009,0.4532956136303995,11.97506235999014,0.1718795551359653,DIAMOND,"F1_xera=5.39, F3_stake=770.0, F4_our_unlucky=2.79",3.4869189148577076,True,3.643830266026304,109.64335601368872
718230,2023-05-10,away,WSH,2.72,0.5730462372303009,0.3160321682568925,25.70140689734084,0.5586857652664186,DIAMOND,"F1_xera=5.39, F3_stake=3025.7, F4_our_unlucky=2.15",1.5130810851422924,True,2.602499466444743,112.24585548013346
718219,2023-05-11,away,TB,1.914,0.5530959963798523,0.4915310112060355,6.1564985173816815,0.05862573707103724,DIAMOND,"F1_xera=1.79, F2_xwoba=0.018, F4_our_unlucky=2.50",1.439933481551849,True,1.31609920213839,113.56195468227185
718213,2023-05-12,away,PIT,2.233,0.561810165643692,0.4064922805405785,15.531788510311351,0.2545220998823643,DIAMOND,"F1_xera=1.56, F3_stake=857.0, F4_our_unlucky=4.17",4.688406678422988,True,5.780805434495544,119.3427601167674
