game_id,game_date,side,team,decimal,prob,fair,edge_pp,ev,tier,signals,stake,won,pnl,bankroll
778036,2025-05-05,home,STL,1.7407407407407407,0.6308605074882507,0.5643244441848855,6.653606330336526,0.09816458710917719,DIAMOND,"F1_xera_gap=1.18, F3_swing_take_gap=548.9, F4_our_sp_unlucky=1.78",3.31305481493473,True,2.4541146777294296,102.45411467772944
778018,2025-05-07,home,BOS,1.7352941176470589,0.6348065137863159,0.5673456596425738,6.746085414374214,0.1015760092174306,DIAMOND,"F2_xwoba_gap=0.026, F3_swing_take_gap=4917.4, F4_our_sp_unlucky=4.35",3.5383392329353702,True,2.601720024217184,105.05583470194662
777970,2025-05-10,home,SEA,1.7142857142857144,0.6266542673110962,0.5750547325859694,5.159953472512679,0.07426445824759353,DIAMOND,"F1_xera_gap=2.94, F2_xwoba_gap=0.022, F3_swing_take_gap=4113.0, F4_our_sp_unlucky=3.98",2.7306701274610803,False,-2.7306701274610803,102.32516457448554
777958,2025-05-11,home,SEA,1.7194616977225674,0.6308605074882507,0.5727989707183415,5.806153676990922,0.08474047923186806,DIAMOND,"F1_xera_gap=6.65, F3_swing_take_gap=3780.3, F4_our_sp_unlucky=1.87, F4_opp_sp_lucky=-2.26",3.0130455557848688,False,-3.0130455557848688,99.31211901870067
777944,2025-05-13,home,CLE,1.7246376811594204,0.6308605074882507,0.5684449041768126,6.241560331143814,0.08800580276959191,PLATINUM,"F3_swing_take_gap=694.7, F4_our_sp_unlucky=1.18",0.9045944255554658,True,0.6555032069242507,99.96762222562492
777904,2025-05-16,home,NYY,1.6896551724137931,0.6348065137863159,0.5846862341459951,5.012027964032084,0.07260410950101659,DIAMOND,"F1_xera_gap=1.11, F3_swing_take_gap=1423.4, F4_our_sp_unlucky=3.84",2.631046819101755,True,1.8145150476563827,101.78213727328131
777861,2025-05-19,home,MIN,1.704225352112676,0.6348065137863159,0.5794987583752815,5.530775541103439,0.08185335448090458,DIAMOND,"F1_xera_gap=0.83, F3_swing_take_gap=1894.9, F4_our_sp_unlucky=2.34",2.957579323529165,True,2.0828023405134966,103.8649396137948
777796,2025-05-24,home,DET,1.7142857142857144,0.6348065137863159,0.5750547325859694,5.975178120034652,0.08823973791939882,DIAMOND,"F1_xera_gap=4.40, F2_xwoba_gap=0.029, F3_swing_take_gap=5991.7, F4_our_sp_unlucky=3.90",3.2077552676874026,False,-3.2077552676874026,100.6571843461074
777783,2025-05-25,home,ATL,1.72992700729927,0.6308605074882507,0.5710320888782683,5.982841860998245,0.09134262974244833,PLATINUM,"F3_swing_take_gap=1487.5, F4_our_sp_unlucky=2.06",0.944713494846156,False,-0.944713494846156,99.71247085126124
777732,2025-05-28,home,TB,1.9090909090909092,0.5542782545089722,0.5027049024397354,5.157335206923674,0.05816757678985596,PLATINUM,"F3_swing_take_gap=408.3, F4_our_sp_unlucky=1.54",0.4785027064246285,True,0.43500246038602597,100.14747331164727
777628,2025-06-05,home,SEA,1.9090909090909092,0.5587912797927856,0.5054027332436023,5.338854654918334,0.06678335233168176,PLATINUM,"F3_swing_take_gap=2918.5, F4_our_sp_unlucky=3.04",0.5517751796122033,False,-0.5517751796122033,99.59569813203507
777633,2025-06-05,home,SF,1.9175084175084176,0.5509629249572754,0.5006570659694386,5.030585898783679,0.05647604634063419,PLATINUM,"F1_xera_gap=1.31, F4_our_sp_unlucky=2.92",0.459786348198355,True,0.421857844727447,100.01755597676251
777605,2025-06-07,home,NYY,1.9090909090909092,0.5588861703872681,0.5047015514144788,5.418461897278926,0.06696450710296631,PLATINUM,"F3_swing_take_gap=4727.7, F4_our_sp_unlucky=2.59",0.5525541728542475,False,-0.5525541728542475,99.46500180390827
