date,matchup,pick,tier,pick_prob,bucket,pick_team_xwoba,opp_xwoba,gap_pickside,won_scoreboard,home_score,away_score
2026-05-02,SF @ TB,TB,GOLD,0.6743,win,0.2844,0.3341,-0.0497,True,5,1
2026-05-02,LAD @ STL,LAD,GOLD,0.5313,bad_read,0.2902,0.374,-0.0838,False,3,2
2026-05-02,TEX @ DET,TEX,GOLD,0.5433,null_zone,0.3761,0.3618,0.0143,False,5,1
2026-05-02,ATL @ COL,COL,SKIP,0.6354,bad_read,0.2424,0.354,-0.1116,False,1,9
2026-05-02,CHW @ SD,SD,SKIP,0.6563,bad_read,0.2144,0.3499,-0.1355,False,0,4
2026-05-02,NYM @ LAA,LAA,GOLD,0.5146,bad_beat,0.2748,0.1961,0.0787,False,3,3
2026-05-02,KC @ SEA,KC,GOLD,0.565,win,0.1731,0.2271,-0.054,True,2,3
2026-05-03,TOR @ MIN,MIN,GOLD,0.5031,win,0.3135,0.3006,0.0129,True,4,3
2026-05-03,HOU @ BOS,HOU,GOLD,0.5081,win,0.3515,0.4418,-0.0903,True,1,3
2026-05-03,CIN @ PIT,PIT,GOLD,0.5846,win,0.2893,0.2279,0.0614,True,1,0
2026-05-03,BAL @ NYY,NYY,GOLD,0.7059,win,0.4203,0.2331,0.1872,True,11,3
2026-05-03,MIL @ WSH,WSH,GOLD,0.5144,win,0.2436,0.2827,-0.0391,True,3,2
2026-05-03,SF @ TB,TB,GOLD,0.6593,null_zone,0.2826,0.2709,0.0117,False,1,1
2026-05-03,PHI @ MIA,MIA,SKIP,0.6287,bad_read,0.2533,0.3756,-0.1223,False,2,7
2026-05-03,LAD @ STL,LAD,GOLD,0.5069,win,0.3093,0.3973,-0.088,True,1,4
2026-05-03,ATL @ COL,COL,SKIP,0.5987,null_zone,0.379,0.3712,0.0078,False,6,11
2026-05-03,CLE @ OAK,OAK,SKIP,0.7479,win,0.3678,0.248,0.1198,True,7,1
2026-05-03,NYM @ LAA,LAA,GOLD,0.6105,bad_read,0.2636,0.3022,-0.0386,False,1,5
2026-05-03,KC @ SEA,SEA,GOLD,0.6383,bad_read,0.2069,0.3978,-0.1909,False,1,4
2026-05-03,CHW @ SD,SD,SKIP,0.6752,win,0.2872,0.2803,0.0069,True,4,3
2026-05-03,TEX @ DET,DET,GOLD,0.6443,win,0.2569,0.2377,0.0192,True,7,1
2026-05-05,BOS @ DET,DET,GOLD,0.5253,bad_read,0.2775,0.3319,-0.0544,False,3,10
2026-05-05,TOR @ TB,TB,SKIP,0.583,win,0.2809,0.354,-0.0731,True,4,3
2026-05-05,OAK @ PHI,PHI,GOLD,0.6362,win,0.4271,0.2478,0.1793,True,9,1
2026-05-05,BAL @ MIA,MIA,SKIP,0.5887,bad_beat,0.4063,0.3645,0.0418,False,7,9
2026-05-05,MIN @ WSH,WSH,GOLD,0.5276,null_zone,0.3128,0.3376,-0.0248,False,3,11
2026-05-05,TEX @ NYY,NYY,GOLD,0.6383,win,0.3882,0.383,0.0052,True,7,4
2026-05-05,CIN @ CHC,CHC,GOLD,0.6473,bad_beat,0.3982,0.2664,0.1318,False,2,2
2026-05-05,CLE @ KC,CLE,SKIP,0.5193,bad_read,0.3118,0.3697,-0.0579,False,5,3
2026-05-05,LAD @ HOU,HOU,SKIP,0.5374,win,0.2323,0.2937,-0.0614,True,2,1
2026-05-05,CHW @ LAA,LAA,SKIP,0.6383,win,0.3652,0.3302,0.035,True,4,3
2026-05-05,ATL @ SEA,ATL,SKIP,0.5583,win,0.2696,0.1848,0.0848,True,2,3
2026-05-05,SD @ SF,SD,SKIP,0.659,win,0.3683,0.2607,0.1076,True,5,10
2026-05-06,TOR @ TB,TB,SKIP,0.5308,win,0.4224,0.2194,0.203,True,3,0
2026-05-06,MIL @ STL,MIL,GOLD,0.5253,win,0.3608,0.2392,0.1216,True,2,6
2026-05-06,LAD @ HOU,LAD,SKIP,0.5643,win,0.3456,0.2965,0.0491,True,2,12
2026-05-06,SD @ SF,SD,GOLD,0.7618,win,0.3193,0.1425,0.1768,True,1,5
2026-05-06,CHW @ LAA,LAA,SKIP,0.5898,win,0.421,0.2753,0.1457,True,8,2
2026-05-06,ATL @ SEA,ATL,SKIP,0.5755,bad_read,0.2467,0.3022,-0.0555,False,3,1
2026-05-06,BOS @ DET,DET,PLATINUM,0.6435,null_zone,0.2891,0.2814,0.0077,False,0,4
2026-05-06,OAK @ PHI,PHI,SKIP,0.6563,win,0.3612,0.2547,0.1065,True,6,3
2026-05-06,BAL @ MIA,MIA,SKIP,0.5252,bad_read,0.2856,0.3119,-0.0263,False,4,7
