game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_il_placements_home,news_il_placements_away,news_il_player_names_home,news_il_player_names_away,news_lineup_scratches_home,news_lineup_scratches_away,news_regular_scratches_home,news_regular_scratches_away,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
823370,MIA @ PIT,False,False,677952,645261,677952,645261,,,0.0,False,False,1.8333333333333335,1.8333333333333335,0,1,0,Oneil Cruz,,0,0,0,0,-0.012,0,home 1 IL placement(s) (Oneil Cruz) -> -1.20pp,il_placement_home
822726,SEA @ WSH,False,False,641793,682243,641793,682243,,,0.0,False,True,2.35,2.35,0,0,3,,"J.P. Crawford, Cooper Criswell, Matt Brash",0,0,0,0,0.039,0,"away bullpen short -> 1.5pp toward home | away 3 IL placement(s) (J.P. Crawford, Cooper Criswell, Matt Brash) -> +2.40pp",bullpen_short_away;il_placement_away
824826,SD @ BAL,False,False,669358,656288,669358,656288,,,0.0,False,False,1.8333333333333335,1.8333333333333335,0,1,2,Chris Bassitt,"Ramón Laureano, Jeremiah Estrada",0,0,0,0,0.006000000000000002,0,"home 1 IL placement(s) (Chris Bassitt) -> -1.20pp | away 2 IL placement(s) (Ramón Laureano, Jeremiah Estrada) -> +1.80pp",il_placement_home;il_placement_away
824425,DET @ CLE,False,False,676440,656427,676440,656427,,,0.0,False,False,2.02,2.02,0,0,0,,,0,0,0,0,0.0,0,,
824752,TEX @ BOS,False,False,543243,683004,543243,683004,,,0.0,False,False,1.8333333333333335,1.8333333333333335,0,2,2,"Nick Sogard, Jovani Morán","Danny Jansen, Jalen Beeks",0,0,0,0,0.0,0,"home 2 IL placement(s) (Nick Sogard, Jovani Morán) -> -1.80pp | away 2 IL placement(s) (Danny Jansen, Jalen Beeks) -> +1.80pp",il_placement_home;il_placement_away
824507,ARI @ CIN,False,False,666157,593958,666157,593958,,,0.0,False,False,2.02,2.02,0,0,0,,,0,0,0,0,0.0,0,,
823617,ATL @ NYM,False,False,690997,675911,690997,675911,,,0.0,False,False,2.06,2.06,0,0,2,,"Ronald Acuña Jr., Tyler Kinley",0,0,0,0,0.018000000000000002,0,"away 2 IL placement(s) (Ronald Acuña Jr., Tyler Kinley) -> +1.80pp",il_placement_away
823778,PHI @ MIL,False,False,694819,691725,694819,691725,,,0.0,False,False,1.4385964912280702,1.4385964912280702,0,5,0,"Rob Zastryzny, DL Hall, Quinn Priester, Brian Fitzpatrick, Carlos Rodriguez",,0,0,0,0,-0.03,0,"home 5 IL placement(s) (Rob Zastryzny, DL Hall, Quinn Priester, Brian Fitzpatrick, Carlos Rodriguez) -> -3.00pp",il_placement_home
824102,HOU @ KC,False,False,679883,837227,679883,837227,,,0.0,True,False,2.06,2.06,0,1,3,Kyle Isbel,"Braden Shewmake, Nick Allen, LaMonte Wade Jr.",0,0,0,0,-0.002999999999999999,0,"home bullpen short -> 1.5pp toward away | home 1 IL placement(s) (Kyle Isbel) -> -1.20pp | away 3 IL placement(s) (Braden Shewmake, Nick Allen, LaMonte Wade Jr.) -> +2.40pp",bullpen_short_home;il_placement_home;il_placement_away
823695,STL @ MIN,False,False,657746,681517,657746,681517,,,0.0,False,False,1.8333333333333335,1.8333333333333335,0,0,1,,Ryan Fernandez,0,0,0,0,0.012,0,away 1 IL placement(s) (Ryan Fernandez) -> +1.20pp,il_placement_away
824020,TB @ LAA,False,False,691951,663556,691951,663556,,,0.0,False,False,2.5300000000000002,2.5300000000000002,0,6,1,"Jorge Soler, Gustavo Campero, Jack Kochanowicz, Vaughn Grissom, Adam Frazier",Jonathan Heasley,0,0,0,0,-0.018,0,"home 6 IL placement(s) (Jorge Soler, Gustavo Campero, Jack Kochanowicz, Vaughn Grissom, Adam Frazier) -> -3.00pp | away 1 IL placement(s) (Jonathan Heasley) -> +1.20pp",il_placement_home;il_placement_away
