matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
STL @ NYM,STL,0.4783,0.4807,0.0024,0.5193,0.5193,0.5313,2816.0,0.4273,9.2,0.1684,0.1348,0.0337,0.0168,0.0,0.0,1.139,1.241,0.0141,0.1021,26.26,23.57,Christian Scott,Hunter Dobbins,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=+4.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.524 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,4.096215798219738,1,[],[],[],[]
MIN @ DET,DET,0.4188,0.537,0.1182,0.537,0.537,0.5396,2252.0,0.5425,-0.55,0.0039,0.0045,0.0011,0.0006,0.0,0.0,1.428,1.055,0.0029,0.1044,16.02,21.8,Keider Montero,Zebby Matthews,GOLD,F3_swing_take_gap=2832.6,"edge -0.55pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-3.8) (-1) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.524 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,-3.759770540927832,0,[],[],[],[]
ARI @ MIA,ARI,0.3497,0.4602,0.1106,0.5398,0.5398,0.51,2271.0,0.4911,4.87,0.0903,0.0885,0.0221,0.0111,0.0,0.0,1.107,1.226,-0.0045,0.1066,21.07,14.57,Tyler Phillips,Merrill Kelly,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-3,"SP edge 3.76 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+33.5) (-1) | team_quality modifier (-1; DISABLED, score+=0)",-3,D,33.464015007700326,-1,[],[],[],[]
TEX @ KC,TEX,0.6018,0.4597,0.1421,0.5403,0.5403,0.5304,2301.0,0.4682,7.21,0.1401,0.1262,0.0315,0.0158,0.0,0.0,1.114,1.077,-0.0034,0.1104,20.68,19.63,Michael Wacha,Kumar Rocker,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-1,"SP edge 0.38 xERA AGAINST pick (-2) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",-1,D,-0.9817995232055949,1,[],[],[],[]
CHC @ COL,CHC,0.4615,0.495,0.0336,0.505,0.505,0.498,2328.0,0.5959,-9.09,-0.1369,0.0,0.0,0.0,0.0,0.0,0.968,1.166,0.0083,0.1023,18.72,19.91,Ryan Feltner,Edward Cabrera,SKIP,,"edge -9.09pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"SP edge 1.04 xERA agrees with pick (+2) | PQI confirms pick (Δ=-19.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | large negative edge (-9.1pp) caps grade at C (score 3 -> 2) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 1] negative-edge GOLD (-9.1pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.524 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-19.64303122828099,1,[],[],[],[]
LAD @ PIT,LAD,0.5729,0.3243,0.2486,0.6757,0.6757,0.545,2698.0,0.6083,6.74,0.1353,0.199,0.0497,0.0249,0.0,0.0,1.113,1.244,-0.0086,0.1147,17.79,16.54,Mitch Keller,Justin Wrobleski,GOLD,F2_xwoba_gap=0.026,tier GOLD -> stake_mult=0,fetched,,False,,,B+,3,"F-signal fires (+1) | SP edge 0.66 xERA agrees with pick (+2) | PQI confirms pick (Δ=-14.3) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.13) (-1)",3,B+,-14.267280192615658,1,[],[],[],[]
SEA @ BAL,BAL,0.3118,0.6683,0.3565,0.6683,0.6683,0.6563,3336.0,0.4852,18.31,0.3634,0.125,0.0437,0.02185,0.0,0.0,1.046,1.051,0.0033,0.1028,21.01,25.24,Kyle Bradish,Bryan Woo,SKIP,,"edge +18.31pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue;calibration_caution_18_25pp,True,,,D,-4,SP edge 1.19 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-16.0) (-1) | Stage 1/2 disagree (Δ=0.18) (-1),-4,D,-16.02866569523485,0,[],[],[],[]
ATL @ CHW,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for CHW (home); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
