matchup,game_pk,game_num,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,pick_prob_raw,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
MIN @ CLE,824410,1,MIN,0.3758,0.4857,0.1099,0.5143,0.5143,0.5143,0.5313,17237.0,0.5244,-1.01,-0.0223,0.0,0.0,0.0,0.0,0.0,1.162,1.068,0.0242,0.0974,18.39,28.2,Tanner Bibee,Joe Ryan,SKIP,,"edge -1.01pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"SP edge 1.46 xERA agrees with pick (+2) | PQI confirms pick (Δ=-12.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 1] negative-edge GOLD (-1.0pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.533 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-12.945171269309434,1,[],[],[],[]
PIT @ NYY,823522,1,NYY,0.6371,0.6363,0.0007,0.6363,0.6363,0.6363,0.6563,17605.0,0.5318,10.46,0.2096,0.2327,0.0582,0.0291,0.0,0.0,1.152,1.031,0.0221,0.1073,26.47,28.02,Ryan Weathers,Braxton Ashcraft,SKIP,,tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True,,,D,-2,SP edge 1.11 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-17.6) (-1) | Stage 1/2 agree (Δ=0.00) (+1),-2,D,-17.599329575352172,0,[],[],[],[]
TB @ TOR,822788,1,TOR,0.9378,0.5369,0.401,0.5369,0.5369,0.5369,0.5987,19460.0,0.5906,-5.37,-0.0655,0.0,0.0,0.0,0.0,0.0,1.081,1.101,0.0007,0.0928,37.3,13.07,Dylan Cease,Nick Martinez,SKIP,F1_xera_gap=3.50,"edge -5.37pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 1.84 xERA agrees with pick (+2) | PQI confirms pick (Δ=+28.9) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.26) (-1) | [HARD CAP 1] negative-edge GOLD (-5.4pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.536 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,28.883161000870437,-1,[],[],[],[]
BAL @ BOS,824736,1,BOS,0.5963,0.6713,0.075,0.6713,0.6713,0.6713,0.6563,19227.0,0.5727,9.87,0.1878,0.2441,0.061,0.0305,0.0,0.0,1.046,1.134,-0.0011,0.0918,23.38,21.11,Payton Tolle,Shane Baz,GOLD,F1_xera_gap=1.39*,tier GOLD -> stake_mult=0,fetched,,False,,,A,5,"F-signal fires (+1) | SP edge 1.34 xERA agrees with pick (+2) | PQI confirms pick (Δ=+24.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",5,A,24.156541688524356,1,[],[],[],[]
LAD @ PHI,823436,1,LAD,0.4651,0.4567,0.0084,0.5433,0.5433,0.5433,0.5038,14828.0,0.4273,11.6,0.2224,0.178,0.0445,0.0222,0.0,0.0,1.117,1.165,0.0083,0.1082,28.18,25.0,Cristopher Sánchez,Emmet Sheehan,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,"SP edge 0.69 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+14.4) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1)",-2,D,14.422343404392805,1,[],[],[],[]
SD @ ATL,824898,1,ATL,0.3656,0.5076,0.1419,0.5076,0.5076,0.5076,0.54,18319.0,0.5906,-8.31,-0.1165,0.0,0.0,0.0,0.0,0.0,1.07,1.145,-0.0194,0.0888,20.78,21.39,Bryce Elder,JP Sears,SKIP,,"edge -8.31pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=-3.3) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-3.268086750005928,1,[],[],[],[]
SF @ KC,824087,1,SF,0.7055,0.438,0.2675,0.562,0.562,0.562,0.5538,16245.0,0.4823,7.97,0.1576,0.1487,0.0372,0.0186,0.0,0.0,1.112,1.211,-0.0165,0.104,19.63,18.05,Michael Wacha,Trevor McDonald,GOLD,"F3_swing_take_gap=555.3, F5_bullpen_gap=+0.43, tier_demoted_PLATINUM_to_GOLD",guardrail: PLATINUM demoted to GOLD (rolling win rate below benchmark),fetched,,False,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=-12.5) (+1) | Stage 1/2 disagree (Δ=0.12) (-1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.541 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,-12.519063856905966,0,[],[],[],[]
NYM @ MIL,823762,1,MIL,0.6981,0.6443,0.0538,0.6443,0.6443,0.6443,0.6563,17262.0,0.6801,-3.58,-0.0165,0.0,0.0,0.0,0.0,0.0,1.048,1.152,-0.0003,0.1029,38.07,21.87,Jacob Misiorowski,Freddy Peralta,GOLD,"F1_xera_gap=3.49, F3_swing_take_gap=616.9, tier_demoted_PLATINUM_to_GOLD","edge -3.58pp outside [4,15]pp | guardrail: PLATINUM demoted to GOLD (rolling win rate below benchmark)",fetched,acute_roster,True,,,B-,1,"F-signal fires (+1) | SP edge 1.75 xERA agrees with pick (+2) | PQI confirms pick (Δ=+16.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1) | negative edge (-3.6pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-3.6pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,16.241384017202094,1,[],[],[],[]
DET @ CHC,824654,1,CHC,0.4663,0.5438,0.0775,0.5438,0.5438,0.5438,0.5377,13761.0,0.5177,2.61,0.0569,0.0603,0.0151,0.0075,0.0,0.0,1.154,1.531,-0.0078,0.0978,21.22,25.0,Jameson Taillon,Jack Flaherty,SKIP,,"edge +2.61pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-2,"SP edge 1.18 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-11.0) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-2,D,-11.007034875867262,1,[],[],[],[]
CHW @ TEX,822874,1,TEX,0.6186,0.6443,0.0257,0.6443,0.6443,0.6443,0.6563,17042.0,0.6273,1.7,0.0655,0.1002,0.025,0.0125,0.0,0.0,1.155,1.265,0.0077,0.1065,30.06,16.08,Jacob deGrom,Erick Fedde,GOLD,"F1_xera_gap=1.65, F5_bullpen_gap=+0.43, tier_demoted_PLATINUM_to_GOLD","edge +1.70pp outside [4,15]pp | guardrail: PLATINUM demoted to GOLD (rolling win rate below benchmark)",fetched,,True,,,B-,1,F-signal fires (+1) | SP edge 1.19 xERA agrees with pick (+2) | PQI confirms pick (Δ=+14.9) (+1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0077 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5],5,A,14.892400152605731,0,[],[],[],[]
MIA @ HOU,824167,1,HOU,0.5011,0.5134,0.0123,0.5034,0.5034,0.5134,0.5124,18547.0,0.5608,-5.74,-0.094,0.0,0.0,0.0,0.0,0.0,1.215,1.081,0.0218,0.1054,,17.0,Ronel Blanco,Janson Junk,SKIP,"sp_savant_gate=HARD_VETO, thin_sp_data, thin_sp_shrunk_w=0.25","Ronel Blanco has only 0 Statcast pitches season-to-date; need 100+ to score | edge -5.74pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.531 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-0.017519348216318065,0,[],[],[],[]
WSH @ COL,824328,1,WSH,0.5038,0.4747,0.0291,0.5253,0.5253,0.5253,0.5293,19138.0,0.5425,-1.72,-0.0179,0.0,0.0,0.0,0.0,0.0,1.082,1.067,0.005,0.1095,19.89,24.88,Kyle Freeland,Andrew Alvarez,GOLD,"F1_xera_gap=1.50*, F2_xwoba_gap=0.025, F5_bullpen_gap=+1.05, tier_demoted_PLATINUM_to_GOLD","edge -1.72pp outside [4,15]pp | guardrail: PLATINUM demoted to GOLD (rolling win rate below benchmark)",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 1.22 xERA agrees with pick (+2) | PQI confirms pick (Δ=-16.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | negative edge (-1.7pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-1.7pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.534 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-16.218377319479753,1,[],[],[],[]
OAK @ ARI,825058,1,ARI,0.3754,0.5839,0.2086,0.5839,0.5839,0.5839,0.6195,15600.0,0.6157,-3.17,-0.0188,0.0,0.0,0.0,0.0,0.0,1.295,1.115,0.0024,0.1023,20.85,20.34,Mitch Bratt,Jeffrey Springs,GOLD,F5_bullpen_gap=+0.47,"edge -3.17pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.547 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-2.452980098299598,1,[],[],[],[]
CIN @ SEA,823112,1,CIN,0.8013,0.4867,0.3146,0.5133,0.5133,0.5133,0.5313,15906.0,0.3891,12.42,0.2679,0.1822,0.0456,0.0228,0.0,0.0,1.298,1.215,0.0167,0.0959,21.91,18.56,George Kirby,Andrew Abbott,SKIP,,fair_prob 0.389 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,,,D,-4,SP edge 0.89 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+10.3) (-1) | Stage 1/2 disagree (Δ=0.19) (-1),-4,D,10.294898488738134,0,[],[],[],[]
STL @ LAA,824006,1,LAA,0.6991,0.6683,0.0307,0.6683,0.6683,0.6683,0.6563,19664.0,0.5177,15.06,0.2988,0.25,0.0792,0.0396,0.0,0.0,1.231,1.382,0.0079,0.1013,25.8,18.61,José Soriano,Kyle Leahy,GOLD,F1_xera_gap=1.51,"edge +15.06pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,,,B-,1,"F-signal fires (+1) | SP edge 1.01 xERA agrees with pick (+2) | PQI confirms pick (Δ=+17.8) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0079 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,17.839167918556605,-1,[],[],[],[]
