game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,book,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength,player_aware_signal,pred_winp_mc,pred_runs_mc,pred_runs_cal,total_p25,total_p75,total_p10,total_p90,most_probable_total,mpt_prob,cal_basis
2026-07-24,MIL,COL,8.5,10.4,1.9,over,1.885,0.5544,0.5164,1.02,pinnacle,10.4,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.34,""lineup_xwoba_a"":0.304,""lineup_wrcplus_h"":119.0,""lineup_wrcplus_a"":116.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.94,6.1,11.4,4.1,14.2,9,0.107,blend
2026-07-24,DET,KC,7.5,9.73,2.23,over,1.833,0.5708,0.5263,1.12,bovada,9.73,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.318,""lineup_xwoba_a"":0.29,""lineup_wrcplus_h"":108.0,""lineup_wrcplus_a"":96.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,7.93,5.1,10.4,3.1,13.2,8,0.107,blend
2026-07-24,PIT,CHC,8.0,10.62,2.62,over,1.98,0.5374,0.485,1.31,pinnacle,10.62,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.307,""lineup_xwoba_a"":0.326,""lineup_wrcplus_h"":108.0,""lineup_wrcplus_a"":114.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.47,5.6,11.0,3.6,13.7,8,0.107,blend
2026-07-24,WSH,ARI,9.5,8.81,0.69,under,1.901,0.5247,0.5109,0.0,pinnacle,8.81,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.317,""lineup_xwoba_a"":0.332,""lineup_wrcplus_h"":111.0,""lineup_wrcplus_a"":119.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,9.82,7.0,12.3,5.0,15.1,10,0.107,blend
2026-07-24,PHI,NYY,8.0,8.88,0.88,over,1.98,0.5039,0.4863,0.0,pinnacle,8.88,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.32,""lineup_xwoba_a"":0.284,""lineup_wrcplus_h"":101.0,""lineup_wrcplus_a"":103.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.37,5.5,10.9,3.5,13.6,8,0.107,blend
2026-07-24,NYM,LAD,9.0,10.31,1.31,over,1.962,0.5181,0.4918,0.34,pinnacle,10.31,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.32,""lineup_xwoba_a"":0.352,""lineup_wrcplus_h"":103.0,""lineup_wrcplus_a"":121.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,9.42,6.6,11.9,4.6,14.7,9,0.107,blend
2026-07-24,BOS,TOR,8.5,10.08,1.58,over,1.943,0.5288,0.4973,0.59,pinnacle,10.08,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.3,""lineup_xwoba_a"":0.314,""lineup_wrcplus_h"":103.0,""lineup_wrcplus_a"":108.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.92,6.1,11.4,4.1,14.2,9,0.107,blend
2026-07-24,CHW,HOU,8.5,9.39,0.89,over,1.847,0.5464,0.5285,0.22,pinnacle,9.39,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.331,""lineup_xwoba_a"":0.309,""lineup_wrcplus_h"":111.0,""lineup_wrcplus_a"":109.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.88,6.0,11.4,4.1,14.1,9,0.107,blend
2026-07-24,TEX,SEA,,9.77,,,,,,,,9.77,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.31,""lineup_xwoba_a"":0.308,""lineup_wrcplus_h"":103.0,""lineup_wrcplus_a"":105.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.96,5.9,11.9,3.9,15.0,9,0.107,no_line
2026-07-24,MIN,OAK,,9.31,,,,,,,,9.31,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.314,""lineup_xwoba_a"":0.324,""lineup_wrcplus_h"":109.0,""lineup_wrcplus_a"":109.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.94,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-24,STL,CIN,,9.23,,,,,,,,9.23,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.324,""lineup_xwoba_a"":0.338,""lineup_wrcplus_h"":105.0,""lineup_wrcplus_a"":106.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.94,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-24,SF,LAA,,8.29,,,,,,,,8.29,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.327,""lineup_xwoba_a"":0.318,""lineup_wrcplus_h"":112.0,""lineup_wrcplus_a"":105.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,8.89,5.8,11.8,3.8,14.9,9,0.107,no_line
