matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
PHI @ PIT,PIT,0.5601,0.5177,0.0425,0.5177,0.5177,0.5521,2366.0,0.5563,-3.86,-0.0872,0.0,0.0,0.0,0.0,0.0,0.97,1.245,-0.0142,0.103,GOLD,"F1_xera_gap=2.20*, F3_swing_take_gap=2273.0","edge -3.86pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 1.73 xERA agrees with pick (+2) | PQI confirms pick (Δ=+22.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1) | negative edge (-3.9pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-3.9pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,22.367125200060073,1,[],[]
BAL @ WSH,WSH,0.436,0.5648,0.1288,0.5648,0.5648,0.5517,2664.0,0.4206,14.42,0.2482,0.2051,0.0513,0.0256,0.0,0.0,1.393,1.132,-0.0068,0.1057,GOLD,F3_swing_take_gap=2968.9,tier GOLD -> stake_mult=0,fetched,,False,D,-1,"F-signal fires (+1) | SP edge 2.99 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-28.7) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",-1,D,-28.710119371928428,1,[],[]
TOR @ DET,DET,0.5782,0.5332,0.045,0.5332,0.5332,0.5213,2043.0,0.4511,8.22,0.1172,0.107,0.0267,0.0134,0.0,0.0,1.34,1.235,-0.0057,0.1022,PLATINUM,"F2_xwoba_gap=0.024, F3_swing_take_gap=4547.8",,fetched,,False,A,5,clears every gate (+3) | PLATINUM tier (+1; SP edge unconfirmed) | F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-29.3) (-1) | Stage 1/2 agree (Δ=0.03) (+1),5,A,-29.32100853299186,0,[],[]
CIN @ CLE,CLE,0.68,0.6302,0.0498,0.6302,0.6302,0.5794,3051.0,0.5624,6.77,0.0987,0.1328,0.0332,0.0166,0.0,0.0,1.222,1.181,0.0181,0.1141,GOLD,"F1_xera_gap=1.30*, F5_bullpen_gap=+0.87",tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,A,5,"F-signal fires (+1) | SP edge 0.93 xERA agrees with pick (+2) | PQI confirms pick (Δ=+14.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",5,A,14.932351198484078,1,[],[]
MIA @ TB,TB,0.5413,0.5381,0.0032,0.5381,0.5381,0.5495,2084.0,0.5253,1.28,-0.0078,0.0,0.0,0.0,0.0,0.0,1.37,1.128,-0.0033,0.0971,SKIP,,"edge +1.28pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,D,-2,"SP edge 0.39 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-11.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1)",-2,D,-11.13820734888666,1,[],[]
BOS @ ATL,ATL,0.4823,0.6653,0.1831,0.6653,0.6653,0.6563,2083.0,0.596,6.93,0.106,0.16,0.04,0.02,0.0,0.0,1.048,1.126,0.0113,0.1057,PLATINUM,"F2_xwoba_gap=0.030, F3_swing_take_gap=5680.9",,fetched,,False,A,6,"clears every gate (+3) | PLATINUM tier (+1; SP edge unconfirmed) | F-signal fires (+1) | PQI confirms pick (Δ=+10.0) (+1) | team_quality modifier (+1; DISABLED, score+=0)",6,A,10.039131318466644,1,[],[]
NYY @ NYM,NYY,0.348,0.4283,0.0803,0.5717,0.5717,0.5313,2324.0,0.5915,-1.98,-0.0434,0.0,0.0,0.0,0.0,0.0,1.272,1.318,-0.0075,0.1092,GOLD,"F1_xera_gap=2.38*, F2_xwoba_gap=0.033","edge -1.98pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,B-,1,"F-signal fires (+1) | SP edge 1.26 xERA agrees with pick (+2) | PQI confirms pick (Δ=-18.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | negative edge (-2.0pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-2.0pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,-18.359244269447345,1,[],[]
CHC @ CHW,CHC,0.6195,0.4965,0.1231,0.5035,0.5035,0.4878,2061.0,0.5873,-8.38,-0.155,0.0,0.0,0.0,0.0,0.0,1.309,1.036,0.0046,0.1057,SKIP,,"edge -8.38pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,D,-2,"SP edge 0.53 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+8.4) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",-2,D,8.360067136297921,1,[],[]
TEX @ HOU,HOU,0.5345,0.5061,0.0284,0.5061,0.5061,0.5429,2282.0,0.5,0.61,-0.0295,0.0,0.0,0.0,0.0,0.0,1.306,1.252,-0.0036,0.1036,GOLD,F3_swing_take_gap=3467.1,"edge +0.61pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True,D,-1,F-signal fires (+1) | SP edge 0.79 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-10.1) (-1) | Stage 1/2 agree (Δ=0.00) (+1),-1,D,-10.062283388326094,0,[],[]
KC @ STL,STL,0.3985,0.65,0.2515,0.65,0.65,0.6563,2680.0,0.5093,14.06,0.2304,0.25,0.0645,0.0323,0.0,0.0,1.294,1.01,-0.0016,0.1051,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-3,"SP edge 1.00 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-18.0) (-1) | team_quality modifier (+1; DISABLED, score+=0)",-3,D,-18.038403755954988,1,[],[]
