game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,book,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength,player_aware_signal,pred_winp_mc,pred_runs_mc,pred_runs_cal,total_p25,total_p75,total_p10,total_p90,most_probable_total,mpt_prob,cal_basis
2026-07-18,CLE,PIT,8.5,7.72,0.78,under,1.833,0.5418,0.5263,0.0,bovada,7.74,0.019,0.004,0.015,7.0,25.0,0.7254,0.7254,3.556,"{""lineup_xwoba_h"":0.307,""lineup_xwoba_a"":0.328,""lineup_wrcplus_h"":107.0,""lineup_wrcplus_a"":117.0,""bvp_pa_total"":32,""bvp_delta_runs"":0.019}",0.4481,8.69,8.80,5.9,11.3,4.0,14.0,9,0.107,blend
2026-07-18,CLE,PIT,8.5,8.14,0.36,under,1.833,0.5335,0.5263,0.0,bovada,8.16,0.019,0.004,0.015,7.0,25.0,0.7254,0.7254,3.556,"{""lineup_xwoba_h"":0.288,""lineup_xwoba_a"":0.32,""lineup_wrcplus_h"":97.0,""lineup_wrcplus_a"":111.0,""bvp_pa_total"":32,""bvp_delta_runs"":0.019}",0.4481,8.69,8.82,6.0,11.3,4.0,14.1,9,0.107,blend
2026-07-18,CHC,MIN,,8.55,,,,,,,,8.63,0.082,0.045,0.037,29.0,24.0,0.7341,0.7337,5.889,"{""lineup_xwoba_h"":0.325,""lineup_xwoba_a"":0.326,""lineup_wrcplus_h"":112.0,""lineup_wrcplus_a"":113.0,""bvp_pa_total"":53,""bvp_delta_runs"":0.082}",0.4982,9.43,8.90,5.8,11.8,3.8,14.9,9,0.107,no_line
2026-07-18,PHI,NYM,,9.07,,,,,,,,9.28,0.21,0.087,0.123,106.0,109.0,0.7374,0.7446,23.889,"{""lineup_xwoba_h"":0.297,""lineup_xwoba_a"":0.314,""lineup_wrcplus_h"":100.0,""lineup_wrcplus_a"":98.0,""bvp_pa_total"":215,""bvp_delta_runs"":0.21}",0.4737,10.65,8.93,5.8,11.9,3.9,14.9,9,0.107,no_line
2026-07-18,TOR,CHW,,8.96,,,,,,,,9.05,0.089,0.009,0.08,38.0,22.0,0.7221,0.7528,6.667,"{""lineup_xwoba_h"":0.3,""lineup_xwoba_a"":0.342,""lineup_wrcplus_h"":104.0,""lineup_wrcplus_a"":113.0,""bvp_pa_total"":60,""bvp_delta_runs"":0.089}",0.4359,9.68,8.92,5.8,11.9,3.9,14.9,9,0.107,no_line
2026-07-18,COL,CIN,,14.94,,,,,,,,14.93,-0.01,0.002,-0.012,2.0,24.0,0.7312,0.7154,2.889,"{""lineup_xwoba_h"":0.336,""lineup_xwoba_a"":0.317,""lineup_wrcplus_h"":123.0,""lineup_wrcplus_a"":104.0,""bvp_pa_total"":26,""bvp_delta_runs"":-0.01}",0.4637,11.97,9.24,6.1,12.2,4.2,15.3,9,0.107,no_line
2026-07-18,HOU,BAL,,9.4,,,,,,,,9.4,0.001,-0.016,0.017,21.0,24.0,0.7131,0.7264,5.0,"{""lineup_xwoba_h"":0.322,""lineup_xwoba_a"":0.341,""lineup_wrcplus_h"":102.0,""lineup_wrcplus_a"":109.0,""bvp_pa_total"":45,""bvp_delta_runs"":0.001}",0.4836,9.64,8.94,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-18,KC,SD,,8.96,,,,,,,,8.97,0.008,0.0,0.008,25.0,5.0,0.72,0.7349,3.333,"{""lineup_xwoba_h"":0.316,""lineup_xwoba_a"":0.308,""lineup_wrcplus_h"":99.0,""lineup_wrcplus_a"":97.0,""bvp_pa_total"":30,""bvp_delta_runs"":0.008}",0.5176,9.76,8.92,5.8,11.9,3.9,14.9,9,0.107,no_line
2026-07-18,ARI,STL,,9.41,,,,,,,,9.32,-0.09,-0.076,-0.014,58.0,44.0,0.7049,0.7172,11.333,"{""lineup_xwoba_h"":0.308,""lineup_xwoba_a"":0.324,""lineup_wrcplus_h"":105.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":102,""bvp_delta_runs"":-0.09}",0.4997,10.39,8.95,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-18,BOS,TB,,10.17,,,,,,,,10.25,0.078,-0.036,0.114,23.0,35.0,0.7058,0.7492,6.444,"{""lineup_xwoba_h"":0.328,""lineup_xwoba_a"":0.3,""lineup_wrcplus_h"":113.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":58,""bvp_delta_runs"":0.078}",0.5517,9.65,8.99,5.9,11.9,3.9,15.0,9,0.107,no_line
