matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
TEX @ NYY,NYY,0.3653,0.6563,0.6563,0.6563,0.6563,2094.0,,,,PLATINUM,"F2_xwoba_gap=0.038, F3_swing_take_gap=7145.0",,no_match,,False
MIN @ WSH,WSH,0.6581,0.6286,0.6286,0.6286,0.5953,2422.0,,,,GOLD,F3_swing_take_gap=1231.3,tier GOLD -> stake_mult=0,no_match,,False
CLE @ KC,CLE,0.7519,0.491,0.509,0.509,0.4901,2337.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_match,,False
CIN @ CHC,CHC,0.7467,0.5778,0.5778,0.5778,0.5282,2221.0,,,,GOLD,"F1_xera_gap=2.65*, F3_swing_take_gap=1562.5",tier GOLD -> stake_mult=0,no_match,,False
NYM @ COL,COL,0.5449,0.6598,0.6598,0.6598,0.6039,1941.0,0.9946,-33.48,-0.3363,SKIP,,"edge -33.48pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
PIT @ ARI,ARI,0.45,0.7797,0.7797,0.7797,0.7417,0.0,0.0439,73.58,6.6803,SKIP,,"model_prob 0.780 outside [0.48,0.72] | fair_prob 0.044 < 0.42 | edge +73.58pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
OAK @ PHI,PHI,0.314,0.5644,0.5644,0.5644,0.6397,0.0,0.5542,1.02,-0.0026,SKIP,,"edge +1.02pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
BAL @ MIA,BAL,0.5057,0.4747,0.5253,0.5253,0.528,2268.0,0.4525,7.28,0.0953,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
TB @ BOS,TB,0.4518,0.4507,0.5493,0.5493,0.5313,1782.0,0.4805,6.88,0.0932,GOLD,F3_swing_take_gap=1264.1,tier GOLD -> stake_mult=0,fetched,,False
STL @ SD,STL,0.7668,0.4877,0.5123,0.5123,0.511,2103.0,0.3754,13.7,0.2399,SKIP,,fair_prob 0.375 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False
