game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_il_placements_home,news_il_placements_away,news_il_player_names_home,news_il_player_names_away,news_lineup_scratches_home,news_lineup_scratches_away,news_regular_scratches_home,news_regular_scratches_away,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
824686,ARI @ CHC,False,False,607067.0,668678,607067,668678,483912.0,Mike Muchlinski,0.0,False,False,,,0,2,0,"Caleb Thielbar, Riley Martin",,0,0,0,0,-0.018000000000000002,0,"home 2 IL placement(s) (Caleb Thielbar, Riley Martin) -> -1.80pp",il_placement_home
824287,TEX @ DET,False,False,656427.0,669022,656427,669022,503502.0,Ryan Blakney,0.0,True,False,,,0,4,2,"Bailey Horn, Connor Seabold, Javier Báez, Casey Mize","Wyatt Langford, Robert Garcia",0,0,0,0,-0.026999999999999996,0,"home bullpen short -> 1.5pp toward away | home 4 IL placement(s) (Bailey Horn, Connor Seabold, Javier Báez, Casey Mize) -> -3.00pp | away 2 IL placement(s) (Wyatt Langford, Robert Garcia) -> +1.80pp",bullpen_short_home;il_placement_home;il_placement_away
823389,CIN @ PIT,False,False,656605.0,663903,656605,663903,427554.0,Jim Wolf,0.0,False,False,,,0,0,2,,"Eugenio Suárez, Brandon Williamson",0,0,0,0,0.018000000000000002,0,"away 2 IL placement(s) (Eugenio Suárez, Brandon Williamson) -> +1.80pp",il_placement_away
822744,MIL @ WSH,False,False,663623.0,694819,663623,694819,608093.0,Junior Valentine,0.0,False,False,,,0,0,2,,"Angel Zerpa, Brandon Woodruff",0,0,0,0,0.018000000000000002,0,"away 2 IL placement(s) (Angel Zerpa, Brandon Woodruff) -> +1.80pp",il_placement_away
824772,HOU @ BOS,False,False,,681347,687562,681347,503490.0,Chris Segal,0.0,False,False,,,0,2,1,"Sonny Gray, Garrett Crochet",Taylor Trammell,0,0,0,0,-0.006000000000000002,0,"home 2 IL placement(s) (Sonny Gray, Garrett Crochet) -> -1.80pp | away 1 IL placement(s) (Taylor Trammell) -> +1.20pp",il_placement_home;il_placement_away
822990,SF @ TB,False,False,663556.0,592662,663556,592662,545402.0,John Bacon,0.0,False,True,,,0,1,1,Edwin Uceta,Daniel Susac,0,0,0,0,0.015,0,away bullpen short -> 1.5pp toward home | home 1 IL placement(s) (Edwin Uceta) -> -1.20pp | away 1 IL placement(s) (Daniel Susac) -> +1.20pp,bullpen_short_away;il_placement_home;il_placement_away
823877,PHI @ MIA,False,False,691587.0,554430,691587,554430,,,0.0,False,True,,,0,1,2,Pete Fairbanks,"J.T. Realmuto, Kyle Backhus",0,0,0,0,0.021,0,"away bullpen short -> 1.5pp toward home | home 1 IL placement(s) (Pete Fairbanks) -> -1.20pp | away 2 IL placement(s) (J.T. Realmuto, Kyle Backhus) -> +1.80pp",bullpen_short_away;il_placement_home;il_placement_away
823713,TOR @ MIN,False,False,680573.0,571578,680573,571578,658082.0,Jacob Metz,0.0,True,False,,,0,1,2,Garrett Acton,"Nathan Lukes, Max Scherzer",0,0,0,0,-0.008999999999999998,0,"home bullpen short -> 1.5pp toward away | home 1 IL placement(s) (Garrett Acton) -> -1.20pp | away 2 IL placement(s) (Nathan Lukes, Max Scherzer) -> +1.80pp",bullpen_short_home;il_placement_home;il_placement_away
823066,LAD @ STL,False,False,669461.0,686218,669461,686218,,,0.0,False,False,,,0,0,0,,,0,0,0,0,0.0,0,,
824366,ATL @ COL,False,False,500779.0,656550,500779,656550,,,0.0,False,True,,,0,1,2,Ryan Feltner,"Raisel Iglesias, Dylan Dodd",0,0,0,0,0.021,0,"away bullpen short -> 1.5pp toward home | home 1 IL placement(s) (Ryan Feltner) -> -1.20pp | away 2 IL placement(s) (Raisel Iglesias, Dylan Dodd) -> +1.80pp",bullpen_short_away;il_placement_home;il_placement_away
824041,NYM @ LAA,False,False,700712.0,681035,700712,681035,,,0.0,False,False,,,0,1,3,Logan O'Hoppe,"Francisco Lindor, Kodai Senga, Luis Robert Jr.",0,0,0,0,0.012,0,"home 1 IL placement(s) (Logan O'Hoppe) -> -1.20pp | away 3 IL placement(s) (Francisco Lindor, Kodai Senga, Luis Robert Jr.) -> +2.40pp",il_placement_home;il_placement_away
825012,CLE @ OAK,False,False,669372.0,676282,669372,676282,,,0.0,False,False,,,0,2,1,"Denzel Clarke, Max Muncy",Shawn Armstrong,0,0,0,0,-0.006000000000000002,0,"home 2 IL placement(s) (Denzel Clarke, Max Muncy) -> -1.80pp | away 1 IL placement(s) (Shawn Armstrong) -> +1.20pp",il_placement_home;il_placement_away
823309,CHW @ SD,False,False,608566.0,702273,608566,702273,,,0.0,False,False,,,0,0,0,,,0,0,0,0,0.0,0,,
823146,KC @ SEA,False,False,693433.0,666142,693433,666142,,,0.0,False,True,,,0,0,0,,,0,0,0,0,0.015,0,away bullpen short -> 1.5pp toward home,bullpen_short_away
