matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
SD @ WSH,SD,0.3308,0.4652,0.1344,0.5348,0.5348,0.5131,3127.0,0.5308,0.39,0.0392,0.0416,0.0104,0.0052,0.0,0.0,1.391,1.199,-0.0232,0.1007,12.77,23.35,Zack Littell,Griffin Canning,PLATINUM,"F3_swing_take_gap=4183.0, F5_bullpen_gap=+1.09","edge +0.39pp outside [4,15]pp",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 1.99 xERA agrees with pick (+1) [small-sample SP, min_pa=99] | PQI confirms pick (Δ=-26.1) (+1) | Stage 1/2 agree (Δ=0.07) (+1) | [HARD CAP 8] bottom-bucket marginal-favorite (pick_prob=0.511 in (0.50, 0.52], edge_pp=+0.4pp <= +12) on tier-elevated pick (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.511 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-26.081885501072055,0,[],[],[],[]
MIN @ PIT,PIT,0.4603,0.521,0.0607,0.521,0.521,0.5025,3067.0,0.5581,-3.71,-0.0449,0.0,0.0,0.0,0.0,0.0,1.25,0.949,-0.0009,0.1032,25.45,22.77,Braxton Ashcraft,Zebby Matthews,GOLD,F3_swing_take_gap=4077.8,"edge -3.71pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 0.40 xERA AGAINST pick (-1) [small-sample SP, min_pa=73] | PQI confirms pick (Δ=+3.7) (+1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.509 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,3.673889478508343,0,[],[],[],[]
BOS @ CLE,CLE,0.4081,0.6563,0.2482,0.6563,0.6563,0.6388,3026.0,0.5635,9.28,0.1814,0.2268,0.0567,0.0283,0.0,0.0,1.169,1.115,0.0098,0.1082,20.0,21.61,Tanner Bibee,Ranger Suarez,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-3,"SP edge 0.91 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-13.5) (-1) | team_quality modifier (+1; DISABLED, score+=0)",-3,D,-13.523794618339785,1,[],[],[],[]
LAA @ TB,TB,0.7841,0.6503,0.1337,0.6503,0.6503,0.6166,2236.0,0.6523,-0.2,0.0398,0.0664,0.0166,0.0083,0.0,0.0,1.29,1.149,-0.0036,0.1012,24.11,17.44,Shane McClanahan,Jack Kochanowicz,GOLD,F1_xera_gap=1.96*,"edge -0.20pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True,,,B-,1,"F-signal fires (+1) | SP edge 1.39 xERA agrees with pick (+2) | PQI confirms pick (Δ=+24.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.13) (-1) | [HARD CAP 1] negative-edge GOLD (-0.2pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,24.063813632552773,1,[],[],[],[]
ATL @ CIN,ATL,0.451,0.4507,0.0003,0.5493,0.5493,0.5313,2624.0,0.5743,-2.5,-0.0112,0.0,0.0,0.0,0.0,0.0,1.144,0.974,-0.0268,0.1055,20.86,27.31,Nick Lodolo,Spencer Strider,SKIP,,"edge -2.50pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"SP edge 3.61 xERA agrees with pick (+1) [small-sample SP, min_pa=92] | PQI confirms pick (Δ=-53.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 1] negative-edge GOLD (-2.5pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.512 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-53.09969579520913,1,[],[],[],[]
MIA @ NYM,MIA,0.7336,0.4687,0.2649,0.5313,0.5313,0.5313,2801.0,0.4094,12.19,0.2486,0.1841,0.046,0.023,0.0,0.0,1.219,1.437,-0.0018,0.0925,29.64,16.18,Nolan McLean,Janson Junk,SKIP,,fair_prob 0.409 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,,,D,-4,SP edge 0.65 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+11.2) (-1) | Stage 1/2 disagree (Δ=0.12) (-1),-4,D,11.236081046854814,0,[],[],[],[]
DET @ CHW,CHW,0.5189,0.5689,0.05,0.5689,0.5689,0.5226,2480.0,0.5318,3.72,0.0815,0.0905,0.0226,0.0113,0.0,0.0,1.245,1.469,-0.0005,0.1081,22.3,17.57,Sean Burke,Keider Montero,GOLD,F3_swing_take_gap=535.0,"edge +3.72pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.523 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,1.5167162844351196,1,[],[],[],[]
MIL @ HOU,MIL,0.2075,0.4807,0.2732,0.5193,0.5193,0.505,2058.0,0.5906,-7.13,-0.096,0.0,0.0,0.0,0.0,0.0,1.279,1.195,-0.0003,0.1048,21.85,38.43,Tatsuya Imai,Jacob Misiorowski,GOLD,F3_swing_take_gap=3658.8,"edge -7.13pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 3.52 xERA agrees with pick (+2) | PQI confirms pick (Δ=-53.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.16) (-1) | [HARD CAP 1] negative-edge GOLD (-7.1pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.509 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-53.16379213898949,1,[],[],[],[]
KC @ TEX,TEX,0.5992,0.5084,0.0908,0.5084,0.5084,0.4979,2331.0,0.5278,-1.94,-0.0209,0.0,0.0,0.0,0.0,0.0,1.219,1.062,0.0028,0.1106,25.18,21.81,Jack Leiter,Michael Wacha,SKIP,,"edge -1.94pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-2,"SP edge 0.70 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-8.7) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",-2,D,-8.694433219608214,1,[],[],[],[]
SF @ COL,COL,0.433,0.6032,0.1702,0.6032,0.6032,0.6355,2008.0,0.4436,15.96,0.3572,0.25,0.0714,0.0357,0.0,0.0,1.04,1.037,-0.003,0.094,23.09,21.69,Tanner Gordon,Robbie Ray,GOLD,F3_swing_take_gap=823.6,"edge +15.96pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True,,,C,0,"F-signal fires (+1) | SP edge 0.93 xERA agrees with pick (+2) | PQI confirms pick (Δ=+14.7) (+1) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.543 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,14.715526964259702,0,[],[],[],[]
ARI @ SEA,ARI,0.5549,0.4687,0.0862,0.5313,0.5313,0.5242,2958.0,0.4447,8.67,0.1689,0.1407,0.0352,0.0176,0.0,0.0,1.017,1.196,-0.0128,0.1007,22.52,14.55,Bryce Miller,Merrill Kelly,GOLD,F3_swing_take_gap=2645.5,tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 6.26 xERA AGAINST pick (-1) [small-sample SP, min_pa=90] | PQI AGAINST (late-game-degradation) pick (Δ=+61.5) (-1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.510 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,61.46263334617625,0,[],[],[],[]
PHI @ LAD,LAD,0.5849,0.6383,0.0534,0.6383,0.6383,0.6563,2658.0,0.5888,4.96,0.1183,0.1573,0.0393,0.0197,0.0,0.0,1.191,1.206,-0.0087,0.1085,24.91,18.35,Yoshinobu Yamamoto,Andrew Painter,PLATINUM,"F1_xera_gap=0.80*, F2_xwoba_gap=0.036, F3_swing_take_gap=8649.6",,fetched,,False,,,A,10,"clears every gate (+3) | PLATINUM tier (+2; SP edge confirms) | F-signal fires (+1) | SP edge 0.56 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",10,A,8.365382593447777,1,[],[],[],[]
CHC @ STL,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Jordan Wicks has only 80 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
TOR @ BAL,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for TOR (away); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
NYY @ OAK,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for OAK (home); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
