game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-20,MIN,HOU,8.0,8.67,0.67,over,1.909,0.514,0.5007,0.0
2026-05-20,COL,TEX,10.0,12.88,2.88,over,1.931,0.5549,0.4972,1.53
2026-05-20,ARI,SF,9.0,9.43,0.43,over,2.0,0.4834,0.4749,0.0
2026-05-20,SEA,CHW,7.5,8.96,1.46,over,1.976,0.5133,0.484,0.29
2026-05-20,MIA,ATL,7.5,9.21,1.71,over,1.985,0.5126,0.4783,0.36
2026-05-20,WSH,NYM,9.5,8.92,0.58,under,1.952,0.4984,0.4869,0.0
2026-05-20,NYY,TOR,8.0,9.61,1.61,over,1.909,0.5341,0.502,0.43
2026-05-20,KC,BOS,8.0,7.48,0.52,under,1.859,0.5295,0.5192,0.0
2026-05-20,CHC,MIL,6.5,8.85,2.35,over,1.948,0.5358,0.4888,0.92
2026-05-20,STL,PIT,7.5,8.37,0.87,over,1.881,0.5279,0.5106,0.0
