matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
NYM @ ATL,ATL,0.3423,0.5075,0.1653,0.5075,0.5075,0.5425,17141.0,0.5425,-3.49,-0.0511,0.0,0.0,0.0,0.0,0.0,1.175,1.227,0.0055,0.1032,19.49,28.39,Martín Pérez,Nolan McLean,SKIP,,"edge -3.49pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-2,"SP edge 0.91 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-14.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",-2,D,-14.070327186528829,1,[],[],[],[]
PIT @ WSH,WSH,0.5479,0.6483,0.1004,0.6483,0.6483,0.6496,18477.0,0.5608,8.75,0.1669,0.2086,0.0522,0.0261,0.0,0.0,1.346,1.104,-0.0281,0.104,24.76,20.84,Cade Cavalli,Bubba Chandler,SKIP,F3_swing_take_gap=898.4,tier SKIP -> stake_mult=0,fetched,,False,,,B-,1,F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-4.5) (-1) | Stage 1/2 agree (Δ=0.06) (+1),1,B-,-4.464314876861444,0,[],[],[],[]
BAL @ CIN,BAL,0.3236,0.4893,0.1657,0.5107,0.5107,0.4955,19283.0,0.506,0.47,0.0114,0.0116,0.0029,0.0015,0.0,0.0,1.1,1.112,-0.0229,0.1012,17.87,23.4,Nick Lodolo,Kyle Bradish,PLATINUM,"F1_xera_gap=2.58, F3_swing_take_gap=55.2","edge +0.47pp outside [4,15]pp",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 2.13 xERA agrees with pick (+2) | PQI confirms pick (Δ=-30.2) (+1) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 8] bottom-bucket marginal-favorite (pick_prob=0.512 in (0.50, 0.52], edge_pp=+0.5pp <= +12) on tier-elevated pick (score 5 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.512 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=5]",5,A,-30.174758480585343,0,[],[],[],[]
MIN @ NYY,MIN,0.651,0.4993,0.1516,0.5007,0.5007,0.5056,17539.0,0.4273,7.34,0.1265,0.1012,0.0253,0.0127,0.0,0.0,1.181,1.04,0.028,0.095,26.1,27.38,Ryan Weathers,Joe Ryan,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"SP edge 1.43 xERA agrees with pick (+2) | PQI confirms pick (Δ=-17.4) (+1) | Stage 1/2 agree (Δ=0.07) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0280 >= 0) on tier-elevated pick (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.510 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-17.353034536907366,0,[],[],[],[]
CHW @ CLE,CLE,0.7757,0.6359,0.1399,0.6359,0.6359,0.6243,16490.0,0.5933,4.26,0.0966,0.1334,0.0333,0.0167,0.0,0.0,0.96,1.25,0.0345,0.0968,19.54,21.65,Tanner Bibee,Chris Murphy,GOLD,F5_bullpen_gap=+1.32,tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.12) (-1)",0,C,-0.4754105040728689,-1,[],[],[],[]
STL @ CHC,CHC,0.4573,0.5139,0.0566,0.5139,0.5139,0.5315,13747.0,0.5959,-8.2,-0.1217,0.0,0.0,0.0,0.0,0.0,1.045,1.181,0.0036,0.1056,15.38,21.76,Javier Assad,Matthew Liberatore,GOLD,F1_xera_gap=0.80*,"edge -8.20pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True,,,C,0,"F-signal fires (+1) | SP edge 0.69 xERA agrees with pick (+2) | PQI confirms pick (Δ=+10.9) (+1) | large negative edge (-8.2pp) caps grade at C (score 4 -> 2) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 1] negative-edge GOLD (-8.2pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.512 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,10.897949159459884,0,[],[],[],[]
PHI @ KC,KC,0.2745,0.5339,0.2594,0.5339,0.5339,0.5659,14512.0,0.4206,11.32,0.2279,0.1753,0.0438,0.0219,0.0,0.0,1.145,1.34,-0.013,0.0998,20.57,22.86,Luinder Avila,Aaron Nola,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=-11.8) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.515 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-11.810721161212825,-1,[],[],[],[]
DET @ TEX,TEX,0.3129,0.6383,0.3254,0.6383,0.6383,0.6563,15033.0,0.4823,15.61,0.315,0.25,0.0743,0.0371,0.0,0.0,1.08,1.564,-0.0064,0.0959,20.35,26.2,Kumar Rocker,Casey Mize,SKIP,,"edge +15.61pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster,True,,,D,-2,SP edge 1.72 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-26.4) (-1) | Stage 1/2 agree (Δ=0.09) (+1),-2,D,-26.370118804455558,0,[],[],[],[]
SF @ COL,SF,0.6156,0.4747,0.1409,0.5253,0.5253,0.5263,19091.0,0.5425,-1.72,-0.0179,0.0,0.0,0.0,0.0,0.0,1.033,0.999,-0.0373,0.1121,21.6,22.22,Tanner Gordon,Tyler Mahle,PLATINUM,"F3_swing_take_gap=1283.7, F5_bullpen_gap=+2.06","edge -1.72pp outside [4,15]pp",fetched,acute_roster,True,,,C,0,"F-signal fires (+1) | SP edge 0.34 xERA agrees with pick (+2) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 1] negative-edge GOLD (-1.7pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.514 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,-2.5379848288254223,-1,[],[],[],[]
MIL @ ARI,ARI,0.4705,0.5048,0.0343,0.5048,0.5048,0.5276,15579.0,0.4682,3.65,0.0651,0.0586,0.0147,0.0073,0.0,0.0,1.225,0.999,-0.0121,0.0973,17.11,25.6,Eduardo Rodriguez,Brandon Sproat,SKIP,,"edge +3.65pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=-7.8) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.511 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-7.755382959293229,-1,[],[],[],[]
