matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
CLE @ DET,DET,0.7189,0.5123,0.2065,0.5123,0.5123,0.6094,2512.0,0.5933,-8.1,-0.1461,0.0,0.0,0.0,0.0,0.0,1.412,1.078,-0.0033,0.1016,GOLD,"F1_xera_gap=1.21*, F3_swing_take_gap=1751.9","edge -8.10pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 0.94 xERA agrees with pick (+2) | PQI confirms pick (Δ=+3.2) (+1) | team_quality modifier (-1; DISABLED, score+=0) | large negative edge (-8.1pp) caps grade at C (score 4 -> 2) | Stage 1/2 disagree (Δ=0.13) (-1)",1,B-,3.215000601721947,-1,[],[]
BAL @ TB,TB,0.7775,0.5176,0.2599,0.5176,0.5176,0.5486,1865.0,0.5752,-5.76,-0.1153,0.0,0.0,0.0,0.0,0.0,1.322,1.191,-0.0039,0.0905,GOLD,F1_xera_gap=1.42*,"edge -5.76pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,B-,1,"F-signal fires (+1) | SP edge 0.83 xERA agrees with pick (+2) | PQI confirms pick (Δ=+6.3) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.20) (-1) | [HARD CAP 1] negative-edge GOLD (-5.8pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,6.3261860707850985,1,[],[]
CIN @ PHI,PHI,0.593,0.6317,0.0387,0.6317,0.6317,0.556,2540.0,0.5449,8.68,0.1351,0.1695,0.0424,0.0212,0.0,0.0,1.2,1.304,0.0286,0.106,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,B,2,PQI confirms pick (Δ=+4.6) (+1) | Stage 1/2 agree (Δ=0.03) (+1),2,B,4.605549736204878,0,[],[]
ATL @ MIA,MIA,0.6293,0.5385,0.0907,0.5385,0.5385,0.6131,2178.0,0.5147,2.39,0.0088,0.0101,0.0025,0.0013,0.0,0.0,1.047,1.232,-0.0081,0.1006,SKIP,,"edge +2.39pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,B-,1,"team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.06) (+1)",1,B-,-1.1197490396507845,-1,[],[]
NYM @ WSH,WSH,0.6206,0.5116,0.109,0.5116,0.5116,0.4745,2513.0,0.4525,5.91,0.0667,0.0615,0.0154,0.0077,0.0,0.0,1.261,1.134,-0.0058,0.1047,GOLD,F3_swing_take_gap=2908.6,tier GOLD -> stake_mult=0,fetched,,False,C,0,"F-signal fires (+1) | SP edge 1.82 xERA AGAINST pick (-1) [small-sample SP, min_pa=70] | PQI AGAINST (late-game-degradation) pick (Δ=-28.3) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1)",0,C,-28.299012832256874,1,[],[]
TOR @ NYY,NYY,0.6603,0.5438,0.1165,0.5438,0.5438,0.5246,2194.0,0.6298,-8.6,-0.1372,0.0,0.0,0.0,0.0,0.0,1.27,1.176,-0.0004,0.1008,PLATINUM,"F2_xwoba_gap=0.037, F3_swing_take_gap=7165.3","edge -8.60pp outside [4,15]pp",fetched,acute_roster,True,B-,1,"F-signal fires (+1) | SP edge 1.88 xERA agrees with pick (+2) | PQI confirms pick (Δ=+11.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | large negative edge (-8.6pp) caps grade at C (score 4 -> 2) | Stage 1/2 agree (Δ=0.08) (+1) | [HARD CAP 1] negative-edge GOLD (-8.6pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,11.89088630037718,1,[],[]
BOS @ KC,KC,0.5401,0.5087,0.0313,0.5087,0.5087,0.5282,2566.0,0.4906,1.82,-0.0044,0.0,0.0,0.0,0.0,0.0,1.245,0.974,-0.005,0.0995,GOLD,F3_swing_take_gap=2368.3,"edge +1.82pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,B-,1,F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-4.7) (-1) | Stage 1/2 agree (Δ=0.02) (+1),1,B-,-4.662530915087853,0,[],[]
HOU @ MIN,HOU,0.5204,0.4546,0.0658,0.5454,0.5454,0.5313,2441.0,0.4802,6.52,0.0801,0.0817,0.0204,0.0102,0.0,0.0,1.207,1.214,0.0022,0.1072,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,C,0,PQI AGAINST (late-game-degradation) pick (Δ=+21.9) (-1) | Stage 1/2 agree (Δ=0.04) (+1),0,C,21.94207936841556,0,[],[]
MIL @ CHC,CHC,0.548,0.6136,0.0655,0.6136,0.6136,0.6032,1859.0,0.619,-0.55,-0.0145,0.0,0.0,0.0,0.0,0.0,1.049,1.081,-0.0017,0.1096,DIAMOND,"F1_xera_gap=3.02, F2_xwoba_gap=0.022, F3_swing_take_gap=4658.4","edge -0.55pp outside [4,15]pp",fetched,,True,B-,1,"F-signal fires (+1) | SP edge 1.92 xERA agrees with pick (+2) | PQI confirms pick (Δ=+20.9) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 1] negative-edge GOLD (-0.6pp < 0) prevents GOLD confirmation (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,20.92222215275538,-1,[],[]
TEX @ COL,COL,0.4952,0.6182,0.123,0.6182,0.6182,0.5779,2348.0,0.4072,21.1,0.4095,0.125,0.04,0.02,0.0,0.0,1.024,1.102,0.0043,0.0992,SKIP,,"fair_prob 0.407 < 0.42 | edge +21.10pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue;calibration_caution_18_25pp,True,D,-2,"SP edge 0.65 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-5.7) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",-2,D,-5.677617618973336,-1,[],[]
