game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_il_placements_home,news_il_placements_away,news_il_player_names_home,news_il_player_names_away,news_lineup_scratches_home,news_lineup_scratches_away,news_regular_scratches_home,news_regular_scratches_away,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
823442,PIT @ PHI,False,False,660604,683003,660604,683003,,,0.0,False,False,1.8333333333333335,1.8333333333333335,0,1,1,Johan Rojas,Spencer Horwitz,0,0,0,0,0.0,0,home 1 IL placement(s) (Johan Rojas) -> -1.20pp | away 1 IL placement(s) (Spencer Horwitz) -> +1.20pp,il_placement_home;il_placement_away
823765,CIN @ MIL,False,False,694819,695505,694819,695505,,,0.0,False,False,1.5617977528089888,1.5617977528089888,0,0,3,,"Tony Santillan, Blake Dunn, Dane Myers",0,0,0,0,0.024,0,"away 3 IL placement(s) (Tony Santillan, Blake Dunn, Dane Myers) -> +2.40pp",il_placement_away
824416,CHW @ CLE,False,False,677944,663436,677944,663436,,,0.0,False,False,2.06,2.06,0,0,0,,,0,0,0,0,0.0,0,,
823119,LAA @ SEA,False,False,682243,700712,682243,700712,,,0.0,False,False,1.5494505494505495,1.5494505494505495,0,1,0,Rob Refsnyder,,0,0,0,0,-0.012,0,home 1 IL placement(s) (Rob Refsnyder) -> -1.20pp,il_placement_home
