matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
LAA @ DET,DET,0.6388,0.6563,0.0175,0.6563,0.6563,0.6563,2427.0,0.5553,10.1,0.2033,0.2439,0.061,0.0305,0.0,0.0,1.379,1.261,0.0003,0.1015,24.39,21.85,Jack Flaherty,Grayson Rodriguez,GOLD,F3_swing_take_gap=2070.2,tier GOLD -> stake_mult=0,fetched,,False,0.5154,7.52,D,-1,"F-signal fires (+1) | SP edge 0.60 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-9.6) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-1,D,-9.557858002540762,-1,"[{""order"":1,""name"":""Zach Neto"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.871,""vs_LHP_PA_career"":362,""vs_RHP_OPS_career"":0.728,""vs_RHP_PA_career"":1379,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Mike Trout"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.914,""vs_LHP_PA_career"":1891,""vs_RHP_OPS_career"":0.993,""vs_RHP_PA_career"":5559,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Vaughn Grissom"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.69,""vs_LHP_PA_career"":161,""vs_RHP_OPS_career"":0.643,""vs_RHP_PA_career"":311,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Jorge Soler"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.851,""vs_LHP_PA_career"":1126,""vs_RHP_OPS_career"":0.76,""vs_RHP_PA_career"":3454,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Wade Meckler"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.733,""vs_LHP_PA_career"":10,""vs_RHP_OPS_career"":0.676,""vs_RHP_PA_career"":69,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""}]","[{""order"":1,""name"":""Colt Keith"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.59,""vs_LHP_PA_career"":144,""vs_RHP_OPS_career"":0.729,""vs_RHP_PA_career"":1042,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""SUB_STABLE""},{""order"":2,""name"":""Kevin McGonigle"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.756,""vs_LHP_PA_career"":67,""vs_RHP_OPS_career"":0.861,""vs_RHP_PA_career"":170,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":3,""name"":""Dillon Dingler"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.819,""vs_LHP_PA_career"":213,""vs_RHP_OPS_career"":0.697,""vs_RHP_PA_career"":547,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Riley Greene"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.704,""vs_LHP_PA_career"":633,""vs_RHP_OPS_career"":0.824,""vs_RHP_PA_career"":1672,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Spencer Torkelson"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.804,""vs_LHP_PA_career"":600,""vs_RHP_OPS_career"":0.695,""vs_RHP_PA_career"":1729,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]","[{""order"": 1, ""name"": ""Zach Neto"", ""vs_today_SP_PA"": 8, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": 0.804, ""vs_today_SP_HR_per_PA"": 0.0, ""shrunk_OPS"": 0.738, ""sample_flag"": ""SMALL_SAMPLE""}, {""order"": 2, ""name"": ""Mike Trout"", ""vs_today_SP_PA"": 0, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": null, ""vs_today_SP_HR_per_PA"": null, ""shrunk_OPS"": 0.72, ""sample_flag"": ""NO_DATA""}, {""order"": 3, ""name"": ""Vaughn Grissom"", ""vs_today_SP_PA"": 2, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": 0.0, ""vs_today_SP_HR_per_PA"": 0.0, ""shrunk_OPS"": 0.675, ""sample_flag"": ""SMALL_SAMPLE""}, {""order"": 4, ""name"": ""Jorge Soler"", ""vs_today_SP_PA"": 14, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": 0.793, ""vs_today_SP_HR_per_PA"": 0.0, ""shrunk_OPS"": 0.743, ""sample_flag"": ""MEANINGFUL""}, {""order"": 5, ""name"": ""Wade Meckler"", ""vs_today_SP_PA"": 0, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": null, ""vs_today_SP_HR_per_PA"": null, ""shrunk_OPS"": 0.72, ""sample_flag"": ""NO_DATA""}]","[{""order"": 1, ""name"": ""Colt Keith"", ""vs_today_SP_PA"": 0, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": null, ""vs_today_SP_HR_per_PA"": null, ""shrunk_OPS"": 0.72, ""sample_flag"": ""NO_DATA""}, {""order"": 2, ""name"": ""Kevin McGonigle"", ""vs_today_SP_PA"": 0, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": null, ""vs_today_SP_HR_per_PA"": null, ""shrunk_OPS"": 0.72, ""sample_flag"": ""NO_DATA""}, {""order"": 3, ""name"": ""Dillon Dingler"", ""vs_today_SP_PA"": 0, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": null, ""vs_today_SP_HR_per_PA"": null, ""shrunk_OPS"": 0.72, ""sample_flag"": ""NO_DATA""}, {""order"": 4, ""name"": ""Riley Greene"", ""vs_today_SP_PA"": 5, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": 0.4, ""vs_today_SP_HR_per_PA"": 0.0, ""shrunk_OPS"": 0.674, ""sample_flag"": ""SMALL_SAMPLE""}, {""order"": 5, ""name"": ""Spencer Torkelson"", ""vs_today_SP_PA"": 2, ""vs_today_SP_HR"": 0, ""vs_today_SP_OPS"": 0.5, ""vs_today_SP_HR_per_PA"": 0.0, ""shrunk_OPS"": 0.706, ""sample_flag"": ""SMALL_SAMPLE""}]"
MIN @ CHW,CHW,0.6088,0.6415,0.0327,0.6415,0.6415,0.6381,2714.0,0.6035,3.8,0.0965,0.136,0.034,0.017,0.0,0.0,1.174,0.959,0.0009,0.1101,27.39,22.63,Davis Martin,Kendry Rojas,GOLD,F3_swing_take_gap=4419.9,"edge +3.80pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,,,B-,1,F-signal fires (+1) | PQI confirms pick (Δ=+13.8) (+1) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0009 >= 0) on tier-elevated pick (score 3 -> 1) | [PRE_CAP_SCORE=3],3,B+,13.836498260875864,0,[],[],[],[]
ATL @ BOS,BOS,0.519,0.5311,0.0121,0.5311,0.5311,0.5076,2592.0,0.4206,11.05,0.2215,0.1704,0.0426,0.0213,0.0,0.0,1.131,1.05,-0.0136,0.1003,25.81,29.01,Payton Tolle,Chris Sale,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"SP edge 0.86 xERA agrees with pick (+2) | PQI confirms pick (Δ=+10.7) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 8] bottom-bucket marginal-favorite (pick_prob=0.510 in (0.50, 0.52], edge_pp=+11.1pp <= +12) on tier-elevated pick (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.510 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,10.737679769268922,-1,[],[],[],[]
TOR @ BAL,BAL,0.5273,0.6935,0.1662,0.6935,0.6935,0.7284,2608.0,0.5553,13.81,0.2714,0.25,0.0814,0.0407,0.0,0.0,1.307,1.359,-0.0094,0.0976,15.28,17.38,Chris Bassitt,Patrick Corbin,GOLD,F3_swing_take_gap=4279.4,tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,,,A,5,F-signal fires (+1) | SP edge 0.54 xERA agrees with pick (+2) | PQI confirms pick (Δ=+7.7) (+1) | Stage 1/2 agree (Δ=0.09) (+1),5,A,7.69612122904762,0,[],[],[],[]
CHC @ PIT,PIT,0.7694,0.6743,0.0951,0.6743,0.6743,0.6563,2846.0,0.6273,4.7,0.1151,0.1761,0.044,0.022,0.0,0.0,1.219,1.097,0.0028,0.1066,28.11,19.12,Paul Skenes,Colin Rea,GOLD,F1_xera_gap=4.25,tier GOLD -> stake_mult=0,fetched,,False,,,B-,1,"F-signal fires (+1) | SP edge 2.77 xERA agrees with pick (+2) | PQI confirms pick (Δ=+43.7) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0028 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,43.69272764001407,1,[],[],[],[]
HOU @ TEX,TEX,0.634,0.6002,0.0338,0.6002,0.6002,0.5648,2302.0,0.5794,2.08,0.0619,0.0805,0.0201,0.0101,0.0,0.0,1.279,1.327,-0.0044,0.1074,22.06,22.69,Nathan Eovaldi,Spencer Arrighetti,GOLD,F1_xera_gap=1.03*,"edge +2.08pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True,,,C,0,"F-signal fires (+1) | SP edge 0.69 xERA agrees with pick (+2) | PQI confirms pick (Δ=+9.1) (+1) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.542 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,9.071462089243497,0,[],[],[],[]
