matchup,pick,f5_prob,full_prob,p_model,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped
TB @ CLE,CLE,0.5484,0.5196,0.5196,,,,GOLD,F3_swing_take_gap=2879.2,tier GOLD -> stake_mult=0
LAA @ CHW,CHW,0.6839,0.8013,0.8013,,,,SKIP,,"model_prob 0.801 outside [0.48,0.72] | tier SKIP -> stake_mult=0"
SEA @ MIN,MIN,0.6266,0.6563,0.6563,,,,SKIP,,tier SKIP -> stake_mult=0
NYY @ TEX,NYY,0.5011,0.4687,0.5313,,,,SKIP,,tier SKIP -> stake_mult=0
BOS @ TOR,TOR,0.8805,0.6413,0.6413,,,,GOLD,F3_swing_take_gap=483.9,tier GOLD -> stake_mult=0
MIA @ LAD,LAD,0.4847,0.6563,0.6563,,,,PLATINUM,"F2_xwoba_gap=0.031, F3_swing_take_gap=5936.6",
CHC @ SD,CHC,0.4605,0.4867,0.5133,,,,GOLD,F3_swing_take_gap=68.0,tier GOLD -> stake_mult=0
COL @ CIN,CIN,0.348,0.5352,0.5352,0.6345,-9.93,-0.1582,GOLD,F3_swing_take_gap=2277.5,"edge -9.93pp outside [4,15]pp | tier GOLD -> stake_mult=0"
STL @ PIT,PIT,0.5595,0.6122,0.6122,0.6955,-8.33,-0.1126,GOLD,F3_swing_take_gap=772.3,"edge -8.33pp outside [4,15]pp | tier GOLD -> stake_mult=0"
WSH @ NYM,WSH,0.3454,0.298,0.702,0.3123,38.97,0.9622,SKIP,,"fair_prob 0.312 < 0.42 | edge +38.97pp outside [4,15]pp | tier SKIP -> stake_mult=0"
DET @ ATL,ATL,0.5011,0.6741,0.6741,0.5308,14.33,0.2359,GOLD,F3_swing_take_gap=599.1,tier GOLD -> stake_mult=0
ARI @ MIL,MIL,0.5245,0.6627,0.6627,0.5374,12.52,0.1971,SKIP,,tier SKIP -> stake_mult=0
KC @ OAK,OAK,0.4513,0.6902,0.6902,0.542,14.82,0.2402,SKIP,,tier SKIP -> stake_mult=0
SF @ PHI,PHI,0.6541,0.56,0.56,0.5792,-1.93,-0.0539,GOLD,F3_swing_take_gap=1449.1,"edge -1.93pp outside [4,15]pp | tier GOLD -> stake_mult=0"
HOU @ BAL,HOU,0.4973,0.4807,0.5193,0.4737,4.56,0.0386,SKIP,,tier SKIP -> stake_mult=0
