matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod
COL @ PIT,PIT,0.4153,0.5291,0.1138,0.5291,0.5291,0.5556,2184.0,0.6312,-10.21,-0.1632,0.0,0.0,0.0,0.0,0.0,0.97,1.16,-0.0049,0.1061,GOLD,F3_swing_take_gap=3579.3,"edge -10.21pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B,2,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",2,B,1.5122446274451562,1
WSH @ CIN,WSH,0.5532,0.4965,0.0566,0.5035,0.5035,0.4781,2664.0,0.3918,11.16,0.1806,0.1343,0.0336,0.0168,0.0,0.0,1.217,1.393,-0.0093,0.1112,SKIP,,fair_prob 0.392 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,D,-2,"SP edge 0.92 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+16.9) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-2,D,16.871488251663017,1
DET @ NYM,NYM,0.754,0.6182,0.1358,0.6182,0.6182,0.5992,2307.0,0.6085,0.97,0.0083,0.0131,0.0033,0.0016,0.0,0.0,1.272,1.34,0.0002,0.0984,SKIP,,"edge +0.97pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,A-,4,"SP edge 0.99 xERA agrees with pick (+2) | PQI confirms pick (Δ=+17.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1)",4,A-,17.05789949760039,1
MIA @ MIN,TBD,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Zebby Matthews has only 0 Statcast pitches season-to-date; need 100+ to score | Braxton Garrett has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,
SD @ MIL,MIL,0.3832,0.5091,0.1259,0.5091,0.5091,0.5798,1733.0,0.5646,-5.55,-0.1124,0.0,0.0,0.0,0.0,0.0,1.329,1.011,-0.0179,0.1022,SKIP,,"edge -5.55pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True,B,2,"PQI confirms pick (Δ=+3.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",2,B,3.433437519031834,1
SEA @ HOU,HOU,0.6561,0.6443,0.0118,0.6443,0.6443,0.6563,2360.0,0.4778,16.65,0.2887,0.25,0.0722,0.0361,0.0,0.0,1.306,1.084,0.0004,0.1049,PLATINUM,"F1_xera_gap=2.51, F3_swing_take_gap=464.2","edge +16.65pp outside [4,15]pp",fetched,acute_roster;bullpen_fatigue,True,A,5,"F-signal fires (+1) | SP edge 1.98 xERA agrees with pick (+2) | PQI confirms pick (Δ=+22.6) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",5,A,22.590403785482863,-1
STL @ OAK,STL,0.5595,0.4833,0.0761,0.5167,0.5167,0.5162,2909.0,0.4714,4.52,0.0411,0.0405,0.0101,0.0051,0.0,0.0,1.42,1.395,0.0045,0.1055,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-2,SP edge 1.71 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+23.2) (-1) | Stage 1/2 agree (Δ=0.02) (+1),-2,D,23.241473279978536,0
PHI @ BOS,PHI,0.5635,0.4447,0.1189,0.5553,0.5553,0.5239,2366.0,0.5,5.53,0.0648,0.0706,0.0177,0.0088,0.0,0.0,1.135,1.178,-0.0109,0.1017,GOLD,F1_xera_gap=0.93*,tier GOLD -> stake_mult=0,fetched,,False,B+,3,F-signal fires (+1) | PQI confirms pick (Δ=-7.9) (+1) | Stage 1/2 agree (Δ=0.03) (+1),3,B+,-7.939352825326864,0
CHC @ ATL,ATL,0.516,0.5108,0.0052,0.5108,0.5108,0.4868,2061.0,0.6393,-12.86,-0.2038,0.0,0.0,0.0,0.0,0.0,1.104,1.134,0.0184,0.1142,GOLD,F3_swing_take_gap=1518.9,"edge -12.86pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,C,0,F-signal fires (+1) | SP edge 0.49 xERA AGAINST pick (-2) | Stage 1/2 agree (Δ=0.00) (+1),0,C,-1.4134767994195556,0
KC @ CHW,CHW,0.2479,0.5016,0.2537,0.5016,0.5016,0.4937,2077.0,0.4341,6.75,0.0835,0.0719,0.018,0.009,0.0,0.0,1.375,1.102,0.0015,0.1108,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-2,SP edge 2.74 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-28.9) (-1) | Stage 1/2 agree (Δ=0.01) (+1),-2,D,-28.946559868598488,0
