matchup,game_pk,game_num,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,pick_prob_raw,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
CHW @ TOR,822786,1,TOR,0.2993,0.5001,0.2008,0.5001,0.5001,0.5001,0.5008,17241.0,0.488,1.21,0.0301,0.0284,0.0071,0.0036,0.0,0.0,1.054,1.259,0.0113,0.0977,22.68,28.35,Trey Yesavage,Sean Burke,SKIP,,"edge +1.21pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"PQI confirms pick (Δ=+6.2) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.531 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,6.2040399407557345,-1,[],[],[],[]
LAD @ NYY,823523,1,NYY,0.5225,0.5124,0.0102,0.5124,0.5124,0.5124,0.5426,17288.0,0.4823,3.01,0.0555,0.0524,0.0131,0.0065,0.0,0.0,1.152,1.176,0.0176,0.1058,29.02,26.08,Cam Schlittler,Yoshinobu Yamamoto,GOLD,F5_bullpen_gap=+0.98,"edge +3.01pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-1.1229116313870833,-1,[],[],[],[]
TB @ BOS,824739,1,BOS,0.6247,0.6443,0.0197,0.6443,0.6443,0.6443,0.6563,20787.0,0.5425,10.19,0.2046,0.2353,0.0588,0.0294,0.0,0.0,1.056,1.22,0.0117,0.103,23.21,22.39,Sonny Gray,Shane McClanahan,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,B-,1,SP edge 0.38 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.3) (+1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0117 >= 0) on tier-elevated pick (score 4 -> 1) | [PRE_CAP_SCORE=4],4,A-,8.344418102494444,0,[],[],[],[]
NYM @ PHI,823439,1,NYM,0.3966,0.3414,0.0552,0.6586,0.6586,0.6586,0.6531,14772.0,0.5425,11.61,0.2313,0.25,0.0665,0.0332,0.0,0.0,1.3,1.157,-0.0005,0.1041,22.8,27.18,Alan Rangel,Nolan McLean,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,B,2,"PQI confirms pick (Δ=-5.5) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",2,B,-5.499259400047272,-1,[],[],[],[]
TEX @ ATL,824897,1,ATL,0.3875,0.5666,0.1792,0.5666,0.5666,0.5666,0.5789,17041.0,0.4749,9.17,0.1956,0.1762,0.0441,0.022,0.0,0.0,1.132,1.149,0.0168,0.106,20.79,25.53,Grant Holmes,Nathan Eovaldi,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,"SP edge 0.62 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-5.7) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",-2,D,-5.706530612626025,1,[],[],[],[]
PIT @ CLE,824411,1,CLE,0.4237,0.5121,0.0884,0.5121,0.5121,0.5121,0.5686,17115.0,0.4517,6.04,0.101,0.0878,0.022,0.011,0.0,0.0,1.193,0.999,0.0172,0.0973,24.94,28.64,Joey Cantillo,Paul Skenes,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,"SP edge 1.17 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-12.7) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",-2,D,-12.743295352427552,-1,[],[],[],[]
BAL @ HOU,824168,1,HOU,0.6269,0.6443,0.0174,0.6443,0.6443,0.6443,0.6563,19171.0,0.5177,12.66,0.2522,0.25,0.0668,0.0334,0.0,0.0,1.358,0.998,-0.0012,0.0967,25.54,17.99,Hunter Brown,Brandon Young,GOLD,F5_bullpen_gap=+0.68,tier GOLD -> stake_mult=0,fetched,bullpen_fatigue;short_term_skill,True,,,A,5,F-signal fires (+1) | SP edge 0.47 xERA agrees with pick (+2) | PQI confirms pick (Δ=+6.0) (+1) | Stage 1/2 agree (Δ=0.00) (+1),5,A,6.044978877701297,0,[],[],[],[]
SD @ KC,824086,1,SD,0.5933,0.4687,0.1246,0.5313,0.5313,0.5313,0.5313,16352.0,0.4447,8.67,0.1689,0.1407,0.0352,0.0176,0.0,0.0,1.165,1.159,-0.0389,0.0979,20.97,19.6,Noah Cameron,Germán Márquez,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-1,"SP edge 0.73 xERA AGAINST pick (-2) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",-1,D,-1.8497832538232828,1,[],[],[],[]
MIA @ MIL,823764,1,MIL,0.4734,0.5933,0.1199,0.5933,0.5933,0.5933,0.5674,18470.0,0.5553,3.8,0.0877,0.1053,0.0263,0.0132,0.0,0.0,1.179,1.071,0.0185,0.1063,22.22,26.8,Robert Gasser,Eury Pérez,GOLD,"F3_swing_take_gap=3225.7, F5_bullpen_gap=+0.86, tier_demoted_PLATINUM_to_GOLD","edge +3.80pp outside [4,15]pp | guardrail: PLATINUM demoted to GOLD (rolling win rate below benchmark)",fetched,acute_roster,True,,,C,0,"F-signal fires (+1) | SP edge 0.34 xERA agrees with pick (+2) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0185 >= 0) on tier-elevated pick (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.550 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,2.14403299103288,1,[],[],[],[]
MIN @ CHC,824653,1,MIN,0.6047,0.4822,0.1225,0.5178,0.5178,0.5178,0.5313,13719.0,0.3727,14.51,0.3101,0.2027,0.0507,0.0253,0.0,0.0,0.983,1.196,0.0074,0.1032,23.85,19.64,Shota Imanaga,Zebby Matthews,SKIP,,fair_prob 0.373 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,SP edge 0.84 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+13.8) (-1) | Stage 1/2 agree (Δ=0.02) (+1),-2,D,13.808683819846848,0,[],[],[],[]
