game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,book,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength,player_aware_signal,pred_winp_mc,pred_runs_mc,pred_runs_cal,total_p25,total_p75,total_p10,total_p90,most_probable_total,mpt_prob,cal_basis
2026-07-17,BOS,TB,,9.62,,,,,,,,9.64,0.019,0.019,0.0,17.0,0.0,0.7302,0.73,1.889,"{""lineup_xwoba_h"":0.304,""lineup_xwoba_a"":0.3,""lineup_wrcplus_h"":104.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":17,""bvp_delta_runs"":0.019}",0.5101,9.97,8.96,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-17,BOS,TB,,10.29,,,,,,,,10.31,0.019,0.019,0.0,17.0,0.0,0.7302,0.73,1.889,"{""lineup_xwoba_h"":0.304,""lineup_xwoba_a"":0.3,""lineup_wrcplus_h"":104.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":17,""bvp_delta_runs"":0.019}",0.5101,9.97,8.99,5.9,11.9,3.9,15.0,9,0.107,no_line
2026-07-17,NYY,LAD,,10.76,,,,,,,,10.74,-0.015,0.0,-0.015,0.0,104.0,0.73,0.7171,11.556,"{""lineup_xwoba_h"":0.337,""lineup_xwoba_a"":0.357,""lineup_wrcplus_h"":113.0,""lineup_wrcplus_a"":121.0,""bvp_pa_total"":104,""bvp_delta_runs"":-0.015}",0.3987,11.19,9.02,5.9,11.9,3.9,15.0,9,0.107,no_line
2026-07-17,ATL,TEX,15.0,8.96,6.04,under,1.725,0.6563,0.5563,3.64,pinnacle,9.2,0.239,0.241,-0.002,38.0,13.0,0.7771,0.7185,5.667,"{""lineup_xwoba_h"":0.334,""lineup_xwoba_a"":0.309,""lineup_wrcplus_h"":108.0,""lineup_wrcplus_a"":110.0,""bvp_pa_total"":51,""bvp_delta_runs"":0.239}",0.5225,9.01,15.16,12.3,17.7,10.3,20.4,15,0.107,blend
2026-07-17,TOR,CHW,,9.26,,,,,,,,9.27,0.007,0.004,0.003,10.0,3.0,0.724,0.7296,1.444,"{""lineup_xwoba_h"":0.321,""lineup_xwoba_a"":0.342,""lineup_wrcplus_h"":107.0,""lineup_wrcplus_a"":113.0,""bvp_pa_total"":13,""bvp_delta_runs"":0.007}",0.4518,8.8,8.94,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-17,MIL,MIA,4.0,8.7,4.7,over,1.806,0.6217,0.5277,1.36,pinnacle,8.64,-0.059,-0.059,0.0,55.0,0.0,0.7082,0.73,6.111,"{""lineup_xwoba_h"":0.329,""lineup_xwoba_a"":0.325,""lineup_wrcplus_h"":115.0,""lineup_wrcplus_a"":110.0,""bvp_pa_total"":55,""bvp_delta_runs"":-0.059}",0.5243,9.77,4.49,1.6,7.0,-0.3,9.7,4,0.107,blend
2026-07-17,CHC,MIN,,9.19,,,,,,,,9.24,0.049,0.008,0.041,11.0,23.0,0.7263,0.7359,3.778,"{""lineup_xwoba_h"":0.325,""lineup_xwoba_a"":0.319,""lineup_wrcplus_h"":112.0,""lineup_wrcplus_a"":113.0,""bvp_pa_total"":34,""bvp_delta_runs"":0.049}",0.5023,9.53,8.93,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-17,HOU,BAL,,9.4,,,,,,,,9.44,0.044,0.046,-0.002,73.0,21.0,0.7292,0.7193,10.444,"{""lineup_xwoba_h"":0.321,""lineup_xwoba_a"":0.341,""lineup_wrcplus_h"":109.0,""lineup_wrcplus_a"":109.0,""bvp_pa_total"":94,""bvp_delta_runs"":0.044}",0.5162,10.0,8.94,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-17,KC,SD,,9.12,,,,,,,,9.13,0.005,-0.015,0.02,28.0,47.0,0.7151,0.7239,8.333,"{""lineup_xwoba_h"":0.316,""lineup_xwoba_a"":0.308,""lineup_wrcplus_h"":99.0,""lineup_wrcplus_a"":97.0,""bvp_pa_total"":75,""bvp_delta_runs"":0.005}",0.5252,9.73,8.93,5.8,11.9,3.9,14.9,9,0.107,no_line
2026-07-17,COL,CIN,,12.96,,,,,,,,13.0,0.041,0.041,0.0,47.0,0.0,0.7282,0.73,5.222,"{""lineup_xwoba_h"":0.336,""lineup_xwoba_a"":0.317,""lineup_wrcplus_h"":123.0,""lineup_wrcplus_a"":104.0,""bvp_pa_total"":47,""bvp_delta_runs"":0.041}",0.525,11.93,9.14,6.0,12.1,4.1,15.2,9,0.107,no_line
2026-07-17,LAA,DET,,8.76,,,,,,,,8.8,0.041,0.007,0.034,6.0,9.0,0.7312,0.7539,1.667,"{""lineup_xwoba_h"":0.311,""lineup_xwoba_a"":0.31,""lineup_wrcplus_h"":103.0,""lineup_wrcplus_a"":106.0,""bvp_pa_total"":15,""bvp_delta_runs"":0.041}",0.4904,9.45,8.91,5.8,11.8,3.8,14.9,9,0.107,no_line
2026-07-17,OAK,WSH,,8.37,,,,,,,,8.37,0.003,0.003,0.0,7.0,0.0,0.7234,0.73,0.778,"{""lineup_xwoba_h"":0.29,""lineup_xwoba_a"":0.325,""lineup_wrcplus_h"":104.0,""lineup_wrcplus_a"":113.0,""bvp_pa_total"":7,""bvp_delta_runs"":0.003}",0.4751,9.18,8.89,5.8,11.8,3.8,14.9,9,0.107,no_line
2026-07-17,ARI,STL,,10.22,,,,,,,,10.23,0.015,0.0,0.015,0.0,64.0,0.73,0.723,7.111,"{""lineup_xwoba_h"":0.308,""lineup_xwoba_a"":0.324,""lineup_wrcplus_h"":105.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":64,""bvp_delta_runs"":0.015}",0.4907,10.37,8.99,5.9,11.9,3.9,15.0,9,0.107,no_line
2026-07-17,SEA,SF,,8.48,,,,,,,,8.51,0.03,0.006,0.024,6.0,30.0,0.7292,0.7272,4.0,"{""lineup_xwoba_h"":0.31,""lineup_xwoba_a"":0.331,""lineup_wrcplus_h"":104.0,""lineup_wrcplus_a"":114.0,""bvp_pa_total"":36,""bvp_delta_runs"":0.03}",0.4699,10.07,8.90,5.8,11.8,3.8,14.9,9,0.107,no_line
