matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status
BOS @ DET,DET,0.4656,0.527,0.527,0.527,0.5529,1564.0,0.6466,-11.96,-0.1849,GOLD,F3_swing_take_gap=2421.4,"edge -11.96pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
TOR @ TB,TB,0.4117,0.5793,0.5793,0.5793,0.6251,1464.0,0.5358,4.35,0.0523,SKIP,,tier SKIP -> stake_mult=0,fetched
OAK @ PHI,PHI,0.4755,0.6362,0.6362,0.6362,0.6412,0.0,0.6504,-1.42,-0.0236,GOLD,F1_xera_gap=1.70*,"edge -1.42pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
BAL @ MIA,MIA,0.3798,0.5973,0.5973,0.5973,0.6229,1781.0,0.5257,7.16,0.0971,SKIP,,tier SKIP -> stake_mult=0,fetched
MIN @ WSH,WSH,0.4682,0.5276,0.5276,0.5276,0.4903,1966.0,0.5079,1.97,0.0036,GOLD,F3_swing_take_gap=860.4,"edge +1.97pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
TEX @ NYY,NYY,0.5294,0.6533,0.6533,0.6533,0.6563,1717.0,0.5321,12.12,0.1894,GOLD,F3_swing_take_gap=4894.9,tier GOLD -> stake_mult=0,fetched
CIN @ CHC,CHC,0.6155,0.6473,0.6473,0.6473,0.6563,1697.0,0.6177,2.96,0.0449,GOLD,F3_swing_take_gap=987.2,"edge +2.96pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
CLE @ KC,CLE,0.5011,0.4807,0.5193,0.5193,0.5313,1881.0,0.5308,-1.15,-0.0478,SKIP,,"edge -1.15pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
MIL @ STL,STL,0.4691,0.6032,0.6032,0.6032,0.6022,1665.0,0.5074,9.58,0.1442,GOLD,F3_swing_take_gap=884.7,tier GOLD -> stake_mult=0,fetched
LAD @ HOU,HOU,0.2631,0.5297,0.5297,0.5297,0.5915,1571.0,0.3176,21.21,0.4593,SKIP,,"fair_prob 0.318 < 0.42 | edge +21.21pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
NYM @ COL,COL,0.4609,0.6803,0.6803,0.6803,0.6563,1881.0,0.3857,29.47,0.6158,GOLD,F3_swing_take_gap=756.9,"fair_prob 0.386 < 0.42 | edge +29.47pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
CHW @ LAA,LAA,0.7812,0.6383,0.6383,0.6383,0.6563,0.0,0.5159,12.25,0.191,SKIP,,tier SKIP -> stake_mult=0,fetched
PIT @ ARI,ARI,0.6027,0.6563,0.6563,0.6563,0.6563,0.0,0.5435,11.29,0.1793,SKIP,,tier SKIP -> stake_mult=0,fetched
ATL @ SEA,ATL,0.4827,0.4417,0.5583,0.5583,0.5313,1559.0,0.4098,14.86,0.259,SKIP,,fair_prob 0.410 < 0.42 | tier SKIP -> stake_mult=0,fetched
SD @ SF,SD,0.6426,0.3477,0.6523,0.6523,0.6343,1791.0,0.4362,21.61,0.3991,SKIP,,"edge +21.61pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
