matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
STL @ CHC,STL,0.2304,0.4792,0.2488,0.5208,0.5208,0.4911,13647.0,0.4447,7.62,0.1458,0.1215,0.0304,0.0152,0.0,0.0,1.092,1.241,0.0052,0.1096,18.84,18.18,David Peterson,Andre Pallante,PLATINUM,"F1_xera_gap=1.44, F3_swing_take_gap=265.4",,fetched,,False,,,C,0,"clears every gate (+3) | PLATINUM tier (+2; SP edge confirms) | F-signal fires (+1) | SP edge 1.06 xERA agrees with pick (+2) | PQI confirms pick (Δ=-6.9) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0052 >= 0) on tier-elevated pick (score 10 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.513 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=10]",10,A,-6.890863339509238,-1,[],[],[],[]
PIT @ WSH,WSH,0.741,0.6268,0.1143,0.6268,0.6268,0.6214,18411.0,0.5676,5.92,0.1282,0.1603,0.0401,0.02,0.0,0.0,1.406,1.177,-0.0287,0.1015,24.41,18.47,Foster Griffin,Mitch Keller,GOLD,"F1_xera_gap=1.44, F3_swing_take_gap=359.1",tier GOLD -> stake_mult=0,fetched,,False,,,A-,4,F-signal fires (+1) | SP edge 1.09 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.7) (+1),4,A-,8.658137494716826,0,[],[],[],[]
MIN @ NYY,NYY,0.6211,0.5966,0.0245,0.5966,0.5966,0.5999,17479.0,0.6681,-7.15,-0.0756,0.0,0.0,0.0,0.0,0.0,1.175,1.073,0.0273,0.106,22.34,17.4,Gerrit Cole,Mike Paredes,PLATINUM,"F3_swing_take_gap=4203.4, F5_bullpen_gap=+1.08","edge -7.15pp outside [4,15]pp",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 1.93 xERA agrees with pick (+2) | PQI confirms pick (Δ=+31.1) (+1) | Stage 1/2 agree (Δ=0.01) (+1) | negative edge (-7.2pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-7.2pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.546 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,31.11347044627567,0,[],[],[],[]
BAL @ CIN,CIN,0.6365,0.6443,0.0078,0.6443,0.6443,0.6152,19237.0,0.4682,17.61,0.3596,0.25,0.081,0.0405,0.0,0.0,1.133,1.019,-0.0231,0.1026,18.23,18.05,Brady Singer,Trevor Rogers,SKIP,,"edge +17.61pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster,True,,,D,-2,SP edge 1.50 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-28.7) (-1) | Stage 1/2 agree (Δ=0.00) (+1),-2,D,-28.698570185944565,0,[],[],[],[]
CHW @ CLE,CHW,0.8217,0.4997,0.3219,0.5003,0.5003,0.4975,16426.0,0.4378,6.25,0.1256,0.1005,0.0251,0.0126,0.0,0.0,0.988,1.305,0.0346,0.0972,27.42,17.65,Gavin Williams,Anthony Kay,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-4,"SP edge 0.95 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+16.4) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.20) (-1)",-4,D,16.396877838462125,1,[],[],[],[]
NYM @ ATL,ATL,0.3545,0.6563,0.3018,0.6563,0.6563,0.6563,17119.0,0.5425,11.39,0.2271,0.25,0.0653,0.0326,0.0,0.0,1.161,1.224,0.0065,0.1033,20.56,27.04,Grant Holmes,Christian Scott,GOLD,F3_swing_take_gap=751.6,tier GOLD -> stake_mult=0,fetched,,False,,,B-,1,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-5.4) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.09) (+1)",1,B-,-5.412364990642374,1,[],[],[],[]
TB @ HOU,TB,0.5731,0.4687,0.1044,0.5313,0.5313,0.5313,19489.0,0.506,2.53,0.0522,0.0532,0.0133,0.0067,0.0,0.0,1.162,1.261,0.0155,0.1002,23.96,14.08,Spencer Arrighetti,Nick Martinez,SKIP,F3_swing_take_gap=1621.2,"edge +2.53pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=-3.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0155 >= 0) on tier-elevated pick (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.515 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-3.15505907807686,1,[],[],[],[]
BOS @ LAA,BOS,0.5883,0.4867,0.1016,0.5133,0.5133,0.5313,20461.0,0.506,0.73,0.0166,0.0169,0.0042,0.0021,0.0,0.0,1.068,1.009,-0.01,0.1047,27.38,20.6,Reid Detmers,Jake Bennett,GOLD,F3_swing_take_gap=3578.6,"edge +0.73pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | SP edge 0.40 xERA agrees with pick (+2) | PQI confirms pick (Δ=-5.5) (+1) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 8] bottom-bucket marginal-favorite (pick_prob=0.512 in (0.50, 0.52], edge_pp=+0.7pp <= +12) on tier-elevated pick (score 5 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.512 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=5]",5,A,-5.497193617094638,0,[],[],[],[]
MIA @ OAK,MIA,0.6984,0.4567,0.2417,0.5433,0.5433,0.5313,18275.0,0.4447,9.87,0.1953,0.1627,0.0407,0.0203,0.0,0.0,1.271,0.965,0.0088,0.1001,27.19,18.25,Jack Perkins,Tyler Phillips,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-4,"SP edge 0.63 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+12.8) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.12) (-1)",-4,D,12.773144796510174,1,[],[],[],[]
MIL @ ARI,MIL,0.3052,0.4687,0.1635,0.5313,0.5313,0.5313,15456.0,0.6273,-9.6,-0.1214,0.0,0.0,0.0,0.0,0.0,1.196,1.112,-0.0142,0.1088,21.54,30.79,Jose Cabrera,Kyle Harrison,GOLD,F5_bullpen_gap=+0.47,"edge -9.60pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 1.77 xERA agrees with pick (+2) | PQI confirms pick (Δ=-22.7) (+1) | team_quality modifier (+1; DISABLED, score+=0) | large negative edge (-9.6pp) caps grade at C (score 4 -> 2) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 1] negative-edge GOLD (-9.6pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.515 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-22.744624608659706,1,[],[],[],[]
SD @ LAD,LAD,0.5372,0.5736,0.0364,0.5736,0.5736,0.5561,17584.0,0.728,-15.44,-0.1621,0.0,0.0,0.0,0.0,0.0,1.274,1.142,-0.0334,0.0982,29.31,20.55,Shohei Ohtani,Michael King,SKIP,,"edge -15.44pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"SP edge 2.07 xERA agrees with pick (+2) | PQI confirms pick (Δ=+33.3) (+1) | team_quality modifier (+1; DISABLED, score+=0) | large negative edge (-15.4pp) caps grade at C (score 3 -> 2) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 1] negative-edge GOLD (-15.4pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,33.26570365481396,1,[],[],[],[]
TOR @ SEA,TOR,0.5357,0.4687,0.067,0.5313,0.5313,0.5313,15961.0,0.5278,0.35,0.0233,0.0251,0.0063,0.0031,0.0,0.0,1.315,1.161,0.0047,0.093,21.33,35.95,Luis Castillo,Dylan Cease,PLATINUM,"F1_xera_gap=2.33, F3_swing_take_gap=7913.1","edge +0.35pp outside [4,15]pp",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 1.60 xERA agrees with pick (+2) | PQI confirms pick (Δ=-26.3) (+1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0047 >= 0) on tier-elevated pick (score 5 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.515 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=5]",5,A,-26.31888259879228,0,[],[],[],[]
SF @ COL,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for SF (away); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
