game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_il_placements_home,news_il_placements_away,news_il_player_names_home,news_il_player_names_away,news_lineup_scratches_home,news_lineup_scratches_away,news_regular_scratches_home,news_regular_scratches_away,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
823380,CHC @ PIT,False,False,669387,676962,669387,676962,483919.0,Mark Ripperger,0.0,False,True,1.9615384615384617,1.9615384615384617,0,1,2,Ryan O'Hearn,"Matt Shaw, Edward Cabrera",0,0,0,0,0.021,0,"away bullpen short -> 1.5pp toward home | home 1 IL placement(s) (Ryan O'Hearn) -> -1.20pp | away 2 IL placement(s) (Matt Shaw, Edward Cabrera) -> +1.80pp",bullpen_short_away;il_placement_home;il_placement_away
824838,TB @ BAL,False,False,680694,663556,680694,663556,596809.0,Ryan Additon,0.0,False,False,1.9803921568627452,1.9803921568627452,0,0,4,,"Jake Fraley, Cole Sulser, Ben Williamson, Jonny DeLuca",0,0,0,0,0.03,0,"away 4 IL placement(s) (Jake Fraley, Cole Sulser, Ben Williamson, Jonny DeLuca) -> +3.00pp",il_placement_away
824598,MIN @ CHW,False,False,641743,805673,641743,805673,427248.0,Dan Iassogna,0.0,False,True,1.8695652173913042,1.8695652173913042,0,0,1,,Ryan Jeffers,0,0,0,0,0.027,0,away bullpen short -> 1.5pp toward home | away 1 IL placement(s) (Ryan Jeffers) -> +1.20pp,bullpen_short_away;il_placement_away
823784,STL @ MIL,False,False,694819,669461,694819,669461,427243.0,Marvin Hudson,0.0,False,False,1.242130750605327,1.242130750605327,0,0,1,,Nathan Church,0,0,0,0,0.012,0,away 1 IL placement(s) (Nathan Church) -> +1.20pp,il_placement_away
824107,NYY @ KC,False,False,608379,701542,608379,701542,623949.0,Clint Vondrak,0.0,False,True,2.2,2.2,0,2,1,"Matt Strahm, Kris Bubic",Max Fried,0,0,0,0,0.008999999999999998,0,"away bullpen short -> 1.5pp toward home | home 2 IL placement(s) (Matt Strahm, Kris Bubic) -> -1.80pp | away 1 IL placement(s) (Max Fried) -> +1.20pp",bullpen_short_away;il_placement_home;il_placement_away
823625,CIN @ NYM,False,False,690997,666157,690997,666157,483569.0,Vic Carapazza,0.0,False,False,1.7692307692307692,1.7692307692307692,0,2,2,"Clay Holmes, A.J. Minter","Jose Trevino, Ke'Bryan Hayes",0,0,0,0,0.0,0,"home 2 IL placement(s) (Clay Holmes, A.J. Minter) -> -1.80pp | away 2 IL placement(s) (Jose Trevino, Ke'Bryan Hayes) -> +1.80pp",il_placement_home;il_placement_away
823219,ARI @ SF,False,False,694738,518876,694738,518876,428442.0,James Hoye,0.0,False,True,1.8333333333333335,1.8333333333333335,0,2,0,"Heliot Ramos, Jung Hoo Lee",,0,0,0,0,-0.0030000000000000027,0,"away bullpen short -> 1.5pp toward home | home 2 IL placement(s) (Heliot Ramos, Jung Hoo Lee) -> -1.80pp",bullpen_short_away;il_placement_home
824437,WSH @ CLE,False,False,676440,641793,676440,641793,427315.0,Alfonso Márquez,0.0,False,True,1.625,1.625,0,0,1,,Jake Irvin,0,0,0,0,0.027,0,away bullpen short -> 1.5pp toward home | away 1 IL placement(s) (Jake Irvin) -> +1.20pp,bullpen_short_away;il_placement_away
823296,PHI @ SD,False,False,656288,666200,656288,666200,482663.0,David Rackley,0.0,True,True,2.1100000000000003,2.1100000000000003,0,1,0,Matt Waldron,,0,0,0,0,-0.012,0,home bullpen short -> 1.5pp toward away | away bullpen short -> 1.5pp toward home | home 1 IL placement(s) (Matt Waldron) -> -1.20pp,bullpen_short_home;bullpen_short_away;il_placement_home
822899,HOU @ TEX,False,False,677958,837227,677958,837227,,,0.0,False,True,1.8695652173913042,1.8695652173913042,0,3,2,"Corey Seager, Carter Baumler, Cole Winn","Jose Altuve, Lance McCullers Jr.",0,0,0,0,0.009000000000000001,0,"away bullpen short -> 1.5pp toward home | home 3 IL placement(s) (Corey Seager, Carter Baumler, Cole Winn) -> -2.40pp | away 2 IL placement(s) (Jose Altuve, Lance McCullers Jr.) -> +1.80pp",bullpen_short_away;il_placement_home;il_placement_away
822812,MIA @ TOR,False,False,702056,676083,702056,676083,,,0.0,False,False,1.6802721088435373,1.6802721088435373,0,2,1,"Tommy Nance, Joe Mantiply",Leo Jiménez,0,0,0,0,-0.006000000000000002,0,"home 2 IL placement(s) (Tommy Nance, Joe Mantiply) -> -1.80pp | away 1 IL placement(s) (Leo Jiménez) -> +1.20pp",il_placement_home;il_placement_away
823948,COL @ LAD,False,False,686218,685299,686218,685299,,,0.0,False,False,1.3424657534246576,1.3424657534246576,0,2,5,"Blake Snell, Jack Dreyer","Chase Dollander, Jordan Beck, Victor Vodnik, Brenton Doyle, Mickey Moniak",0,0,0,0,0.011999999999999997,0,"home 2 IL placement(s) (Blake Snell, Jack Dreyer) -> -1.80pp | away 5 IL placement(s) (Chase Dollander, Jordan Beck, Victor Vodnik, Brenton Doyle, Mickey Moniak) -> +3.00pp",il_placement_home;il_placement_away
825005,SEA @ OAK,False,False,650644,622491,650644,622491,,,0.0,False,True,2.06,2.06,0,0,1,,Brendan Donovan,0,0,0,0,0.027,0,away bullpen short -> 1.5pp toward home | away 1 IL placement(s) (Brendan Donovan) -> +1.20pp,bullpen_short_away;il_placement_away
