game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-13,CIN,WSH,9.5,10.6,1.1,over,1.957,0.5095,0.4874,0.0
2026-05-13,PIT,COL,8.5,9.19,0.69,over,1.971,0.4978,0.484,0.0
2026-05-13,BOS,PHI,9.0,9.93,0.93,over,1.918,0.5186,0.5,0.0
2026-05-13,TOR,TB,7.5,9.09,1.59,over,1.918,0.5299,0.498,0.35
2026-05-13,NYM,DET,8.0,8.65,0.65,over,1.952,0.5012,0.4881,0.0
2026-05-13,ATL,CHC,8.5,9.91,1.41,over,1.859,0.5474,0.5192,0.4
2026-05-13,CHW,KC,8.0,9.07,1.07,over,1.909,0.5221,0.5007,0.0
2026-05-13,MIN,MIA,8.5,9.08,0.58,over,1.833,0.5394,0.5278,0.0
2026-05-13,MIL,SD,7.0,9.51,2.51,over,2.03,0.5177,0.4675,0.99
