matchup,game_pk,game_num,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,pick_prob_raw,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
PIT @ CLE,824414,1,PIT,0.7565,0.4874,0.2691,0.5126,0.5126,0.5126,0.5233,17115.0,0.488,2.46,0.0559,0.0527,0.0132,0.0066,0.0,0.0,1.193,1.194,0.0172,0.0983,29.84,25.67,Gavin Williams,Jared Jones,SKIP,,"edge +2.46pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"SP edge 0.81 xERA agrees with pick (+2) | PQI confirms pick (Δ=-8.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.17) (-1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-8.134724547513315,1,[],[],[],[]
MIN @ CHC,824657,1,CHC,0.5972,0.5017,0.0954,0.5017,0.5017,0.5017,0.4767,13719.0,0.5906,-8.89,-0.1266,0.0,0.0,0.0,0.0,0.0,0.983,1.196,0.0074,0.1053,23.68,28.54,Matthew Boyd,Taj Bradley,SKIP,,"edge -8.89pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,D,-2,SP edge 1.08 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-10.8) (-1) | Stage 1/2 agree (Δ=0.02) (+1),-2,D,-10.837976900874118,0,[],[],[],[]
CHW @ TOR,822790,1,TOR,0.3475,0.5295,0.182,0.5295,0.5295,0.5295,0.5367,17241.0,0.4823,4.73,0.0909,0.0857,0.0214,0.0107,0.0,0.0,1.054,1.259,0.0113,0.0977,19.24,21.16,Shane Bieber,Davis Martin,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"PQI confirms pick (Δ=+8.5) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,8.455021315500794,-1,[],[],[],[]
CIN @ COL,824331,1,COL,0.4702,0.5042,0.034,0.5042,0.5042,0.5042,0.4922,18822.0,0.4911,1.31,0.0184,0.018,0.0045,0.0023,0.0,0.0,0.989,1.199,-0.0208,0.1076,13.48,17.35,Tomoyuki Sugano,Rhett Lowder,SKIP,,"edge +1.31pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-2,SP edge 1.59 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-9.8) (-1) | Stage 1/2 agree (Δ=0.00) (+1),-2,D,-9.807541558553364,0,[],[],[],[]
NYM @ PHI,823441,1,NYM,0.628,0.4627,0.1653,0.5373,0.5373,0.5373,0.5313,14772.0,0.3727,16.46,0.3594,0.2349,0.0587,0.0294,0.0,0.0,1.304,1.06,-0.0005,0.0962,28.57,21.07,Jesús Luzardo,Sean Manaea,SKIP,,"fair_prob 0.373 < 0.42 | edge +16.46pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,D,-2,"SP edge 1.26 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+25.4) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",-2,D,25.411690480672007,-1,[],[],[],[]
BAL @ HOU,824169,1,HOU,0.5005,0.6435,0.143,0.6435,0.6435,0.6435,0.6563,19171.0,0.497,14.65,0.287,0.25,0.0718,0.0359,0.0,0.0,1.377,0.998,-0.0012,0.097,22.73,18.01,Spencer Arrighetti,Trevor Rogers,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,SP edge 0.93 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-12.6) (-1) | Stage 1/2 agree (Δ=0.03) (+1),-2,D,-12.606216974159075,0,[],[],[],[]
SD @ KC,824088,1,SD,0.564,0.4807,0.0833,0.5193,0.5193,0.5193,0.5313,16352.0,0.5177,0.16,0.0092,0.0098,0.0024,0.0012,0.0,0.0,1.165,1.149,-0.0389,0.0986,19.97,23.41,Randy Dobnak,Griffin Canning,GOLD,"F3_swing_take_gap=613.5, F5_bullpen_gap=+1.44, tier_demoted_PLATINUM_to_GOLD","edge +0.16pp outside [4,15]pp | guardrail: PLATINUM demoted to GOLD (rolling win rate below benchmark)",fetched,,True,,,C,0,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-1.903195734648989,1,[],[],[],[]
STL @ ARI,825059,1,ARI,0.3051,0.5283,0.2232,0.5283,0.5283,0.5283,0.5169,15541.0,0.5318,-0.34,0.0043,0.0047,0.0012,0.0006,0.0,0.0,1.275,1.292,0.0045,0.0984,16.62,23.71,Brandon Pfaadt,Dustin May,SKIP,,"edge -0.34pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-2,SP edge 0.68 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-6.5) (-1) | Stage 1/2 agree (Δ=0.04) (+1),-2,D,-6.524816487224477,0,[],[],[],[]
TB @ BOS,824738,1,BOS,0.6404,0.519,0.1214,0.5123,0.5123,0.519,0.5133,20787.0,0.5244,-1.21,-0.0261,0.0,0.0,0.0,0.0,0.0,1.056,1.347,0.0117,0.103,,27.51,Patrick Sandoval,Ian Seymour,SKIP,"sp_savant_gate=HARD_VETO, thin_sp_data, thin_sp_shrunk_w=0.65","Patrick Sandoval has only 65 Statcast pitches season-to-date; need 100+ to score | edge -1.21pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-8.5) (-1) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,-8.523083787922289,0,[],[],[],[]
TEX @ ATL,824899,1,ATL,0.4518,0.5112,0.0594,0.5075,0.5075,0.5112,0.5127,17041.0,0.5177,-1.03,-0.0137,0.0,0.0,0.0,0.0,0.0,1.087,1.149,0.0168,0.1017,,25.4,Owen Murphy,MacKenzie Gore,SKIP,"sp_savant_gate=HARD_VETO, thin_sp_data, thin_sp_shrunk_w=0.67","Owen Murphy has only 67 Statcast pitches season-to-date; need 100+ to score | edge -1.03pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=+5.2) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 1] negative-edge GOLD (-1.0pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,5.231486779356544,1,[],[],[],[]
