matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
HOU @ CHC,CHC,0.6354,0.6743,0.039,0.6743,0.6743,0.6422,2445.0,0.5822,9.21,0.1814,0.2412,0.0603,0.0302,0.0,0.0,1.099,1.268,-0.0004,0.1036,20.87,22.77,Jameson Taillon,Spencer Arrighetti,GOLD,F3_swing_take_gap=938.3,tier GOLD -> stake_mult=0,fetched,,False,B,2,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",2,B,0.6450171713254065,1,[],[],[],[]
STL @ CIN,CIN,0.7089,0.5152,0.1937,0.5152,0.5152,0.5087,3365.0,0.5318,-1.66,-0.0207,0.0,0.0,0.0,0.0,0.0,1.146,1.395,-0.0039,0.1149,18.6,16.73,Chris Paddack,Kyle Leahy,GOLD,"F1_xera_gap=2.06*, F3_swing_take_gap=1986.0","edge -1.66pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,B-,1,F-signal fires (+1) | SP edge 1.93 xERA agrees with pick (+2) | PQI confirms pick (Δ=+25.5) (+1) | Stage 1/2 disagree (Δ=0.12) (-1) | [HARD CAP 1] negative-edge GOLD (-1.7pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3],3,B+,25.456890697344303,0,[],[],[],[]
CLE @ PHI,PHI,0.5007,0.5382,0.0375,0.5382,0.5382,0.5219,2701.0,0.6523,-11.41,-0.1395,0.0,0.0,0.0,0.0,0.0,1.062,1.157,0.0053,0.0998,29.58,28.25,Cristopher Sánchez,Gavin Williams,GOLD,F1_xera_gap=2.62,"edge -11.41pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 1.65 xERA agrees with pick (+2) | PQI confirms pick (Δ=+34.9) (+1) | team_quality modifier (-1; DISABLED, score+=0) | large negative edge (-11.4pp) caps grade at C (score 4 -> 2) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 1] negative-edge GOLD (-11.4pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,34.94461506585566,-1,[],[],[],[]
TB @ NYY,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Gerrit Cole has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
PIT @ TOR,PIT,0.534,0.4627,0.0713,0.5373,0.5373,0.5313,2361.0,0.3843,15.3,0.3272,0.2226,0.0556,0.0278,0.0,0.0,0.987,1.297,0.0138,0.0974,21.57,19.24,Kevin Gausman,Bubba Chandler,SKIP,,"fair_prob 0.384 < 0.42 | edge +15.30pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,D,-2,"SP edge 1.59 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+20.5) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",-2,D,20.486626569389244,1,[],[],[],[]
MIN @ BOS,MIN,0.6307,0.4687,0.162,0.5313,0.5313,0.5313,2683.0,0.3965,13.48,0.2805,0.1989,0.0497,0.0249,0.0,0.0,1.109,1.132,0.0049,0.0979,24.34,25.74,Payton Tolle,Connor Prielipp,SKIP,,fair_prob 0.397 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,D,-3,"SP edge 0.64 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+20.7) (-1) | team_quality modifier (+1; DISABLED, score+=0)",-3,D,20.712544058364784,1,[],[],[],[]
NYM @ MIA,MIA,0.3799,0.568,0.1881,0.568,0.568,0.5952,2732.0,0.506,6.2,0.1249,0.1274,0.0318,0.0159,0.0,0.0,1.182,1.292,0.0011,0.0971,25.2,21.42,Eury Pérez,Tobias Myers,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-2,"SP edge 2.05 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-28.9) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1)",-2,D,-28.886490948884585,-1,[],[],[],[]
DET @ BAL,BAL,0.4395,0.656,0.2164,0.656,0.656,0.6458,2212.0,0.5608,9.52,0.1808,0.2259,0.0565,0.0282,0.0,0.0,1.1,1.334,-0.0018,0.1029,14.83,23.35,Chris Bassitt,Jack Flaherty,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-1,"team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.13) (-1)",-1,D,-0.9011583968208114,1,[],[],[],[]
SEA @ KC,KC,0.4146,0.6411,0.2264,0.6411,0.6411,0.6563,2937.0,0.4447,19.64,0.4104,0.125,0.04275,0.02135,0.0,0.0,1.084,1.085,-0.001,0.1018,19.73,24.46,Noah Cameron,Logan Gilbert,SKIP,,"edge +19.64pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,calibration_caution_18_25pp,False,D,-4,"SP edge 1.27 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-26.0) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.12) (-1)",-4,D,-25.98815400419818,-1,[],[],[],[]
LAD @ MIL,LAD,0.4475,0.4867,0.0392,0.5133,0.5133,0.5011,1888.0,0.506,0.73,0.0166,0.0169,0.0042,0.0021,0.0,0.0,1.13,1.142,-0.0067,0.1171,26.49,15.1,Logan Henderson,Justin Wrobleski,GOLD,F2_xwoba_gap=0.039,"edge +0.73pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,C,0,"F-signal fires (+1) | SP edge 0.97 xERA AGAINST pick (-1) [small-sample SP, min_pa=71] | PQI AGAINST (late-game-degradation) pick (Δ=+13.3) (-1) | Stage 1/2 agree (Δ=0.02) (+1)",0,C,13.336911135787659,0,[],[],[],[]
