game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-17,TB,MIA,7.0,8.46,1.46,over,1.83,0.5576,0.5283,0.49
2026-05-17,WSH,BAL,10.0,9.04,0.96,under,1.952,0.5067,0.4875,0.0
2026-05-17,PIT,PHI,7.0,8.11,1.11,over,1.881,0.5334,0.5112,0.08
2026-05-17,CLE,CIN,8.5,9.43,0.93,over,1.952,0.5067,0.4881,0.0
2026-05-17,DET,TOR,7.5,8.47,0.97,over,1.862,0.5358,0.5164,0.0
2026-05-17,NYM,NYY,8.5,9.24,0.74,over,1.862,0.5334,0.5186,0.0
2026-05-17,HOU,TEX,8.0,8.52,0.52,over,1.873,0.5229,0.5125,0.0
2026-05-17,CHW,CHC,8.5,10.02,1.52,over,1.827,0.5585,0.5282,0.48
2026-05-17,MIN,MIL,8.0,8.41,0.41,over,1.952,0.4956,0.4875,0.0
2026-05-17,STL,KC,9.0,9.37,0.37,over,1.855,0.5287,0.5213,0.0
2026-05-17,COL,ARI,10.5,12.22,1.72,over,1.873,0.5491,0.5147,0.66
2026-05-17,OAK,SF,9.5,8.65,0.85,under,1.966,0.5023,0.4853,0.0
2026-05-17,SEA,SD,7.5,8.83,1.33,over,1.943,0.5198,0.4933,0.22
