matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
HOU @ CIN,HOU,0.5958,0.2559,0.7441,0.7441,0.6847,2092.0,0.4357,30.84,0.596,SKIP,,"model_prob 0.744 outside [0.48,0.72] | edge +30.84pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
COL @ PHI,PHI,0.5174,0.5039,0.5039,0.5039,0.5117,1964.0,0.6897,-18.58,-0.2611,GOLD,F3_swing_take_gap=261.0,"edge -18.58pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
OAK @ BAL,BAL,0.5952,0.5745,0.5745,0.5745,0.616,0.0,0.5698,0.47,-0.009,SKIP,,"edge +0.47pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
LAA @ TOR,TOR,0.5167,0.6404,0.6404,0.6404,0.6126,2085.0,0.6115,2.89,0.0381,SKIP,,"edge +2.89pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True
TB @ BOS,TB,0.5597,0.4507,0.5493,0.5493,0.5313,1834.0,0.4325,11.69,0.1893,GOLD,F3_swing_take_gap=762.4,tier GOLD -> stake_mult=0,fetched,,False
WSH @ MIA,MIA,0.5011,0.5856,0.5856,0.5856,0.6071,2327.0,0.542,4.35,0.0521,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
MIN @ CLE,CLE,0.5031,0.5884,0.5884,0.5884,0.5094,2499.0,0.577,1.14,0.0045,SKIP,,"edge +1.14pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True
DET @ KC,KC,0.5643,0.5093,0.5093,0.5093,0.4966,2246.0,0.585,-7.57,-0.1404,SKIP,,"edge -7.57pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
SEA @ CHW,CHW,0.4374,0.81,0.81,0.81,0.7653,0.0,0.4248,38.52,0.7779,SKIP,,"model_prob 0.810 outside [0.48,0.72] | edge +38.52pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
NYY @ MIL,NYY,0.5818,0.4627,0.5373,0.5373,0.5313,1651.0,0.557,-1.97,-0.0571,GOLD,"F1_xera_gap=1.25*, F2_xwoba_gap=0.034","edge -1.97pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
CHC @ TEX,CHC,0.4284,0.4255,0.5745,0.5745,0.5865,2168.0,0.5652,0.93,-0.003,GOLD,F2_xwoba_gap=0.023,"edge +0.93pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True
NYM @ ARI,ARI,0.185,0.6803,0.6803,0.6803,0.6563,0.0,0.4345,24.58,0.4695,SKIP,,"edge +24.58pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
STL @ SD,SD,0.4612,0.5083,0.5083,0.5083,0.4933,2140.0,0.5929,-8.46,-0.1537,SKIP,,"edge -8.46pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster,True
ATL @ LAD,LAD,0.6258,0.62,0.62,0.62,0.5748,1928.0,0.5278,9.22,0.1366,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
