matchup,pick,f5_prob,full_prob,p_model,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped
TB @ CLE,CLE,0.5786,0.5286,0.5286,0.5503,-2.18,-0.0582,GOLD,F3_swing_take_gap=1061.4,"edge -2.18pp outside [4,15]pp | tier GOLD -> stake_mult=0"
STL @ PIT,PIT,0.5337,0.5785,0.5785,0.5954,-1.69,-0.0384,GOLD,F3_swing_take_gap=267.1,"edge -1.69pp outside [4,15]pp | tier GOLD -> stake_mult=0"
BOS @ TOR,TOR,0.8641,0.6152,0.6152,0.5153,9.99,0.1501,GOLD,F3_swing_take_gap=536.9,tier GOLD -> stake_mult=0
SEA @ MIN,MIN,0.4612,0.6191,0.6191,0.4621,15.7,0.2723,SKIP,,"edge +15.70pp outside [4,15]pp | tier SKIP -> stake_mult=0"
LAA @ CHW,CHW,0.6579,0.9334,0.9334,0.4464,48.71,0.9695,SKIP,,"model_prob 0.933 outside [0.48,0.72] | edge +48.71pp outside [4,15]pp | tier SKIP -> stake_mult=0"
NYY @ TEX,NYY,0.3248,0.2723,0.7277,0.5293,19.84,0.3341,GOLD,F2_xwoba_gap=0.024,"model_prob 0.728 outside [0.48,0.72] | edge +19.84pp outside [4,15]pp | tier GOLD -> stake_mult=0"
CHC @ SD,CHC,0.5036,0.3846,0.6154,0.5222,9.32,0.1437,SKIP,,tier SKIP -> stake_mult=0
MIA @ LAD,LAD,0.5574,0.5743,0.5743,0.7516,-17.73,-0.2209,PLATINUM,"F2_xwoba_gap=0.032, F3_swing_take_gap=6044.8","edge -17.73pp outside [4,15]pp"
