matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status
TOR @ TB,TB,0.5767,0.5551,0.5551,0.5551,0.5939,1704.0,0.5603,-0.53,-0.0275,SKIP,,"edge -0.53pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
MIL @ STL,MIL,0.3683,0.4747,0.5253,0.5253,0.5313,1614.0,0.5054,1.99,0.0029,GOLD,F3_swing_take_gap=2212.4,"edge +1.99pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
LAD @ HOU,LAD,0.1593,0.4417,0.5583,0.5583,0.5313,1937.0,0.681,-12.27,-0.1726,SKIP,,"edge -12.27pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
SD @ SF,SD,0.5341,0.3114,0.6886,0.6886,0.6403,2086.0,0.5131,17.55,0.2874,SKIP,,"edge +17.55pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
CHW @ LAA,LAA,0.5127,0.6223,0.6223,0.6223,0.6472,0.0,0.4948,12.75,0.1985,SKIP,,tier SKIP -> stake_mult=0,fetched
ATL @ SEA,ATL,0.5288,0.4417,0.5583,0.5583,0.5313,1868.0,0.4338,12.45,0.2087,SKIP,,tier SKIP -> stake_mult=0,fetched
BOS @ DET,DET,0.452,0.6653,0.6653,0.6653,0.6354,2097.0,0.521,14.43,0.2292,PLATINUM,"F2_xwoba_gap=0.024, F3_swing_take_gap=4545.9",,fetched
OAK @ PHI,PHI,0.4216,0.647,0.647,0.647,0.652,0.0,0.63,1.7,0.0211,SKIP,,"edge +1.70pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
BAL @ MIA,MIA,0.4471,0.5091,0.5091,0.5091,0.5174,2136.0,0.5489,-3.98,-0.0931,SKIP,,"edge -3.98pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
MIN @ WSH,WSH,0.5295,0.5224,0.5224,0.5224,0.4928,2297.0,0.4352,8.72,0.1258,GOLD,F3_swing_take_gap=548.8,tier GOLD -> stake_mult=0,fetched
TEX @ NYY,NYY,0.6692,0.6001,0.6001,0.6001,0.5895,2058.0,0.6548,-5.47,-0.0825,PLATINUM,"F1_xera_gap=1.28*, F2_xwoba_gap=0.037, F3_swing_take_gap=7062.9","edge -5.47pp outside [4,15]pp",fetched
CIN @ CHC,CHC,0.6037,0.6563,0.6563,0.6563,0.6563,2103.0,0.6294,2.69,0.038,GOLD,"F1_xera_gap=1.62*, F3_swing_take_gap=1017.0","edge +2.69pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
CLE @ KC,CLE,0.6676,0.4882,0.5118,0.5118,0.5109,2228.0,0.4497,6.22,0.0774,GOLD,"F1_xera_gap=1.06*, F3_swing_take_gap=380.5",tier GOLD -> stake_mult=0,fetched
NYM @ COL,COL,0.5868,0.6542,0.6542,0.6542,0.634,1882.0,0.3797,27.45,0.5701,SKIP,,"fair_prob 0.380 < 0.42 | edge +27.45pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
PIT @ ARI,ARI,0.4662,0.6563,0.6563,0.6563,0.6563,0.0,0.4019,25.45,0.5063,SKIP,,"fair_prob 0.402 < 0.42 | edge +25.45pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
