pitcher,n,stuff_plus,location_plus,name
663941,817,100.75386,99.9874,?
489446,734,100.75356,100.3612,?
683004,2636,100.73887,99.164795,?
672456,1546,100.7182,100.36722,?
605540,964,100.70036,100.73272,?
663436,2360,100.68943,100.02011,?
669062,504,100.680145,98.47288,?
656550,1964,100.67893,99.90134,?
623211,1058,100.672844,99.00057,?
542881,2339,100.652176,99.82228,?
663947,1232,100.62427,100.73541,?
669438,716,100.62229,100.53937,?
681190,2147,100.61223,100.452965,?
542888,1104,100.59892,100.1503,?
621053,990,100.59298,98.293846,?
453286,1448,100.58652,100.388985,?
668933,1094,100.57396,100.23817,?
642397,1054,100.561104,99.18984,?
681857,1159,100.54148,100.25212,?
623437,1000,100.52455,100.636154,?
671212,932,100.52194,99.21306,?
657571,1077,100.5146,100.24309,?
669432,1626,100.51013,100.44165,?
656849,2696,100.5083,100.132706,?
592866,1448,100.50485,101.1975,?
666214,1833,100.49661,100.17209,?
686613,2962,100.47469,100.04451,?
607259,2594,100.471954,100.86411,?
592094,1131,100.462555,99.30169,?
680736,1092,100.44892,100.08923,?
684007,2174,100.44867,101.29095,?
674370,1378,100.435425,99.54578,?
670990,604,100.43288,99.10103,?
669713,508,100.43131,101.403076,?
681676,543,100.42195,99.635025,?
669923,2180,100.42124,101.069435,?
656557,749,100.41829,100.20486,?
693433,2765,100.41358,100.601776,?
670102,1224,100.41281,99.9543,?
669711,1080,100.38435,100.07552,?
606160,1098,100.37661,101.18344,?
641793,2784,100.37633,101.003555,?
681982,1158,100.37379,100.22576,?
683769,1105,100.359825,100.39929,?
669372,1575,100.3561,100.29039,?
641927,2397,100.333115,100.988754,?
656605,2870,100.332924,100.20674,?
669160,2237,100.32694,99.15331,?
672391,788,100.30407,98.99036,?
670167,1066,100.29684,100.483,?
663460,1955,100.2961,99.999435,?
669358,2702,100.28121,99.77457,?
680767,943,100.278275,99.72211,?
664076,886,100.27741,99.708,?
676395,968,100.27188,100.070335,?
641401,840,100.26673,100.29841,?
661563,1018,100.26133,99.04664,?
647336,1571,100.2559,99.80755,?
593576,547,100.251015,99.90337,?
605288,1958,100.24901,100.25772,?
592791,2039,100.24312,101.40675,?
657649,1060,100.23913,99.86763,?
621112,702,100.22065,100.908585,?
506433,1177,100.21506,100.01098,?
593423,708,100.20988,100.40209,?
641672,585,100.20364,99.83979,?
547184,658,100.17202,99.80221,?
666200,3092,100.1575,100.58264,?
669022,2892,100.14695,99.60167,?
656427,2879,100.1404,100.62655,?
641745,1163,100.1401,100.389145,?
477132,1683,100.13685,100.24914,?
450203,2548,100.12766,99.325485,?
605130,1324,100.12323,99.43507,?
700249,1971,100.12278,99.77512,?
668964,826,100.09647,100.477234,?
682990,2468,100.08198,100.34051,?
572955,968,100.071754,100.46921,?
607481,932,100.07023,100.45394,?
650893,730,100.05041,100.03648,?
669461,2456,100.041405,100.03348,?
694738,1851,100.02152,100.25137,?
670912,665,100.01306,99.300644,?
702352,1300,99.99529,100.21089,?
663568,1774,99.98445,100.41762,?
660787,609,99.982834,99.848885,?
663978,2710,99.97955,100.96807,?
662253,1083,99.94474,99.72371,?
668909,3076,99.9194,99.90839,?
666277,741,99.912895,99.10543,?
682847,1580,99.89579,99.45402,?
593974,1175,99.8878,100.10295,?
595345,1066,99.8833,100.305275,?
676130,1095,99.87511,99.788086,?
669684,569,99.85568,99.18489,?
671096,2724,99.85001,100.57806,?
664199,890,99.839645,100.56646,?
686563,1793,99.831856,100.11501,?
666157,2562,99.802376,100.4729,?
622554,1133,99.80207,99.06985,?
592155,597,99.79263,99.69369,?
682120,805,99.788445,99.064674,?
663623,2944,99.78339,100.268265,?
670036,832,99.77935,99.91086,?
669060,855,99.778786,99.61054,?
621121,1147,99.765816,99.46267,?
668941,1007,99.761185,100.15456,?
642152,849,99.7565,99.41968,?
621107,1172,99.75557,100.53049,?
608379,2750,99.75404,100.576546,?
607200,2445,99.73825,100.31896,?
573186,774,99.73815,100.30731,?
641656,650,99.730385,99.70275,?
592836,2149,99.708565,100.41537,?
663559,2014,99.69598,99.83637,?
650644,1802,99.69263,100.30047,?
669456,645,99.656296,100.9174,?
607455,1064,99.65107,99.4741,?
669724,973,99.65105,100.472305,?
671737,2373,99.60887,99.605354,?
669387,1597,99.60344,100.72826,?
806185,1194,99.595535,98.39046,?
689017,743,99.557556,99.89183,?
663687,1125,99.53518,100.143005,?
684320,1158,99.52434,99.53178,?
621383,1127,99.521286,100.98426,?
672582,1120,99.52058,100.518906,?
678394,2669,99.514694,99.849266,?
676440,3138,99.489136,99.99844,?
680573,1953,99.48492,99.79382,?
543294,2571,99.47313,101.09394,?
670059,503,99.452736,99.09436,?
605452,903,99.449554,100.30861,?
669674,839,99.4203,99.51423,?
592454,1052,99.41201,99.35307,?
608032,1097,99.411,99.68134,?
663738,1151,99.40991,99.34601,?
641302,1584,99.4075,100.90426,?
607074,3369,99.384445,99.769005,?
677944,2110,99.37008,100.51109,?
656288,1426,99.36967,99.32852,?
680730,2704,99.36405,100.033455,?
686799,1934,99.36323,98.710236,?
685299,1244,99.34493,100.44312,?
656794,1593,99.34412,99.43574,?
674285,545,99.335434,99.27286,?
571760,1970,99.32216,100.69243,?
621111,2189,99.30899,99.7596,?
607536,2542,99.29723,100.44774,?
593958,2663,99.28563,100.049,?
642232,1028,99.28506,100.257866,?
624133,2430,99.269585,100.99992,?
579328,3182,99.25905,100.27835,?
676106,1423,99.25573,99.48834,?
605135,2917,99.250725,99.747246,?
663903,2943,99.200775,100.20503,?
677960,642,99.17474,99.88698,?
689266,536,99.16076,99.99829,?
669854,793,99.157715,100.27047,?
605488,2847,99.14769,100.54894,?
664062,609,99.140015,99.38811,?
673540,1353,99.13925,99.38582,?
543056,743,99.137405,99.518906,?
700363,711,99.11202,99.2934,?
681892,725,99.09385,99.86488,?
543101,634,99.081085,99.85319,?
681869,551,99.069954,99.69316,?
608337,2366,99.05606,99.750175,Lucas Giolito
471911,778,99.04788,100.16911,Carlos Carrasco
663765,625,99.04601,100.19392,Jake Woodford
592662,3142,99.04189,99.43978,Robbie Ray
547179,2396,99.02243,100.32727,Michael Lorenzen
571945,2474,99.00123,100.99893,Miles Mikolas
571510,2834,98.987045,100.43841,Matthew Boyd
