game_pk,game_date,home_team,away_team,home_xwoba,away_xwoba,home_score,away_score,n_pa_home,n_pa_away,source_pulled_at
824772,2026-05-01,BOS,HOU,0.3076,0.4025,3,1,33,37,2026-05-28T05:25:08+00:00
825012,2026-05-01,OAK,CLE,0.3432,0.3186,5,8,41,45,2026-05-28T05:25:08+00:00
822746,2026-05-02,WSH,MIL,0.2688,0.2879,1,4,36,40,2026-05-28T05:25:08+00:00
822988,2026-05-02,TB,SF,0.2844,0.3341,5,1,34,33,2026-05-28T05:25:08+00:00
823067,2026-05-02,STL,LAD,0.374,0.2902,3,2,34,35,2026-05-28T05:25:08+00:00
823144,2026-05-02,SEA,KC,0.2271,0.1731,2,3,37,38,2026-05-28T05:25:08+00:00
823308,2026-05-02,SD,CHW,0.2144,0.3499,0,4,35,33,2026-05-28T05:25:08+00:00
823388,2026-05-02,PIT,CIN,0.436,0.3547,17,7,53,40,2026-05-28T05:25:08+00:00
823554,2026-05-02,NYY,BAL,0.4375,0.3484,9,4,38,35,2026-05-28T05:25:08+00:00
823715,2026-05-02,MIN,TOR,0.2224,0.4087,4,11,33,41,2026-05-28T05:25:08+00:00
823876,2026-05-02,MIA,PHI,0.3363,0.1871,4,0,39,28,2026-05-28T05:25:08+00:00
824042,2026-05-02,LAA,NYM,0.2748,0.1961,3,3,43,36,2026-05-28T05:25:08+00:00
824284,2026-05-02,DET,TEX,0.3618,0.3761,5,1,37,35,2026-05-28T05:25:08+00:00
824365,2026-05-02,COL,ATL,0.2424,0.354,1,9,33,41,2026-05-28T05:25:08+00:00
824685,2026-05-02,CHC,AZ,0.3895,0.2298,2,0,31,32,2026-05-28T05:25:08+00:00
824771,2026-05-02,BOS,HOU,0.3964,0.3425,3,6,40,42,2026-05-28T05:25:08+00:00
825014,2026-05-02,OAK,CLE,0.3407,0.3246,6,14,40,48,2026-05-28T05:25:08+00:00
822742,2026-05-03,WSH,MIL,0.2436,0.2827,3,2,31,32,2026-05-28T05:25:56+00:00
822987,2026-05-03,TB,SF,0.2826,0.2709,1,1,36,36,2026-05-28T05:25:56+00:00
823065,2026-05-03,STL,LAD,0.3973,0.3093,1,4,35,39,2026-05-28T05:25:56+00:00
823145,2026-05-03,SEA,KC,0.2069,0.3978,1,4,33,39,2026-05-28T05:25:56+00:00
823307,2026-05-03,SD,CHW,0.2872,0.2803,4,3,32,35,2026-05-28T05:25:56+00:00
823387,2026-05-03,PIT,CIN,0.2893,0.2279,1,0,30,31,2026-05-28T05:25:56+00:00
823555,2026-05-03,NYY,BAL,0.4203,0.2331,11,3,43,36,2026-05-28T05:25:56+00:00
823711,2026-05-03,MIN,TOR,0.3135,0.3006,4,3,36,41,2026-05-28T05:25:56+00:00
823875,2026-05-03,MIA,PHI,0.2533,0.3756,2,7,35,40,2026-05-28T05:25:56+00:00
824043,2026-05-03,LAA,NYM,0.2636,0.3022,1,5,35,40,2026-05-28T05:25:56+00:00
824285,2026-05-03,DET,TEX,0.2569,0.2377,7,1,33,36,2026-05-28T05:25:56+00:00
824364,2026-05-03,COL,ATL,0.379,0.3712,6,11,41,45,2026-05-28T05:25:56+00:00
824687,2026-05-03,CHC,AZ,0.3352,0.3162,8,4,42,37,2026-05-28T05:25:56+00:00
824769,2026-05-03,BOS,HOU,0.4418,0.3515,1,3,42,40,2026-05-28T05:25:56+00:00
825013,2026-05-03,OAK,CLE,0.3678,0.248,7,1,38,36,2026-05-28T05:25:56+00:00
822984,2026-05-04,TB,TOR,0.3301,0.3245,5,1,34,38,2026-05-28T05:25:56+00:00
823064,2026-05-04,STL,MIL,0.3223,0.4142,6,3,37,42,2026-05-28T05:25:56+00:00
823143,2026-05-04,SEA,ATL,0.352,0.4467,5,4,38,37,2026-05-28T05:25:56+00:00
823228,2026-05-04,SF,SD,0.2384,0.2812,3,2,32,31,2026-05-28T05:25:56+00:00
823552,2026-05-04,NYY,BAL,0.4345,0.3181,12,1,40,38,2026-05-28T05:25:56+00:00
823874,2026-05-04,MIA,PHI,0.2173,0.2215,0,1,32,35,2026-05-28T05:25:56+00:00
824039,2026-05-04,LAA,CHW,0.2122,0.4419,0,6,31,45,2026-05-28T05:25:56+00:00
824120,2026-05-04,KC,CLE,0.2812,0.2831,6,2,36,32,2026-05-28T05:25:56+00:00
824201,2026-05-04,HOU,LAD,0.3209,0.3792,3,8,35,45,2026-05-28T05:25:56+00:00
824283,2026-05-04,DET,BOS,0.2714,0.2723,4,5,34,42,2026-05-28T05:25:56+00:00
824363,2026-05-04,COL,NYM,0.2649,0.3985,2,4,33,32,2026-05-28T05:25:56+00:00
824684,2026-05-04,CHC,CIN,0.3783,0.3589,4,4,37,38,2026-05-28T05:25:56+00:00
822743,2026-05-05,WSH,MIN,0.3128,0.3376,3,11,36,46,2026-05-28T05:25:56+00:00
822986,2026-05-05,TB,TOR,0.2809,0.354,4,3,34,36,2026-05-28T05:25:56+00:00
823142,2026-05-05,SEA,ATL,0.1848,0.2696,2,3,32,34,2026-05-28T05:25:56+00:00
823227,2026-05-05,SF,SD,0.2607,0.3683,5,10,35,43,2026-05-28T05:25:56+00:00
823469,2026-05-05,PHI,OAK,0.4271,0.2478,9,1,41,35,2026-05-28T05:25:56+00:00
823553,2026-05-05,NYY,TEX,0.3882,0.383,7,4,35,43,2026-05-28T05:25:56+00:00
823873,2026-05-05,MIA,BAL,0.4063,0.3645,7,9,41,43,2026-05-28T05:25:56+00:00
824040,2026-05-05,LAA,CHW,0.3652,0.3302,4,3,31,41,2026-05-28T05:25:56+00:00
824119,2026-05-05,KC,CLE,0.3697,0.3118,5,3,33,33,2026-05-28T05:25:56+00:00
824200,2026-05-05,HOU,LAD,0.2323,0.2937,2,1,29,36,2026-05-28T05:25:56+00:00
824281,2026-05-05,DET,BOS,0.2775,0.3319,3,10,36,43,2026-05-28T05:25:56+00:00
824682,2026-05-05,CHC,CIN,0.3982,0.2664,2,2,42,39,2026-05-28T05:25:56+00:00
825092,2026-05-05,AZ,PIT,0.3859,0.3152,9,0,41,32,2026-05-28T05:25:56+00:00
822740,2026-05-06,WSH,MIN,0.3971,0.1969,15,2,43,31,2026-05-28T05:25:56+00:00
822985,2026-05-06,TB,TOR,0.4224,0.2194,3,0,33,32,2026-05-28T05:25:56+00:00
823063,2026-05-06,STL,MIL,0.2392,0.3608,2,6,35,40,2026-05-28T05:25:56+00:00
823141,2026-05-06,SEA,ATL,0.3022,0.2467,3,1,34,32,2026-05-28T05:25:56+00:00
823226,2026-05-06,SF,SD,0.1425,0.3193,1,5,30,37,2026-05-28T05:25:56+00:00
823470,2026-05-06,PHI,OAK,0.3612,0.2547,6,3,37,37,2026-05-28T05:25:56+00:00
823550,2026-05-06,NYY,TEX,0.3456,0.3029,1,6,31,40,2026-05-28T05:25:56+00:00
823872,2026-05-06,MIA,BAL,0.2856,0.3119,4,7,36,40,2026-05-28T05:25:56+00:00
